id	IRS	Cluster	Cohort	Group
GSM1820876	-1.275684667	low	Train	LEUVEN
GSM1820752	-1.206243888	low	Train	Freiburg
GSM1820790	-1.20277061	low	Train	Freiburg
GSM1820869	-1.190225036	low	Train	LEUVEN
GSM1820759	-1.156096854	low	Train	Freiburg
GSM1820746	-1.122824147	low	Test	Freiburg
GSM1820789	-1.113781547	low	Test	Freiburg
GSM1820754	-1.093422008	low	Train	Freiburg
GSM1820797	-1.064943035	low	Train	Freiburg
GSM1820854	-1.026644074	low	Train	LEUVEN
GSM1820859	-1.01896652	low	Train	LEUVEN
GSM1820760	-0.929323772	low	Train	Freiburg
GSM1820828	-0.899565706	low	Train	SIENA
GSM1820810	-0.890700231	low	Test	SIENA
GSM1820901	-0.85871157	low	Train	LEUVEN
GSM1820827	-0.829460124	low	Train	SIENA
GSM1820900	-0.814910214	low	Train	LEUVEN
GSM1820818	-0.804101012	low	Train	SIENA
GSM1820867	-0.762927479	low	Train	LEUVEN
GSM1820823	-0.756347249	low	Train	SIENA
GSM1820787	-0.742120582	low	Train	Freiburg
GSM1820885	-0.738167762	low	Train	LEUVEN
GSM1820838	-0.726954511	low	Train	SIENA
GSM1820768	-0.710469555	low	Train	Freiburg
GSM1820862	-0.707215208	low	Train	LEUVEN
GSM1820811	-0.685684151	low	Train	SIENA
GSM1820873	-0.660334671	low	Train	LEUVEN
GSM1820866	-0.636710168	low	Train	LEUVEN
GSM1820883	-0.636114087	low	Train	LEUVEN
GSM1820880	-0.616200195	low	Train	LEUVEN
GSM1820750	-0.611232666	low	Test	Freiburg
GSM1820860	-0.602311246	low	Test	LEUVEN
GSM1820893	-0.569524423	low	Train	LEUVEN
GSM1820904	-0.56445896	low	Test	LEUVEN
GSM1820775	-0.561960915	low	Train	Freiburg
GSM1820749	-0.546185354	low	Train	Freiburg
GSM1820744	-0.536049856	low	Test	Freiburg
GSM1820908	-0.533708691	low	Test	LEUVEN
GSM1820796	-0.52828693	low	Train	Freiburg
GSM1820837	-0.51750891	low	Train	SIENA
GSM1820852	-0.489115846	low	Train	LEUVEN
GSM1820780	-0.485265321	low	Train	Freiburg
GSM1820743	-0.471201046	low	Test	Freiburg
GSM1820816	-0.465504775	low	Train	SIENA
GSM1820839	-0.442923696	low	Train	SIENA
GSM1820756	-0.441803366	low	Test	Freiburg
GSM1820903	-0.411872274	low	Train	LEUVEN
GSM1820785	-0.402233459	low	Test	Freiburg
GSM1820791	-0.390409226	low	Train	Freiburg
GSM1820773	-0.373854609	low	Train	Freiburg
GSM1820751	-0.37215881	low	Train	Freiburg
GSM1820892	-0.361368683	low	Train	LEUVEN
GSM1820747	-0.349062368	low	Test	Freiburg
GSM1820851	-0.323660594	low	Train	LEUVEN
GSM1820868	-0.246756325	low	Train	LEUVEN
GSM1820815	-0.244015686	low	Train	SIENA
GSM1820909	-0.242041154	low	Test	LEUVEN
GSM1820858	-0.235224591	low	Train	LEUVEN
GSM1820872	-0.232063804	low	Test	LEUVEN
GSM1820819	-0.226159679	low	Train	SIENA
GSM1820808	-0.220144552	low	Train	SIENA
GSM1820782	-0.219685253	low	Test	Freiburg
GSM1820739	-0.215568354	low	Test	Freiburg
GSM1820814	-0.206692493	low	Test	SIENA
GSM1820914	-0.201739684	low	Train	LEUVEN
GSM1820766	-0.192652249	low	Test	Freiburg
GSM1820871	-0.182405648	low	Test	LEUVEN
GSM1820834	-0.165225337	low	Test	SIENA
GSM1820841	-0.154085962	low	Train	SIENA
GSM1820812	-0.14432769	low	Train	SIENA
GSM1820833	-0.1389281	low	Train	SIENA
GSM1820802	-0.125263338	low	Test	SIENA
GSM1820840	-0.112585662	low	Train	SIENA
GSM1820905	-0.112338435	low	Train	LEUVEN
GSM1820767	-0.10621212	low	Train	Freiburg
GSM1820874	-0.105540917	low	Train	LEUVEN
GSM1820865	-0.105248259	low	Test	LEUVEN
GSM1820906	-0.08533951	low	Train	LEUVEN
GSM1820847	-0.082596446	low	Train	SIENA
GSM1820794	-0.070053652	low	Train	Freiburg
GSM1820807	-0.066558784	low	Test	SIENA
GSM1820741	-0.054371336	low	Train	Freiburg
GSM1820884	-0.05286387	low	Test	LEUVEN
GSM1820804	-0.043229541	low	Test	SIENA
GSM1820849	-0.038389166	low	Train	SIENA
GSM1820886	-0.025431042	low	Test	LEUVEN
GSM1820777	-0.018112998	low	Train	Freiburg
GSM1820891	0.026869333	low	Test	LEUVEN
GSM1820889	0.037996335	low	Train	LEUVEN
GSM1820771	0.0650515	low	Test	Freiburg
GSM1820875	0.065265028	low	Train	LEUVEN
GSM1820894	0.069719735	low	Train	LEUVEN
GSM1820832	0.078472165	low	Train	SIENA
GSM1820757	0.084747138	low	Train	Freiburg
GSM1820879	0.088413444	low	Train	LEUVEN
GSM1820848	0.095342228	low	Train	SIENA
GSM1820845	0.1078487	low	Train	SIENA
GSM1820836	0.111736605	high	Train	SIENA
GSM1820890	0.124500802	high	Train	LEUVEN
GSM1820813	0.137310279	high	Train	SIENA
GSM1820770	0.141784206	high	Train	Freiburg
GSM1820877	0.156210225	high	Train	LEUVEN
GSM1820910	0.171282039	high	Test	LEUVEN
GSM1820895	0.200772085	high	Test	LEUVEN
GSM1820776	0.207243745	high	Test	Freiburg
GSM1820878	0.221327818	high	Train	LEUVEN
GSM1820857	0.246474805	high	Test	LEUVEN
GSM1820763	0.263661595	high	Test	Freiburg
GSM1820740	0.27979421	high	Train	Freiburg
GSM1820896	0.308458418	high	Train	LEUVEN
GSM1820762	0.3110027	high	Train	Freiburg
GSM1820861	0.324688745	high	Train	LEUVEN
GSM1820805	0.329474143	high	Train	SIENA
GSM1820846	0.331689067	high	Train	SIENA
GSM1820888	0.340796762	high	Test	LEUVEN
GSM1820792	0.352702669	high	Test	Freiburg
GSM1820774	0.362152068	high	Test	Freiburg
GSM1820820	0.364770487	high	Train	SIENA
GSM1820843	0.370455743	high	Train	SIENA
GSM1820753	0.372775094	high	Test	Freiburg
GSM1820781	0.389693642	high	Train	Freiburg
GSM1820822	0.389990359	high	Train	SIENA
GSM1820850	0.395796532	high	Train	SIENA
GSM1820772	0.398118407	high	Train	Freiburg
GSM1820856	0.401705239	high	Train	LEUVEN
GSM1820748	0.403954293	high	Test	Freiburg
GSM1820870	0.407153589	high	Train	LEUVEN
GSM1820863	0.418708926	high	Train	LEUVEN
GSM1820765	0.449587266	high	Train	Freiburg
