id	GSM1820739	GSM1820740	GSM1820741	GSM1820742	GSM1820743	GSM1820744	GSM1820745	GSM1820746	GSM1820747	GSM1820748	GSM1820749	GSM1820750	GSM1820751	GSM1820752	GSM1820753	GSM1820754	GSM1820755	GSM1820756	GSM1820757	GSM1820758	GSM1820759	GSM1820760	GSM1820761	GSM1820762	GSM1820763	GSM1820764	GSM1820765	GSM1820766	GSM1820767	GSM1820768	GSM1820769	GSM1820770	GSM1820771	GSM1820772	GSM1820773	GSM1820774	GSM1820775	GSM1820776	GSM1820777	GSM1820778	GSM1820779	GSM1820780	GSM1820781	GSM1820782	GSM1820783	GSM1820784	GSM1820785	GSM1820786	GSM1820787	GSM1820788	GSM1820789	GSM1820790	GSM1820791	GSM1820792	GSM1820793	GSM1820794	GSM1820795	GSM1820796	GSM1820797	GSM1820798	GSM1820799	GSM1820800	GSM1820801	GSM1820802	GSM1820803	GSM1820804	GSM1820805	GSM1820806	GSM1820807	GSM1820808	GSM1820809	GSM1820810	GSM1820811	GSM1820812	GSM1820813	GSM1820814	GSM1820815	GSM1820816	GSM1820817	GSM1820818	GSM1820819	GSM1820820	GSM1820821	GSM1820822	GSM1820823	GSM1820824	GSM1820825	GSM1820826	GSM1820827	GSM1820828	GSM1820829	GSM1820830	GSM1820831	GSM1820832	GSM1820833	GSM1820834	GSM1820835	GSM1820836	GSM1820837	GSM1820838	GSM1820839	GSM1820840	GSM1820841	GSM1820842	GSM1820843	GSM1820844	GSM1820845	GSM1820846	GSM1820847	GSM1820848	GSM1820849	GSM1820850	GSM1820851	GSM1820852	GSM1820853	GSM1820854	GSM1820855	GSM1820856	GSM1820857	GSM1820858	GSM1820859	GSM1820860	GSM1820861	GSM1820862	GSM1820863	GSM1820864	GSM1820865	GSM1820866	GSM1820867	GSM1820868	GSM1820869	GSM1820870	GSM1820871	GSM1820872	GSM1820873	GSM1820874	GSM1820875	GSM1820876	GSM1820877	GSM1820878	GSM1820879	GSM1820880	GSM1820881	GSM1820882	GSM1820883	GSM1820884	GSM1820885	GSM1820886	GSM1820887	GSM1820888	GSM1820889	GSM1820890	GSM1820891	GSM1820892	GSM1820893	GSM1820894	GSM1820895	GSM1820896	GSM1820897	GSM1820898	GSM1820899	GSM1820900	GSM1820901	GSM1820902	GSM1820903	GSM1820904	GSM1820905	GSM1820906	GSM1820907	GSM1820908	GSM1820909	GSM1820910	GSM1820911	GSM1820912	GSM1820913	GSM1820914
Activated B cell	0.199303919	0.035081125	0.175250763	0.129378223	0.200526327	0.169008798	0.161435036	0.111073119	0.173734019	0.162088139	0.136150583	0.128570363	0.17960449	0.14384715	0.201400588	0.128912349	0.119370804	0.112357618	0.202609778	0.150720121	0.07858315	0.190726104	0.151504047	0.136683522	0.118929905	0.186315357	0.203774249	0.135688763	0.234318033	0.17786785	0.163276402	0.208992855	0.133487741	0.176775301	0.134310775	0.146006711	0.179283124	0.096526431	0.174402926	0.113479026	0.612737501	0.16310361	0.091810885	0.109284748	0.16276803	0.024302852	0.16146269	0.116267188	0.137727381	0.177290746	0.167954549	0.154463978	0.150694533	0.121392214	0.172907384	0.093966932	0.188012014	0.136262675	0.142194964	0.142089361	0.147918486	0.141711472	0.204539181	0.193230971	0.210324782	0.143628644	0.152782133	0.146881518	0.133387328	0.190931214	0.271328868	0.127143464	0.195069764	0.148170034	0.12600194	0.176994549	0.178048196	0.129836671	0.181976756	0.168295661	0.19133243	0.132969009	0.162225133	0.111296458	0.152730473	0.126794284	0.107798721	0.199119684	0.166090511	0.114558315	0.268612842	0.222069129	0.091210045	0.094412516	0.092620179	0.19738768	0.115000841	0.165671003	0.12810069	0.10962094	0.190106855	0.145342152	0.173336338	0.19338635	0.063152484	0.136254122	0.095723868	0.093508583	0.253496194	0.211807367	0.119905519	0.072437963	0.098509074	0.159865095	0.226326157	0.117689566	0.172481585	0.137314257	0.167397556	0.150764787	0.143454821	0.17577401	0.268487001	0.055099082	0.134576497	0.113007981	0.104216356	0.125534769	0.124964266	0.221663705	0.15354807	0.195900748	0.170650292	0.136748053	0.177427196	0.142872527	0.189637102	0.160900048	0.145413311	0.076736116	0.206562177	0.127942654	0.16426251	0.2976186	0.19103155	0.128433158	0.158572171	0.111896317	0.12461694	0.191728849	0.148849448	0.12902746	0.206620111	0.185743049	0	0.206809724	0.100123126	0.164551827	0.272487934	0.123078247	0.18553485	0.212232659	0.162914005	0.210192763	0.118365263	0.178668032	0.205896324	0.147959752	0.140640842	0.110518188	0.225149004	0.109407085	0.142227633	0.163782087	0.202398793	0.128108739
Activated CD4 T cell	0.371924125	0.372182806	0.470621687	0.442904131	0.547880922	0.439336583	0.497754719	0.356104303	0.50169855	0.423183489	0.394130873	0.436160764	0.540081067	0.434709265	0.519712374	0.419784435	0.44136806	0.410099343	0.47653354	0.420159106	0.427317839	0.481630045	0.45039037	0.416181319	0.345965984	0.542981435	0.416174242	0.431630734	0.502074863	0.475787144	0.571311063	0.455559241	0.399996648	0.48832423	0.443083349	0.545985419	0.447634106	0.375209895	0.523836583	0.557945411	0.615212767	0.439817693	0.460745412	0.289273709	0.549744052	0.547685226	0.452537254	0.543953639	0.4112073	0.52054506	0.446850542	0.514535063	0.42518602	0.404498784	0.665511579	0.472731473	0.551327774	0.495003358	0.461196655	0.508507551	0.473677122	0.511097775	0.442840591	0.47483975	0.519443023	0.275410338	0.372187703	0.509724072	0.439781932	0.491318767	0.502340629	0.331588035	0.506937486	0.428033404	0.397878097	0.425986143	0.38031623	0.365297042	0.342888195	0.448838107	0.485878437	0.415945329	0.397268298	0.412912623	0.425615018	0.438683268	0.516182762	0.533659451	0.471305854	0.397833855	0.541816905	0.494570216	0.439801042	0.366178323	0.385785403	0.498239629	0.354778364	0.460523	0.385610036	0.439781448	0.432744573	0.437017436	0.406002319	0.537472602	0.412134626	0.470381859	0.401554466	0.436105117	0.439910073	0.57215065	0.247406125	0.393191305	0.414455891	0.535172281	0.551844963	0.444354066	0.47309218	0.522242419	0.56795749	0.461423711	0.469541196	0.358995827	0.531122193	0.390671516	0.351188538	0.494333976	0.379640029	0.42118949	0.408764326	0.520785485	0.348381869	0.535148423	0.413107125	0.449166015	0.523852025	0.433229092	0.453542018	0.409885227	0.458830668	0.46910768	0.387258154	0.4849743	0.416075486	0.640981239	0.496606875	0.310081907	0.399853497	0.361988867	0.497356218	0.422318058	0.371993158	0.427544719	0.513145604	0.47448336	0.363565683	0.462069554	0.356679634	0.593467942	0.418455084	0.509460608	0.441578217	0.345379774	0.453611766	0.5308707	0.358061137	0.445476531	0.551279833	0.5112637	0.349788879	0.450451628	0.418796092	0.437370747	0.498160665	0.532319165	0.484127267	0.400535672
Activated CD8 T cell	0.553563197	0.574933272	0.67263721	0.636606721	0.727883544	0.671825639	0.757023371	0.624855527	0.694466855	0.6899666	0.584322337	0.602925051	0.789632586	0.623584408	0.766297547	0.617917602	0.694461758	0.620706112	0.765721406	0.574409999	0.493091045	0.680368688	0.657048482	0.621007025	0.579545668	0.822167365	0.665715427	0.674706576	0.754639156	0.747571087	0.780011965	0.6486871	0.721252986	0.663295373	0.635625351	0.764677577	0.692430513	0.561362807	0.78253537	0.683743297	0.899119461	0.625534948	0.635090871	0.589981476	0.630986129	0.742912222	0.697270213	0.681689193	0.641136227	0.70925217	0.657092918	0.63477689	0.613454417	0.581653356	0.869824145	0.626654517	0.755341251	0.632980502	0.645465766	0.646139655	0.585056845	0.633141671	0.680835144	0.739181183	0.72958242	0.527522003	0.531576512	0.72314567	0.701705894	0.726067946	0.766989892	0.568178648	0.701945509	0.640066543	0.650697019	0.647751308	0.618690815	0.525297462	0.566788105	0.644194022	0.725659769	0.558835959	0.576709401	0.585942464	0.607602882	0.665293334	0.608256592	0.784539028	0.701746113	0.57427084	0.76393742	0.81286959	0.578205712	0.62046425	0.616158066	0.764223013	0.544903347	0.605928269	0.606076	0.582871162	0.676227142	0.641548369	0.563275659	0.771901461	0.54972918	0.725059419	0.58586168	0.504620931	0.596328961	0.644493519	0.573474629	0.586764708	0.574206877	0.632613653	0.741933707	0.618520574	0.759561552	0.776026922	0.7483675	0.831068094	0.623687659	0.590350016	0.823530957	0.582152421	0.623182605	0.6592538	0.598029857	0.663552945	0.542958507	0.69357239	0.552507093	0.775184437	0.623910531	0.64232613	0.707530066	0.600286852	0.702900008	0.642370819	0.605685264	0.7110275	0.600968483	0.663972954	0.696833309	0.875346509	0.737040653	0.55368275	0.614249197	0.617357093	0.659028625	0.648139139	0.591226226	0.574117105	0.719070904	0.619675367	0.593400239	0.6922015	0.67929189	0.80619597	0.691178477	0.651702504	0.671555254	0.650911312	0.656565567	0.80330369	0.545302616	0.701028555	0.779849887	0.616767253	0.611046241	0.575829248	0.550808591	0.624398656	0.784228947	0.765135253	0.759661824	0.691492002
Central memory CD4 T cell	0.828068107	0.829974728	0.844750877	0.85585818	0.855061081	0.849469113	0.841513314	0.848078431	0.851236566	0.831472465	0.848696887	0.815793353	0.85265112	0.847284813	0.85842721	0.844025909	0.828680974	0.838072995	0.849482038	0.843415086	0.86349609	0.849910824	0.857671513	0.830770371	0.842565959	0.87063799	0.843171848	0.82431473	0.863665914	0.845817274	0.867926081	0.843930088	0.818813232	0.838133536	0.840592014	0.84270129	0.822583207	0.848241627	0.852499556	0.838108854	0.886587852	0.854362921	0.848986636	0.828497786	0.833467658	0.832819615	0.842627506	0.847500323	0.845792279	0.854933132	0.858695537	0.853446691	0.840918662	0.847927855	0.87809096	0.846181671	0.866708407	0.847177586	0.853048693	0.862870197	0.859091144	0.848766828	0.851429245	0.85503523	0.859374634	0.870339851	0.841678967	0.846276458	0.84934287	0.841605201	0.850829415	0.854374832	0.842400353	0.864871195	0.829022761	0.846027038	0.853056232	0.847608207	0.828703393	0.849141095	0.85083904	0.857431924	0.850304622	0.860511484	0.843204151	0.836162577	0.857565784	0.862802839	0.853421637	0.837284105	0.844409283	0.860685275	0.82332173	0.853754076	0.833138147	0.853578713	0.837919088	0.845343502	0.826781281	0.851292235	0.842838976	0.846308624	0.845377575	0.856801915	0.846021193	0.838345855	0.845575837	0.786393268	0.797078936	0.67306565	0.79631536	0.795530298	0.826102716	0.845115249	0.859753696	0.852148032	0.85118328	0.849086762	0.847825309	0.849165136	0.835043761	0.83977857	0.853356297	0.797449576	0.854557011	0.840442347	0.847738157	0.85708285	0.859329931	0.865952479	0.857687269	0.884333862	0.841228924	0.852316739	0.83226389	0.854536286	0.842492787	0.841084826	0.84687239	0.836058652	0.835998677	0.835809438	0.856621178	0.894175158	0.858288928	0.843693205	0.843335221	0.84274224	0.828784054	0.846583624	0.836428769	0.840763631	0.870734754	0.855311248	0.814341996	0.836547592	0.826163521	0.823677596	0.840423258	0.856307923	0.852601532	0.841622807	0.856307094	0.859237862	0.825864758	0.846945503	0.863305705	0.836271294	0.830482242	0.852665595	0.840942868	0.82124632	0.85179835	0.845809605	0.844123423	0.844381703
Central memory CD8 T cell	0.719587292	0.693414929	0.72426373	0.72677008	0.733070067	0.719289141	0.711626099	0.734817605	0.728438435	0.735614754	0.72827897	0.705892164	0.712286695	0.712496221	0.709501116	0.70141916	0.720431205	0.732686186	0.706952961	0.714935584	0.709747611	0.718428761	0.702302526	0.730080723	0.711580869	0.707313076	0.709220478	0.694466418	0.727448756	0.716547751	0.722849156	0.726603332	0.701496019	0.693493035	0.708023804	0.703390597	0.715091354	0.684747157	0.705544122	0.712764455	0.654925944	0.718648741	0.738997034	0.724987042	0.74786253	0.703779629	0.724673407	0.70688913	0.707580186	0.714510248	0.694830418	0.695075758	0.730868504	0.732411051	0.699849164	0.711680325	0.735502744	0.713141488	0.727346074	0.745239048	0.742078799	0.727257774	0.709082936	0.6996874	0.66968383	0.707839023	0.684301436	0.689232214	0.696624264	0.691621099	0.722349127	0.7064883	0.6830941	0.717725035	0.734890858	0.692758818	0.725320165	0.68220381	0.738421851	0.694845781	0.698995391	0.696241801	0.703096687	0.710180826	0.719932873	0.675593865	0.689286204	0.712915869	0.687289876	0.694268174	0.718521339	0.710939723	0.702361275	0.703634237	0.724731814	0.712189733	0.709438354	0.710560957	0.696077581	0.686775673	0.702979774	0.719349701	0.710898507	0.70068082	0.703867018	0.668365031	0.690644299	0.664911381	0.682783594	0.566241063	0.627884826	0.679420513	0.693097646	0.71665237	0.720272999	0.697475138	0.696848157	0.704801714	0.723982138	0.706527507	0.715931863	0.700568492	0.718494093	0.709864663	0.728707553	0.71342128	0.702588665	0.708616481	0.699908931	0.679442183	0.71760934	0.691114619	0.722879826	0.709485246	0.708167591	0.700307806	0.700137286	0.709545298	0.704591075	0.639590295	0.738924727	0.706377175	0.708174757	0.677592722	0.731973021	0.69696779	0.70178125	0.729886313	0.661458075	0.714059635	0.705157943	0.715116057	0.705094341	0.725825922	0.717292585	0.731858848	0.690601176	0.665067634	0.713732062	0.710700833	0.706346698	0.714206042	0.705497643	0.71218536	0.712896637	0.705585298	0.699792671	0.700187042	0.694157275	0.690785143	0.717903976	0.698342548	0.700805985	0.702590924	0.706099967	0.726130626
Effector memeory CD4 T cell	0.577064407	0.571312035	0.587221991	0.561244713	0.59603934	0.580555906	0.586121612	0.560789421	0.550498545	0.545889993	0.558184807	0.597357161	0.54856168	0.568346876	0.565545838	0.602875036	0.591942846	0.567598152	0.585778448	0.556176255	0.622242947	0.605604836	0.560543393	0.568471211	0.563295382	0.583438026	0.551706388	0.564527187	0.578094678	0.559163401	0.593397584	0.579903851	0.514781052	0.583543021	0.568150806	0.577033337	0.555293283	0.562682421	0.584539756	0.576749069	0.667557114	0.562650315	0.580773779	0.550868706	0.634786948	0.581967523	0.582311225	0.593155615	0.563215137	0.553668332	0.557179264	0.573203777	0.576613612	0.566270996	0.582537663	0.571549236	0.563980975	0.584726181	0.551957839	0.582642063	0.580099555	0.577488945	0.567558704	0.570331683	0.582864402	0.517495685	0.565728004	0.554858003	0.534750151	0.559370832	0.555616419	0.554436097	0.586634203	0.547488114	0.48755654	0.550593418	0.554910101	0.554117426	0.527650791	0.557663817	0.547073884	0.574240843	0.582384079	0.548607311	0.560933337	0.509452584	0.575351593	0.590783303	0.576215178	0.549824806	0.578941403	0.562295755	0.559083038	0.580314118	0.581859388	0.551297978	0.557229976	0.5843553	0.543776746	0.579163486	0.55986885	0.563900309	0.565088258	0.553250634	0.554840931	0.569367484	0.555337029	0.552709544	0.479781965	0.439939972	0.518404575	0.516710594	0.52932506	0.6033206	0.534514614	0.598403804	0.538629244	0.57984603	0.556670288	0.538241935	0.574971774	0.505381781	0.571579223	0.526752905	0.530962279	0.572964755	0.555417717	0.573835282	0.560239841	0.564745953	0.54625965	0.551000929	0.516548397	0.585992136	0.597772406	0.569164562	0.558935094	0.577877796	0.580494772	0.581962258	0.507078203	0.597320879	0.554424501	0.599311458	0.569405598	0.57811578	0.576416539	0.581552871	0.56047624	0.547503816	0.558397685	0.575124713	0.56637276	0.593700064	0.501319143	0.544887993	0.55165547	0.549140602	0.558728912	0.558861744	0.542722166	0.520298132	0.562901732	0.566959613	0.563241549	0.562197636	0.564199701	0.614746954	0.569821032	0.574946372	0.566737191	0.590076297	0.539116952	0.557193983	0.552263236	0.553435049
Effector memeory CD8 T cell	0.666365444	0.608306528	0.66597451	0.657691533	0.666041048	0.638196591	0.663421221	0.630171435	0.671853246	0.677122151	0.616922444	0.645706285	0.712279238	0.625434899	0.705374898	0.640967381	0.666016489	0.632779929	0.66910258	0.63797159	0.600811307	0.696653884	0.660006096	0.64141294	0.645711194	0.766280802	0.677653171	0.663944855	0.722436612	0.69774649	0.712975998	0.65981431	0.685655871	0.650475968	0.644867042	0.716417372	0.686160013	0.632140313	0.703205329	0.664831749	0.831134442	0.651379354	0.668991122	0.663143107	0.632740501	0.699494512	0.643304114	0.658972638	0.641349729	0.696168231	0.663278597	0.67209334	0.625488677	0.635324231	0.788162119	0.645744418	0.712612277	0.625335946	0.663496622	0.651841622	0.632381602	0.670063456	0.668179873	0.683427092	0.66790085	0.643241519	0.623623421	0.685986908	0.68361725	0.669611244	0.721641883	0.630555809	0.672251154	0.663853638	0.670164569	0.633747813	0.668527564	0.627150943	0.632362219	0.635237825	0.673409736	0.613065733	0.612962531	0.652219648	0.638405502	0.636315053	0.666902522	0.713556258	0.693490506	0.628947722	0.707645374	0.738320315	0.647698489	0.627662968	0.615972097	0.70039602	0.613585234	0.6530009	0.632264834	0.641680088	0.692912032	0.630356237	0.622337001	0.738878083	0.628733413	0.697789862	0.606525865	0.587437981	0.560048327	0.635537416	0.614867682	0.602163454	0.633740984	0.646812789	0.707422291	0.618799396	0.708159707	0.684623458	0.707909011	0.735811413	0.637569344	0.653304366	0.737221457	0.611690696	0.655382086	0.621264173	0.648171772	0.639166181	0.642373253	0.674163293	0.637217345	0.73690722	0.673518776	0.658535572	0.645456999	0.62216305	0.670879394	0.645025962	0.653864849	0.640838506	0.650578086	0.655765368	0.658612056	0.797938726	0.678192766	0.644492298	0.666600906	0.640404845	0.63244111	0.659284094	0.668014155	0.625249268	0.661159983	0.647969996	0.591471346	0.670633467	0.620598335	0.725604104	0.633616376	0.64125693	0.661071268	0.664928997	0.636291022	0.698145615	0.635688109	0.645696366	0.727919045	0.623539117	0.639584452	0.649431134	0.69608341	0.616648647	0.694366465	0.705506356	0.706754611	0.659711981
Gamma delta T cell	0.719351518	0.735031903	0.72579398	0.77573343	0.743806022	0.756333829	0.723739065	0.748326414	0.756002206	0.763264186	0.725605441	0.736974121	0.728422842	0.706363548	0.7374795	0.727728593	0.717819799	0.746106327	0.728556821	0.737894023	0.728288482	0.716540157	0.745579189	0.74197345	0.725876739	0.743074142	0.766658531	0.738049859	0.735580314	0.755547738	0.755854	0.753592499	0.698943114	0.754591913	0.752887029	0.745256104	0.735892929	0.736010176	0.727419145	0.760101142	0.692464814	0.738816275	0.753595096	0.706905067	0.719823368	0.747470748	0.754076147	0.759016951	0.715089722	0.760530035	0.744511912	0.736725768	0.740798405	0.762022625	0.755436239	0.744794545	0.767994179	0.752491253	0.73354795	0.775998016	0.763014406	0.77941692	0.732472635	0.729661469	0.748079132	0.734516023	0.726343866	0.751903068	0.757242584	0.764671845	0.757464254	0.694813556	0.748585717	0.727576427	0.783369959	0.737317146	0.741221095	0.727115167	0.748704507	0.704832823	0.717098772	0.742842558	0.731776225	0.740297943	0.749155333	0.732921444	0.772219633	0.737038383	0.744637357	0.750514512	0.766898892	0.758439955	0.736220136	0.736192118	0.738641215	0.752591746	0.740392121	0.74273753	0.725667278	0.733765751	0.755849112	0.741166587	0.73835447	0.736542132	0.739609492	0.755573905	0.737499039	0.69899416	0.743960415	0.679778464	0.745489497	0.785147242	0.724146891	0.750008779	0.75402511	0.757136501	0.732113032	0.742259335	0.738754745	0.727048581	0.753191389	0.714905483	0.740005484	0.749818589	0.741577824	0.742389541	0.703246985	0.719109433	0.739098454	0.729812789	0.721245834	0.731235802	0.746383753	0.740816198	0.75402152	0.732383918	0.734240595	0.729108618	0.746872543	0.736935813	0.748332936	0.771448834	0.736738353	0.729641084	0.762551745	0.734936743	0.709246517	0.722820856	0.721515574	0.73821149	0.690391521	0.730654337	0.753276323	0.745618058	0.731909766	0.734637673	0.666448387	0.765273788	0.748309098	0.745165611	0.730549683	0.708982389	0.740798895	0.745822936	0.75228622	0.727202593	0.751833299	0.737899263	0.715347284	0.755491562	0.792380324	0.744357767	0.74420831	0.766349579	0.764117894	0.724396365
Immature  B cell	0.555449004	0.54983147	0.566939014	0.567144613	0.565325678	0.557156769	0.553202314	0.574366176	0.545973663	0.569435481	0.548741307	0.526977373	0.566577493	0.557481358	0.57927338	0.562654361	0.549930249	0.541474588	0.568046711	0.582551077	0.549323421	0.556318131	0.575062662	0.549448694	0.581814626	0.586042568	0.557978205	0.546908166	0.546164564	0.557392874	0.577689623	0.553038567	0.571679685	0.538663454	0.530789367	0.546120419	0.528868057	0.572695674	0.529645232	0.555631931	0.677976698	0.603643456	0.543946259	0.57691814	0.47770229	0.584912532	0.560658318	0.521155511	0.57696555	0.614256899	0.562697406	0.565248708	0.562011642	0.550182293	0.562777792	0.537883172	0.572639088	0.542643138	0.575814398	0.566735798	0.537827573	0.568241638	0.559814485	0.58377686	0.597985244	0.553383827	0.545807353	0.554963046	0.540840199	0.559451922	0.561800711	0.577535177	0.544922868	0.56307668	0.501742403	0.544937583	0.552835378	0.562680419	0.527511575	0.537128806	0.545252748	0.537993492	0.581052008	0.537150123	0.552754898	0.559868751	0.547301791	0.581583171	0.537391211	0.541360611	0.563224006	0.558675774	0.531149526	0.538692795	0.549420691	0.564484741	0.547755149	0.578702668	0.562181567	0.557156835	0.558423314	0.578665048	0.549471383	0.578434958	0.529605332	0.564554548	0.562650259	0.553759644	0.631878234	0.546150974	0.486870458	0.543855679	0.596118191	0.55276895	0.593354265	0.566602342	0.571569268	0.575212824	0.586224962	0.589426323	0.557374822	0.567665866	0.587229746	0.556173313	0.544058386	0.58762472	0.564322321	0.558262406	0.579847932	0.5943504	0.564981864	0.573950266	0.564924094	0.567301758	0.550763904	0.536206148	0.577260845	0.557529145	0.577760504	0.549149913	0.562599869	0.576465148	0.561977463	0.594417483	0.561405392	0.578182794	0.570433083	0.584564978	0.546719364	0.572282219	0.521201639	0.555538439	0.54529217	0.585215077	0.524597261	0.585641785	0.527551088	0.52909646	0.585585376	0.563064476	0.574074693	0.556374528	0.603480653	0.568452141	0.570626037	0.570790331	0.555863029	0.504176428	0.543579703	0.561094853	0.593161381	0.507494973	0.573094927	0.556861012	0.538984544	0.603572477
Memory B cell	0.425154487	0.379613601	0.440941577	0.355461115	0.449490177	0.411169195	0.375969551	0.371711079	0.392544457	0.368273467	0.383123421	0.445210199	0.37498243	0.347988221	0.398599299	0.389781864	0.379080735	0.384590084	0.417920509	0.389301906	0.404805522	0.38046196	0.399303222	0.386651719	0.366813108	0.345600465	0.44104722	0.401336144	0.435968195	0.39771506	0.398045228	0.374121575	0.328205243	0.414690936	0.412238507	0.407314687	0.389182274	0.386315949	0.409591327	0.386838006	0.459436685	0.429739511	0.361082873	0.324166245	0.467655097	0.379519148	0.366771247	0.458982883	0.401129046	0.366324754	0.364080114	0.425947792	0.433018059	0.401797204	0.43880803	0.377299091	0.389352824	0.414404333	0.380523899	0.410363398	0.413739091	0.364176226	0.40420725	0.376344111	0.453493708	0.349618637	0.420637804	0.381657536	0.358751371	0.394569299	0.432244563	0.374953887	0.441328933	0.371985523	0.369623486	0.393580518	0.366210664	0.473761475	0.350274998	0.358169461	0.38887272	0.41258897	0.380751169	0.348130437	0.374925684	0.384855809	0.405519162	0.336655628	0.410369109	0.406077265	0.440521229	0.393167001	0.362678711	0.350374172	0.404040756	0.393656131	0.373023198	0.418469174	0.363263007	0.374770303	0.367501584	0.340391686	0.412523777	0.391329031	0.371428458	0.36279077	0.339662553	0.292047662	0.430024166	0.140732931	0.295477648	0.348890425	0.398073335	0.446522211	0.376906771	0.391023137	0.337693046	0.415947532	0.443735752	0.353916957	0.445443931	0.327157467	0.375074353	0.372144356	0.35612485	0.378759005	0.333212673	0.346900247	0.399001619	0.401824198	0.319049184	0.391730484	0.343458052	0.355895475	0.386177587	0.401183272	0.372360174	0.340843143	0.407343426	0.326419367	0.351510859	0.41786695	0.392089949	0.394034358	0.413034915	0.348212507	0.348441965	0.333063629	0.347422114	0.410054852	0.352247033	0.383861184	0.433300082	0.410683783	0.356141911	0.393687987	0.350503251	0.425444167	0.37652073	0.392264726	0.396192082	0.343081602	0.399593984	0.389640805	0.345632941	0.403332887	0.425767955	0.441747062	0.393167828	0.390150577	0.340641373	0.406909539	0.350245635	0.436448736	0.415869266	0.337855139
