gene,HR,z,pvalue,lower,upper
HOMER3,2.407442283,6.761163776,1.37E-11,1.86615765,3.10572815
UCK2,2.249093649,5.180019703,0.000000222,1.655077945,3.056304544
HS3ST1,2.173474008,8.515409022,1.66E-17,1.817827663,2.598700283
EMP1,2.094987411,6.205409713,5.46E-10,1.6585823,2.646219156
SH3RF1,1.923394136,5.922256497,3.18E-09,1.549017108,2.388253161
QPCT,1.834560526,4.035350488,0.0000545,1.366264883,2.463367365
RGL1,1.825431053,6.248181173,4.15E-10,1.511398132,2.204712616
FAM20A,1.824802685,6.146449254,7.92E-10,1.506329741,2.210608174
STAB1,1.793937342,7.02634487,2.12E-12,1.524084314,2.11157031
LRG1,1.739244289,5.96991382,2.37E-09,1.450268933,2.085799833
HES4,1.704125561,5.596719063,2.18E-08,1.413936887,2.053870972
ACOX2,1.698093604,5.802040033,6.55E-09,1.419970125,2.030691941
SPRY2,1.692464316,5.708019357,1.14E-08,1.412709019,2.027618867
ADM,1.691095835,7.699381264,1.37E-14,1.479399395,1.933085233
RNASE3,1.682105232,4.42763245,0.00000953,1.336212599,2.117535798
MRC2,1.677599034,4.387585926,0.0000115,1.331430373,2.113770706
CH25H,1.676531951,5.168217385,0.000000236,1.378184073,2.039465872
CD24,1.673657545,6.584383138,4.57E-11,1.435780598,1.950945417
CCL2,1.645189393,7.406129196,1.3E-13,1.442103234,1.876875436
SNAI1,1.643807697,5.275115639,0.000000133,1.366632615,1.977198345
MATK,1.640780223,5.403191168,6.55E-08,1.371016278,1.963623469
HTRA1,1.633059143,7.363759608,1.79E-13,1.433205875,1.860780931
GAL3ST4,1.623567773,4.65919027,0.00000317,1.324136095,1.990711019
PLA2G7,1.611330589,6.001283508,1.96E-09,1.378859611,1.882995373
MERTK,1.60085154,6.367163666,1.93E-10,1.384991015,1.850355436
IER3,1.591616036,6.646799762,3E-11,1.38778303,1.825387364
P2RY2,1.590421624,4.622436823,0.00000379,1.306377992,1.936224399
CCL7,1.585912292,7.414476787,1.22E-13,1.403902018,1.791519469
TM4SF1,1.585803828,7.75361988,8.93E-15,1.411335614,1.781839667
LGMN,1.581701965,6.223961576,4.85E-10,1.369049243,1.827385772
FAM198B,1.576410302,4.936574048,0.000000795,1.315796712,1.888642385
MUC21,1.568004323,6.97753397,3E-12,1.381894601,1.779178785
ARAP3,1.564100575,5.024426392,0.000000505,1.313664698,1.862279326
SNCA,1.561953147,3.600330463,0.000317813,1.225287915,1.991121928
SFTPA2,1.561537658,4.732342962,0.00000222,1.29834493,1.878083243
IL1RN,1.55850312,3.099851717,0.001936175,1.177234834,2.063251872
RNASE2,1.552785822,4.319170912,0.0000157,1.271711168,1.895983827
ECM1,1.542324414,4.604889728,0.00000413,1.282576027,1.854677264
MRVI1,1.535921682,7.313272941,2.61E-13,1.369058437,1.723122512
CST6,1.531476571,4.100631277,0.0000412,1.249205321,1.877530017
PID1,1.525147284,4.674882604,0.00000294,1.277784326,1.820396595
CEACAM7,1.511444849,6.852190115,7.27E-12,1.343011975,1.701001611
CYBRD1,1.509973297,3.044132092,0.002333527,1.158083654,1.968786409
ANGPTL4,1.507026207,5.898510804,3.67E-09,1.315026843,1.727058273
