ID	GSM1820739	GSM1820740	GSM1820741	GSM1820742	GSM1820743	GSM1820744	GSM1820745	GSM1820746	GSM1820747	GSM1820748	GSM1820749	GSM1820750	GSM1820751	GSM1820752	GSM1820753	GSM1820754	GSM1820755	GSM1820756	GSM1820757	GSM1820758	GSM1820759	GSM1820760	GSM1820761	GSM1820762	GSM1820763	GSM1820764	GSM1820765	GSM1820766	GSM1820767	GSM1820768	GSM1820769	GSM1820770	GSM1820771	GSM1820772	GSM1820773	GSM1820774	GSM1820775	GSM1820776	GSM1820777	GSM1820778	GSM1820779	GSM1820780	GSM1820781	GSM1820782	GSM1820783	GSM1820784	GSM1820785	GSM1820786	GSM1820787	GSM1820788	GSM1820789	GSM1820790	GSM1820791	GSM1820792	GSM1820793	GSM1820794	GSM1820795	GSM1820796	GSM1820797	GSM1820798	GSM1820799	GSM1820800	GSM1820801	GSM1820802	GSM1820803	GSM1820804	GSM1820805	GSM1820806	GSM1820807	GSM1820808	GSM1820809	GSM1820810	GSM1820811	GSM1820812	GSM1820813	GSM1820814	GSM1820815	GSM1820816	GSM1820817	GSM1820818	GSM1820819	GSM1820820	GSM1820821	GSM1820822	GSM1820823	GSM1820824	GSM1820825	GSM1820826	GSM1820827	GSM1820828	GSM1820829	GSM1820830	GSM1820831	GSM1820832	GSM1820833	GSM1820834	GSM1820835	GSM1820836	GSM1820837	GSM1820838	GSM1820839	GSM1820840	GSM1820841	GSM1820842	GSM1820843	GSM1820844	GSM1820845	GSM1820846	GSM1820847	GSM1820848	GSM1820849	GSM1820850	GSM1820851	GSM1820852	GSM1820853	GSM1820854	GSM1820855	GSM1820856	GSM1820857	GSM1820858	GSM1820859	GSM1820860	GSM1820861	GSM1820862	GSM1820863	GSM1820864	GSM1820865	GSM1820866	GSM1820867	GSM1820868	GSM1820869	GSM1820870	GSM1820871	GSM1820872	GSM1820873	GSM1820874	GSM1820875	GSM1820876	GSM1820877	GSM1820878	GSM1820879	GSM1820880	GSM1820881	GSM1820882	GSM1820883	GSM1820884	GSM1820885	GSM1820886	GSM1820887	GSM1820888	GSM1820889	GSM1820890	GSM1820891	GSM1820892	GSM1820893	GSM1820894	GSM1820895	GSM1820896	GSM1820897	GSM1820898	GSM1820899	GSM1820900	GSM1820901	GSM1820902	GSM1820903	GSM1820904	GSM1820905	GSM1820906	GSM1820907	GSM1820908	GSM1820909	GSM1820910	GSM1820911	GSM1820912	GSM1820913	GSM1820914
PPBP	12.379986	11.462355	12.775101	11.893845	11.982252	13.909023	11.778543	13.270845	12.46289	9.525018	11.597534	12.684799	9.665921	12.292472	12.743013	10.426573	14.69417	13.638207	9.589667	8.58498	10.970174	10.121786	11.352425	12.629399	12.963453	9.586332	15.507786	10.834972	13.305672	13.165558	11.292625	14.18095	7.9632258	13.03315	10.532359	13.503743	11.766203	8.090084	10.812563	12.677031	12.099078	9.692492	13.849476	10.663005	11.109065	9.9759362	10.738549	14.396888	10.510853	11.143292	10.295784	11.68498	13.909023	13.574214	8.664683	11.838569	13.190791	12.412046	12.72016	13.010801	14.376744	7.450303	11.857998	10.219159	8.406608	9.359649	12.763045	11.069061	8.817059	11.241876	12.644294	11.199435	9.50231	12.12273	13.465318	10.215867	11.299193	9.233739	10.979775	12.337252	12.418762	15.088822	11.347338	11.612348	12.525663	9.7328868	10.576424	11.118656	11.383575	11.770047	11.965848	11.076426	14.308118	10.184567	11.306212	9.089588	10.905727	12.57552	7.214123	9.158423	10.192651	11.160846	14.055027	9.017034	13.062404	5.488136	10.97626	12.12273	10.570637	11.0269751	11.090509	11.876076	11.42286	11.636856	8.550745	11.107213	13.002327	11.614313	13.3392907	6.819602	12.580784	10.479782	10.39297	11.001771	13.603135	10.643832	8.227412	10.09986	14.282206	9.310473	11.030185	12.30577	12.533144	12.866913	10.287605	11.191183	9.073164	12.173574	13.85898	3.714304	12.990606	12.329276	13.217651	4.261317	11.74134	11.590824	9.571627	10.054344	8.475113	11.782439	9.2979314	12.615783	10.429952	13.077019	10.54111	10.709313	12.0098313	8.420991	3.870899	13.3791549	12.265221	12.438544	10.760334	12.789219	12.088429	11.259069	8.875758	11.48924	14.261869	12.699116	12.310871	13.2700089	11.023695	10.338667	10.106674	7.653338
SPP1	10.992966	11.327806	9.930704	14.401749	9.247503	10.507789	12.269628	9.140301	9.574198	10.143089	10.864931	10.585975	7.408828	10.237702	10.976715	10.328989	13.013979	11.221848	11.484096	11.974842	11.304051	10.629782	15.504093	12.0543	9.841922	9.451541	10.4869884	11.180601	10.468129	9.357343	13.17482	10.631097	7.9434916	12.550816	10.704031	12.225088	9.537582	7.616747	8.687341	12.317762	3.3583274	11.570931	12.282526	7.965901	13.247481	13.9677364	11.946929	14.012292	9.06844	11.258305	10.295831	8.52968	9.674203	12.490157	12.006747	11.332207	12.156605	9.330798	9.203335	15.034376	13.223718	16.03627	11.350157	9.972302	13.514512	9.808136	8.891456	11.609164	14.229046	12.92456	9.5082	9.029468	9.637143	11.150008	11.61725	11.597291	11.25478	9.02205	11.493488	12.259733	7.541223	11.417726	12.652127	13.663903	11.044319	10.6812201	16.654491	10.767162	8.480342	10.899072	13.711369	12.259733	11.689249	10.531323	13.816288	10.848389	10.96617	10.51029	9.767991	13.165228	14.644495	13.446122	10.336718	12.271072	11.950725	13.681752	9.006188	8.264693	9.204293	9.9597868	11.608345	12.861972	11.527962	11.456512	13.236844	12.576953	12.624303	6.535571	7.3681718	8.752191	9.939722	8.849878	12.179719	8.149703	12.298855	13.517787	10.092843	9.467842	10.10569	11.545403	6.817601	9.185574	10.530156	12.268895	9.054529	9.873772	8.049753	9.541684	12.892736	12.935587	13.236844	8.897897	9.041137	12.822401	11.341525	10.134516	9.016518	9.453522	14.821964	8.49656	10.3400399	8.329255	9.968076	13.332336	7.569646	10.586541	7.2868623	12.508201	13.172544	15.2034163	8.901343	6.826365	7.72715	10.186734	10.872912	9.461031	11.081375	11.46829	13.358266	11.092535	11.930022	12.6243031	11.387352	13.91328	13.670306	11.705255
MMP7	6.706293	7.835237	6.450837	11.520172	7.568899	5.756125	8.262981	5.252391	6.862624	7.846312	8.07344	4.113309	5.540394	7.139671	5.727467	7.206422	9.339361	7.925536	7.256084	7.249682	7.922538	7.245774	13.807146	8.496526	5.423436	6.315581	6.5202616	8.716646	5.550405	5.86164	9.334319	7.355815	5.7729448	8.987013	7.950944	8.922433	6.526862	5.681084	4.01609	9.858475	2.4821825	6.870741	9.57988	2.580424	10.108453	10.0248352	10.337201	10.753406	7.582804	6.974399	6.711011	6.250092	6.371294	9.588988	9.285942	8.046366	8.938397	7.914602	6.254414	12.046186	9.083892	11.880718	8.378371	7.049486	10.229421	6.25375	5.888671	8.163389	11.196019	9.360905	6.208167	7.34029	6.733096	6.531558	6.260072	8.693256	9.30921	8.149606	8.9718	9.179351	7.195826	8.867813	11.194327	8.749126	7.359116	7.1260912	13.6877	7.45496	5.546456	7.006982	8.804018	7.760727	7.801136	8.01221	7.485538	7.409055	7.370656	6.602677	4.895359	9.915367	10.382801	11.443969	7.823462	7.126091	6.98635	10.496165	5.618863	5.055759	3.388267	5.8048746	7.519913	8.601077	7.22138	6.310011	10.696712	10.110147	8.677464	6.185213	5.9108438	6.207284	6.494826	5.244138	7.69653	4.926115	8.687335	10.864114	5.141035	6.648528	6.20543	7.745333	2.89767	6.149325	7.947642	8.382217	6.937445	7.067208	5.12186	5.957247	8.810473	9.731744	9.506936	7.297894	5.350688	8.684208	7.813092	6.556994	7.124968	5.778135	12.770813	7.92916	6.0559554	5.731297	7.403209	9.895468	4.026098	6.36696	1.7211047	7.38524	9.822258	10.8193479	8.103635	6.946519	4.924741	7.878117	6.533725	6.771971	4.982812	6.968138	9.596874	7.039453	8.313583	8.8711977	8.322158	11.038169	10.912794	8.414746
SFTPB	6.246914	7.449693	10.3104	10.837977	7.997469	8.645438	8.373729	5.660583	7.075991	7.95859	7.677234	6.047061	9.262493	7.467469	7.015429	5.836723	8.961558	10.535259	8.848026	6.130109	7.297145	7.851257	9.447373	9.921583	6.99148	10.149954	9.0712123	7.788789	10.046631	6.515417	10.779918	10.80557	5.940706	11.472019	9.832245	10.601214	7.798895	4.923101	6.789749	11.186729	5.6032443	7.60455	11.071901	7.956522	14.183915	8.1122437	8.97808	12.815644	8.465923	8.630475	8.954941	7.559599	7.77679	11.340009	11.926108	12.719571	13.278671	10.294433	8.280033	12.476422	14.141462	10.675065	10.748351	8.882005	9.61507	8.493874	9.309615	11.111738	12.387394	7.419132	8.494894	9.207885	8.506207	8.025666	10.266068	7.670762	7.434876	5.041764	12.217292	7.278373	9.327385	11.118751	7.878022	7.228726	7.163015	7.696103	11.659324	9.614469	8.537862	9.043402	11.046412	11.143537	9.060435	7.223592	7.625856	7.390602	10.769487	11.106297	5.279393	6.486459	10.138701	8.077913	8.601756	6.534722	8.756227	12.340659	5.503416	6.38906	8.465923	4.7479733	5.299782	9.516338	6.01233	8.316628	10.456817	6.985147	10.400182	7.209524	9.0466134	18.624318	7.082912	5.545462	5.182605	6.583746	11.930481	8.17103	5.968822	8.223971	8.929354	6.343997	7.39646	10.82703	7.365039	9.6153	6.21092	7.048923	6.334008	7.968318	9.532495	9.283237	8.530506	10.30809	10.68381	11.854188	6.941536	8.328378	7.940599	5.944891	9.021631	8.813135	5.426917	8.197134	10.134366	7.362376	7.536492	8.949415	7.937759	6.802419	6.024306	9.6624934	6.83674	8.871385	7.985144	10.679929	10.932866	9.292699	9.098422	8.340699	11.056353	9.509736	8.489575	7.6806937	7.992479	10.250674	11.022342	5.811155
ITGB3	4.585651	4.707833	5.11322	8.22611	5.209814	6.026488	6.960901	3.768527	4.620689	4.964302	6.444813	5.123075	2.153563	5.935327	5.699002	4.849831	7.04912	7.162899	6.086276	7.049624	6.916001	5.730242	8.134653	6.821374	6.98984	5.072111	4.5540969	5.010213	6.270806	5.406868	7.875003	7.063003	4.1450145	6.83066	5.739871	5.188791	5.651098	4.681351	2.862728	7.925675	8.9962052	5.721789	8.220143	4.908206	8.423839	7.8922249	7.398036	7.171467	5.673303	6.23904	5.08302	3.480985	4.897292	8.069317	5.087511	7.097014	7.597126	6.490004	5.157447	8.904997	7.834115	9.010453	6.094208	5.556749	6.754569	4.324351	3.751098	6.094809	7.633653	6.250843	5.971722	3.998297	4.06963	5.470604	5.73213	5.558625	5.494562	5.871149	5.680188	4.283894	3.361606	6.989219	7.643865	5.603664	4.455286	3.7685265	9.240195	5.320737	4.730916	4.679867	6.232997	7.627969	6.112138	4.241136	5.080357	4.969551	5.422697	4.111153	3.694064	6.138247	5.427352	5.177615	2.85316	4.125598	6.180117	5.421431	1.950373	1.801323	2.483542	2.2842418	2.942983	4.589733	5.479374	5.995225	6.541652	5.948279	5.857272	3.834494	3.951476	4.098987	3.895144	3.267853	6.165163	3.186316	6.828214	6.697235	4.075304	7.435468	5.438755	5.396886	5.080578	4.463051	6.3342	6.249839	4.16942	4.532589	3.889041	5.135289	7.670387	4.24525	8.530467	3.911783	6.196537	5.50557	5.974336	6.218882	4.129872	5.989402	8.672576	6.602867	2.7610892	4.720086	6.209901	6.582285	2.86419	5.814334	2.5228155	4.806705	7.399222	8.7838765	2.679282	3.793472	4.491963	5.684088	6.316144	3.319525	3.108731	6.603383	9.916774	3.976471	5.580626	2.5471869	2.76251	6.66411	6.624329	4.686417
CYP1B1	11.948847	8.081038	8.151241	10.653967	8.85131	7.051369	9.830026	5.533332	6.649127	8.082852	8.232935	7.641161	6.167933	7.090987	8.021917	5.985052	8.74793	6.499465	9.897267	11.681786	12.218489	6.862754	8.925361	7.903287	8.287955	9.054497	7.5711805	7.05857	9.235384	8.761029	8.029739	7.19466	5.6040099	8.710992	7.868423	7.818636	5.927032	9.192058	5.046901	8.899348	11.4349962	8.516812	9.264873	4.43553	9.785936	11.1419129	8.299541	8.903808	6.43754	9.246382	8.168751	6.603294	7.524498	8.998461	10.906606	7.648126	9.898594	5.773011	6.912248	10.146419	9.085367	10.163999	8.33629	7.007748	9.652294	5.972843	5.879995	8.54151	9.020858	7.26591	9.424989	5.371712	7.765011	6.364951	7.398934	8.068432	7.587042	10.800729	9.328958	8.900335	6.564558	6.952795	7.818636	7.130669	7.562243	8.2093189	9.303357	8.90596	6.217817	7.107102	10.441233	8.770902	7.299775	5.64698	6.919041	5.941006	6.090399	7.93255	7.260377	7.271425	8.689655	7.049478	8.635763	7.250351	6.582523	10.247323	6.042406	4.291952	6.109105	3.9671806	5.805437	7.218818	7.44471	7.082985	9.817775	6.846089	6.119647	7.531012	6.1172762	6.4691	5.634554	6.48048	8.064677	7.438793	8.041559	7.985892	7.074564	7.297758	7.572186	9.105653	5.951408	6.588479	6.338299	9.950466	9.02002	7.058338	7.86167	6.268555	9.80916	12.249583	9.05675	4.564703	7.669643	7.988576	7.937024	7.242641	9.099178	8.141944	10.555876	7.771157	4.994483	6.782207	8.165124	9.595504	6.200939	6.929234	1.7160741	3.920949	12.139076	8.8514804	7.138134	5.534669	7.911812	8.042097	7.149451	6.315382	6.599118	9.616936	9.477641	9.064315	7.585677	7.5390414	9.038325	8.558847	8.913981	6.481139
LRRC2	9.92581	7.533865	6.070254	7.00163	8.288945	7.066526	12.560231	9.540414	4.757325	5.697344	5.961004	7.070938	9.490561	6.583293	7.865021	6.418024	10.044755	3.619302	9.609463	9.117269	8.271806	7.19128	8.983347	7.232416	9.736828	10.127276	7.8979027	12.011416	10.740757	8.57371	7.18921	7.925407	6.6897318	8.602967	5.513749	7.911648	8.654886	5.732679	6.577878	6.708184	5.170642	7.776082	9.306087	8.236932	9.023473	10.0780644	6.076006	4.40761	3.868894	6.266311	4.385273	5.084669	7.11337	6.227528	4.160425	4.46149	5.874108	4.233024	4.370537	4.066056	5.897151	5.761812	5.106222	5.341227	3.909751	5.651718	5.525491	6.159999	5.256477	7.97831	6.099388	2.00094	5.625424	3.866767	7.764651	8.160737	9.225272	6.139437	7.433226	13.930578	7.980916	5.491649	3.631336	8.138505	4.35129	8.9611443	8.618941	3.224274	2.408341	5.140046	5.364058	5.225672	8.53116	4.383109	7.213464	2.6652	3.943338	3.888848	4.732706	4.697135	6.880673	3.461963	6.430428	6.525868	7.987583	6.567947	8.154963	9.187242	7.556939	7.9996228	9.403727	8.74775	6.056928	5.06704	5.101451	4.038526	4.181137	5.629845	6.6916993	6.434506	6.187786	3.204801	5.470102	9.952442	10.13854	5.74487	4.977782	6.197902	7.892068	6.663702	4.970528	6.029356	8.00544	6.856338	7.161987	9.420268	5.441158	4.944901	8.531816	8.254439	5.675886	5.737704	5.320687	4.593376	3.149235	2.999317	5.155866	6.742237	10.131906	3.412564	8.7783672	3.186387	4.325947	4.627662	11.855599	4.734351	9.1732029	11.450697	4.694212	8.2260047	5.751836	5.091454	6.363959	5.768832	5.246228	4.77901	3.979018	5.78679	11.269159	9.311571	5.834876	8.0257127	7.628929	9.202608	9.405113	6.754912
TUBB3	3.92848	3.304739	4.969007	8.441543	4.942333	4.910575	3.663485	3.708069	4.250861	5.389436	6.07797	4.665248	4.291699	3.968445	3.188321	3.418483	4.821397	6.542685	5.417142	4.306902	6.223547	3.78819	5.831786	6.785698	4.570775	5.663487	6.8768909	6.496248	7.036049	5.510564	7.51097	7.704112	3.9962238	7.762943	6.296335	7.789528	4.488107	2.435777	2.403614	6.882219	2.525919	4.909918	8.633679	2.512437	8.58391	4.5363384	6.515556	6.994499	5.68825	6.772716	6.15553	2.638327	4.780357	8.392447	8.354324	7.603843	8.268089	5.679876	5.466425	8.435793	9.077204	9.043549	6.883986	6.544002	6.511637	5.520392	4.756072	7.487738	8.897365	5.747337	6.169339	5.623812	5.365554	5.761263	5.892038	5.730051	5.68825	7.124139	9.576608	4.594069	5.531084	7.548785	7.053733	6.644443	5.531084	2.3571102	9.926512	5.646846	4.937778	6.075498	9.468519	7.792635	4.554053	4.785008	6.071372	6.938399	6.881136	6.390116	3.382118	5.857593	6.592798	6.645687	4.62108	5.821891	6.362367	7.591298	3.453771	2.104373	2.67957	2.4772505	3.054307	14.893787	5.253895	4.955292	7.544586	4.5549	7.772218	4.695273	4.2362382	5.216028	5.810356	2.746492	6.339105	1.048409	9.183067	6.975752	3.698875	6.324415	5.048832	5.603576	3.441253	5.095488	6.712841	6.77169	2.409339	3.087566	4.71121	4.942009	8.065524	5.783452	8.607089	6.62565	6.54567	6.692574	6.559931	3.581388	5.487801	5.775898	8.353131	6.337863	4.1982874	4.889433	5.058438	6.523234	1.535896	6.153085	1.4320051	2.395281	5.406209	8.3635062	5.123732	4.344297	3.499601	6.22495	6.010334	5.314079	5.117176	6.242072	6.882858	7.071365	6.919371	7.1183183	6.690818	9.4912	9.058094	4.803805
CYTL1	5.605512	6.127588	6.221019	7.935043	5.536876	5.62356	7.277486	5.481953	5.446664	5.964306	6.140339	5.431945	3.034811	5.730641	7.144856	4.585082	6.042354	6.392805	7.348359	6.153046	6.110558	6.831737	5.981493	5.670079	6.346231	4.716016	4.4435101	5.32027	6.1721	6.797985	7.297323	5.431945	2.1165629	6.296274	6.876869	6.035939	5.987043	4.92652	4.218216	7.072385	4.9755179	5.487658	5.190114	4.671891	7.698379	7.7541486	6.739101	7.632065	6.061405	7.11112	4.703262	4.903662	3.748314	7.301933	6.228324	7.420991	7.107542	6.518685	5.107643	8.287846	7.215002	7.087561	5.520188	4.83172	7.04129	6.603378	5.344705	6.62026	5.289109	4.046584	6.859155	4.273495	4.88312	6.352472	4.043627	4.597662	5.643446	6.53212	6.046898	5.487658	4.156543	5.82305	6.216869	5.779253	6.454423	6.9025793	7.706389	4.957811	4.613751	4.031546	5.056549	6.794365	6.192255	3.699855	5.31892	4.672514	6.820857	6.742138	4.261349	6.239785	4.922912	6.722745	5.313298	4.914798	5.694145	4.623657	4.663557	5.658451	7.546049	7.4215338	2.949217	5.716702	5.668727	6.195337	5.713452	5.934245	3.548539	5.450388	5.5880825	4.908405	5.533845	4.976472	5.640824	2.198733	7.330078	7.543451	5.486312	5.737682	4.95091	4.844201	4.930465	4.390694	5.609255	6.355081	6.172988	4.298607	5.199255	4.954922	6.434801	3.283393	5.884573	5.911138	6.694588	3.793854	6.431633	5.167708	4.660854	5.880153	5.67756	5.759218	5.2824077	4.058813	5.731982	7.00803	2.316922	5.981765	2.2816528	2.302528	9.329722	6.9247713	4.767306	5.266116	4.891861	6.00465	5.379687	5.604543	4.335874	6.767314	8.471973	6.676393	7.370866	6.1520595	6.314324	6.451933	6.353402	6.090223
TIMP3	4.211847	3.600837	4.263252	4.655682	5.65769	4.574914	6.784694	3.762311	4.912208	6.027933	5.856072	4.535357	4.01366	4.420579	4.731061	3.911578	6.420692	5.766777	5.935066	5.244927	6.824158	4.701214	7.660666	6.688057	3.677609	4.431668	4.6480265	6.120837	5.43601	4.705814	6.531606	4.754629	4.094027	6.363618	6.007998	5.971186	4.724743	2.152617	3.185609	6.716594	2.2207243	6.024558	5.782653	4.263252	6.227621	5.255025	5.778701	6.347565	4.770932	5.199516	5.136595	5.062074	5.746722	7.819117	3.535944	6.027459	5.969827	4.138919	4.720674	9.226912	7.540392	6.406728	5.022274	5.176523	7.656714	4.23438	3.95484	6.143678	7.457783	4.027395	4.787015	4.998934	4.694325	4.998934	7.384555	5.718835	6.148866	4.482088	7.260889	6.142367	4.400184	5.387912	7.385709	5.422569	5.442804	6.4780253	9.133184	4.96312	4.951956	5.211511	4.908735	4.291999	4.255391	4.204808	6.125336	4.840999	5.468588	6.854059	6.642774	6.435927	5.695148	6.745429	6.050175	3.549306	5.903419	7.145486	2.479151	2.505493	2.571149	13.7160289	9.232135	7.340708	4.868208	5.375464	6.740196	6.31943	5.610667	6.38489	2.279375	6.736525	5.242559	5.311193	4.73699	6.228722	5.745346	5.311816	3.82786	4.212181	3.384997	4.882986	2.678686	2.422756	3.899008	5.683605	6.544488	4.558558	5.067741	3.26265	6.119512	6.407291	4.413723	3.562978	4.591064	6.996967	5.986291	5.268621	3.046206	3.348311	5.55855	4.975092	3.3743099	3.531817	5.829357	7.033226	3.64902	5.375464	1.8881856	5.735131	8.499204	7.2642825	3.918408	3.628776	4.872476	5.362909	3.261463	5.025792	4.583692	5.383327	8.595883	6.594984	7.144516	6.7876666	5.365098	9.414773	9.150725	5.801993
