gene	GSE70866	GSE110147	GSE10667
SPP1	0.940056818	1	0.956989247
MMP7	0.897301136	0.962809917	0.890322581
PLA2G7	0.872727273	0.991735537	0.802150538
ARAP3	0.865909091	1	0.791397849
COL1A1	0.713352273	1	0.916129032
TIMP3	0.879261364	1	0.744086022
DACH1	0.819886364	0.94214876	0.858064516
NT5DC2	0.809090909	0.995867769	0.778494624
F13A1	0.814204545	0.983471074	0.784946237
KRT17	0.750568182	0.925619835	0.901075269
CXCL14	0.782102273	0.917355372	0.875268817
PRSS8	0.761079545	1	0.793548387
RAB3IL1	0.831818182	0.991735537	0.71827957
MRVI1	0.759232955	1	0.774193548
MERTK	0.831960227	1	0.698924731
CLDN18	0.666619318	0.995867769	0.858064516
CD24	0.738352273	0.979338843	0.802150538
SH3RF1	0.800284091	0.855371901	0.855913978
MALL	0.774715909	1	0.733333333
HOMER3	0.877840909	0.727272727	0.901075269
P2RY2	0.834375	1	0.668817204
SNCA	0.833806818	0.991735537	0.677419355
QPCT	0.832670455	1	0.643010753
EHD2	0.813920455	1	0.643010753
GAL3ST4	0.803125	0.995867769	0.64516129
SFTPC	0.810085227	0.876033058	0.750537634
CCL13	0.768181818	0.82231405	0.838709677
HTRA1	0.876136364	0.628099174	0.920430108
CCL2	0.859517045	0.97107438	0.593548387
STEAP4	0.734090909	0.966942149	0.722580645
PDZK1IP1	0.732954545	0.962809917	0.724731183
CYP1B1	0.827272727	0.909090909	0.675268817
ANGPTL4	0.803409091	1	0.606451613
RNASE1	0.819460227	0.950413223	0.625806452
FABP3	0.878977273	0.67768595	0.83655914
MATK	0.909943182	0.958677686	0.490322581
AQP4	0.802556818	0.743801653	0.810752688
CDA	0.881392045	0.958677686	0.516129032
STAB1	0.852272727	0.673553719	0.819354839
ACOX2	0.858238636	0.888429752	0.591397849
PID1	0.822869318	0.954545455	0.559139785
CMKLR1	0.796875	1	0.533333333
S100A12	0.80625	0.979338843	0.544086022
RGS2	0.809375	0.855371901	0.662365591
CD36	0.828125	0.657024793	0.840860215
TPST1	0.761363636	0.739669421	0.823655914
HES4	0.799573864	0.876033058	0.647311828
MRC2	0.808948864	0.962809917	0.54516129
ALPL	0.728835227	0.954545455	0.612903226
ECM1	0.821164773	0.681818182	0.792473118
IER3	0.794886364	1	0.492473118
UCK2	0.885795455	0.777892562	0.623655914
CEACAM6	0.711647727	0.925619835	0.649462366
ABLIM3	0.847159091	0.867768595	0.565591398
HBB	0.688636364	0.938016529	0.650537634
FAM20A	0.809090909	0.859504132	0.597849462
LRG1	0.801420455	0.94214876	0.507526882
G0S2	0.698153409	0.987603306	0.55483871
IL1R2	0.778409091	0.851239669	0.602150538
RGL1	0.848863636	0.847107438	0.524731183
ADM	0.816761364	0.859504132	0.541935484
RNASE2	0.894034091	0.607438017	0.707526882
MUC1	0.765198864	0.873966942	0.56344086
SNAI1	0.829829545	0.826446281	0.541935484
CH25H	0.824573864	0.809917355	0.561290323
KRT80	0.731534091	0.685950413	0.753763441
CYTL1	0.924431818	0.487603306	0.750537634
ITGB3	0.895028409	0.723140496	0.544086022
TM4SF1	0.805113636	0.545454545	0.795698925
SFTPB	0.870028409	0.834710744	0.427956989
HS3ST2	0.728125	0.665289256	0.735483871
HS3ST1	0.81875	0.590909091	0.694623656
HBA2	0.674857955	0.871900826	0.55483871
LGMN	0.755681818	0.615702479	0.713978495
CYBRD1	0.877698864	0.628099174	0.549462366
SDS	0.867613636	0.570247934	0.608602151
LIPH	0.659659091	0.657024793	0.724731183
PI3	0.748579545	0.67768595	0.587096774
SLC40A1	0.73125	0.719008264	0.511827957
EMP1	0.875568182	0.400826446	0.683870968
IL1RN	0.876917614	0.466942149	0.55483871
AREG	0.724715909	0.690082645	0.468817204
MMP9	0.721448864	0.541322314	0.604301075
CYR61	0.711647727	0.504132231	0.632258065
SLC24A3	0.739488636	0.57231405	0.507526882
SFN	0.798011364	0.44214876	0.548387097
LRRC4	0.639488636	0.58677686	0.556989247
