cell_type	gene	avg_logFC	p_val	p_val_adj	de_family	de_method	de_type
Macrophage	A1BG	0.166761887	0.255829145	0.835907844	pseudobulk	edgeR	LRT
Macrophage	A1BG-AS1	0.215028565	0.266823718	0.835907844	pseudobulk	edgeR	LRT
Macrophage	A2M	0.837410342	0.037448347	0.594376283	pseudobulk	edgeR	LRT
Macrophage	A2M-AS1	-0.233816717	0.63577766	1	pseudobulk	edgeR	LRT
Macrophage	A2ML1	-0.42361416	0.320722587	0.835907844	pseudobulk	edgeR	LRT
Macrophage	A4GALT	-0.606757799	0.28539677	0.835907844	pseudobulk	edgeR	LRT
Macrophage	A4GNT	-1.916123739	0.001403159	0.173998105	pseudobulk	edgeR	LRT
Macrophage	AAAS	-0.236291222	0.099615237	0.731891572	pseudobulk	edgeR	LRT
Macrophage	AACS	-0.367002334	0.046430459	0.615889033	pseudobulk	edgeR	LRT
Macrophage	AADAC	0.61382725	0.48537166	0.968967904	pseudobulk	edgeR	LRT
Macrophage	AADACL2	0.252032764	0.778881586	1	pseudobulk	edgeR	LRT
Macrophage	AADAT	-0.366600473	0.56976649	1	pseudobulk	edgeR	LRT
Macrophage	AAED1	0.05861482	0.708076312	1	pseudobulk	edgeR	LRT
Macrophage	AAGAB	0.050855781	0.698813247	1	pseudobulk	edgeR	LRT
Macrophage	AAK1	-0.146107533	0.334783642	0.851374026	pseudobulk	edgeR	LRT
Macrophage	AAMDC	-0.303485391	0.030352443	0.562451745	pseudobulk	edgeR	LRT
Macrophage	AAMP	0.205051339	0.141768687	0.756645391	pseudobulk	edgeR	LRT
Macrophage	AANAT	0.597458214	0.202637542	0.780066642	pseudobulk	edgeR	LRT
Macrophage	AAR2	-0.016781238	0.906683254	1	pseudobulk	edgeR	LRT
Macrophage	AARD	0.152412667	0.805832267	1	pseudobulk	edgeR	LRT
Macrophage	AARS	0.080465862	0.640380842	1	pseudobulk	edgeR	LRT
Macrophage	AARS2	-0.325825268	0.214576201	0.795624516	pseudobulk	edgeR	LRT
Macrophage	AARSD1	-0.279702215	0.192584329	0.780066642	pseudobulk	edgeR	LRT
Macrophage	AASDH	-0.036764742	0.858374565	1	pseudobulk	edgeR	LRT
Macrophage	AASDHPPT	-0.146418083	0.330542808	0.846932398	pseudobulk	edgeR	LRT
Macrophage	AASS	0.165556692	0.74269493	1	pseudobulk	edgeR	LRT
Macrophage	AATBC	-0.464737442	0.364473044	0.881120658	pseudobulk	edgeR	LRT
Macrophage	AATF	-0.30641659	0.045411954	0.610403754	pseudobulk	edgeR	LRT
Macrophage	AATK	0.895828242	0.034609578	0.578504934	pseudobulk	edgeR	LRT
Macrophage	ABALON	0.019572511	0.972376314	1	pseudobulk	edgeR	LRT
Macrophage	ABAT	-0.260685499	0.205914218	0.782292291	pseudobulk	edgeR	LRT
Macrophage	ABC12-49244600F4.4	0	1	1	pseudobulk	edgeR	LRT
Macrophage	ABC7-42404400C24.1	0.464004979	0.47857962	0.965580099	pseudobulk	edgeR	LRT
Macrophage	ABCA1	0.472954985	0.209416281	0.788114964	pseudobulk	edgeR	LRT
Macrophage	ABCA10	0.069792262	0.896519034	1	pseudobulk	edgeR	LRT
Macrophage	ABCA12	0.576138234	0.43529086	0.936098886	pseudobulk	edgeR	LRT
Macrophage	ABCA13	-1.105202736	0.323775369	0.840345173	pseudobulk	edgeR	LRT
Macrophage	ABCA2	-0.240945369	0.457180598	0.950865314	pseudobulk	edgeR	LRT
Macrophage	ABCA3	-0.469761582	0.131601785	0.756645391	pseudobulk	edgeR	LRT
Macrophage	ABCA4	0	1	1	pseudobulk	edgeR	LRT
Macrophage	ABCA5	0.204190159	0.269625314	0.835907844	pseudobulk	edgeR	LRT
Macrophage	ABCA6	-0.119436705	0.828816273	1	pseudobulk	edgeR	LRT
Macrophage	ABCA7	-0.478215481	0.01836673	0.478005914	pseudobulk	edgeR	LRT
Macrophage	ABCA8	1.127547294	0.059513976	0.676750329	pseudobulk	edgeR	LRT
Macrophage	ABCA9	0.87725316	0.240004312	0.829852211	pseudobulk	edgeR	LRT
Macrophage	ABCB1	0.706366095	0.28139502	0.835907844	pseudobulk	edgeR	LRT
Macrophage	ABCB10	0.0694371	0.70347104	1	pseudobulk	edgeR	LRT
Macrophage	ABCB11	0	1	1	pseudobulk	edgeR	LRT
