ID	Subtype
GSM269764_treat	B
GSM269765_treat	A
GSM269766_treat	B
GSM269767_treat	A
GSM269768_treat	A
GSM269769_treat	B
GSM269770_treat	A
GSM269771_treat	B
GSM269772_treat	B
GSM269773_treat	B
GSM269774_treat	B
GSM269775_treat	B
GSM269776_treat	B
GSM269777_treat	A
GSM269778_treat	A
GSM269779_treat	B
GSM269780_treat	B
GSM269781_treat	B
GSM269782_treat	A
GSM269783_treat	A
GSM269784_treat	A
GSM269785_treat	A
GSM269786_treat	A
GSM373881_treat	B
GSM373882_treat	B
GSM373883_treat	B
GSM373884_treat	B
GSM373885_treat	B
GSM373886_treat	A
GSM373887_treat	A
GSM373888_treat	A
