id	GSM269764_treat	GSM269765_treat	GSM269766_treat	GSM269767_treat	GSM269768_treat	GSM269769_treat	GSM269770_treat	GSM269771_treat	GSM269772_treat	GSM269773_treat	GSM269774_treat	GSM269775_treat	GSM269776_treat	GSM269777_treat	GSM269778_treat	GSM269779_treat	GSM269780_treat	GSM269781_treat	GSM269782_treat	GSM269783_treat	GSM269784_treat	GSM269785_treat	GSM269786_treat	GSM373881_treat	GSM373882_treat	GSM373883_treat	GSM373884_treat	GSM373885_treat	GSM373886_treat	GSM373887_treat	GSM373888_treat
Activated B cell	0.303155168951091	0.501260960511407	0.280647048466149	0.190143314046148	0.297674697775921	0.237928607216347	0.389504292886312	0.558994597656221	0.298029744943828	0.297077242243019	0.374983246957676	0.22426245807803	0.277545931150759	0.242569234311226	0.177335826088858	0.520748392465753	0.384427507545405	0.165956649991319	0.57515463919439	0.321555588359337	0.295661772484607	0.252852810336413	0.598926344914352	0.325853837671974	0.00850873220103407	0.241454492269164	0.33482983799075	0.063246414244184	0.55901698127509	0.262788900234789	0.432857947115979
Activated CD4 T cell	0.458023734630184	0.326984130129693	0.33510788455106	0.302080110487717	0.388212965749721	0.197125186487415	0.247829956428015	0.374561282268199	0.328854176081102	0.433513772344298	0.463538263338104	0.340570402859604	0.294630223662526	0.218602322611452	0.181633211266291	0.285007375911449	0.482899035916552	0.420650200474076	0.389425269101593	0.319574579545017	0.297586947705745	0.309055023232416	0.44074042794071	0.371644422276205	0.443134722359995	0.472767034959756	0.484714466278227	0.265557202357261	0.365305526146455	0.231557069957917	0.331554202704529
Activated CD8 T cell	0.740071596156789	0.642125259226374	0.711586877506286	0.672491987713205	0.708784616967175	0.68076841756044	0.67519906684282	0.794253122895411	0.741757245089392	0.706537100699036	0.798959122105908	0.666781772323546	0.715301042815369	0.583653098668682	0.599785734661909	0.70722868732776	0.706175901538956	0.599528083572639	0.641859909669671	0.567902358059321	0.60618493584494	0.543135482945956	0.650835066729172	0.66372302389372	0.68655762029279	0.708243593895848	0.648066957120095	0.595711463704685	0.727176196652102	0.512173077968281	0.569225234203135
Central memory CD4 T cell	0.96233853658681	0.955841651723379	0.96308245821016	0.934779203274378	0.965998679697412	0.930056956606558	0.957095573216117	0.980074463015457	0.942708683851915	0.964733758466981	1	0.978193330009615	0.956087020186243	0.931764878538798	0.900519003865763	0.948757835868771	0.993825251539148	0.969946104511778	0.952991336054377	0.94414548115066	0.944038723678898	0.933784985421526	0.949690505105131	0.968160829391046	0.938586749908952	0.969786080300916	0.947919628331219	0.96475829156594	0.948238111484855	0.919512821527795	0.960441428576027
Central memory CD8 T cell	0.653112069325388	0.520598818591868	0.623920681929208	0.541861737033532	0.549754265377734	0.599934302339935	0.567311151257759	0.630725354057833	0.580333586040814	0.596767872370379	0.615831310592308	0.616033499303763	0.616544120501484	0.536206789139628	0.511422815638969	0.66362478290962	0.626677491807956	0.658436062035565	0.511849949190303	0.547021890580026	0.572599032808483	0.559090638249617	0.513203805898696	0.621668613154161	0.632956981960215	0.66333262015432	0.661272656701405	0.617424517805245	0.530045209774276	0.570682412576383	0.563438719228098
Effector memeory CD4 T cell	0.428677321490565	0.356063197730005	0.416195093776517	0.416599202925938	0.481405194453004	0.330149573195228	0.417459242461449	0.412129619702723	0.39253234252733	0.472576757428857	0.438122240994254	0.40953195493044	0.317343847796588	0.333391735110533	0.262534459778412	0.370424990675407	0.456657430807499	0.477390314966479	0.373923145429615	0.373775240158939	0.353911070689025	0.38304672115067	0.374352771513645	0.401598559856992	0.482950016798816	0.46110326705559	0.424445036593747	0.435275875440714	0.369375363306619	0.330715951494031	0.376050488120887
Effector memeory CD8 T cell	0.710326506506772	0.677390734132579	0.7313777852032	0.64127967451554	0.683613796514566	0.704816399485225	0.68652260557365	0.724912202734909	0.730096826984755	0.703427152831666	0.73452660393663	0.704642461461623	0.752092741151253	0.656495119655652	0.662881091563858	0.715617867095808	0.760043761505234	0.711093887259354	0.688714643487268	0.682899751071601	0.660327341687347	0.722329115384095	0.68272726015996	0.691548768500335	0.730915633563936	0.769948090877707	0.752388444333686	0.712595547517408	0.70039611352969	0.669428980806729	0.675863712624732
Gamma delta T cell	0.75270137807752	0.663680688411631	0.735321061924083	0.693267950522417	0.717295415201159	0.699296883242716	0.715210135596534	0.74811127859066	0.693281133497088	0.757489465438545	0.738021487286466	0.743687529796953	0.711446844601486	0.669836012588117	0.666841262948195	0.734699677518535	0.753080992527994	0.747114871515429	0.691957285160941	0.703568037552793	0.709905349952899	0.669487266128484	0.692428677826721	0.752469884587439	0.79021719500347	0.773851645419891	0.770670412477206	0.727712983531874	0.701717721175658	0.700190059301842	0.719228994002469
Immature  B cell	0.320004487175988	0.352421967562133	0.290162094179697	0.202861795571318	0.290647335700856	0.294657087340279	0.267874577025641	0.420985042612517	0.290571423028303	0.317815937632468	0.360318453328901	0.281072502109517	0.293609983016538	0.202413749035975	0.194541387269462	0.380906654818287	0.388206116799674	0.310393002975349	0.345825909440168	0.276932228710064	0.257080078168589	0.230003295092736	0.385737165430128	0.334363036964631	0.25605547170492	0.219333581901261	0.33915003581613	0.218096691687552	0.386461161547587	0.210959697015503	0.243539559219742
Memory B cell	0.100532451729019	0.0944818283688464	0.125753028554331	0.153065157286693	0.113226726308776	0.125485420529166	0.13057638234277	0.150316727243093	0.173075338038774	0.14481736534171	0.173720698883915	0.165453082604772	0.177652480364075	0.0944584405640902	0.144244147662414	0.198800144256193	0.180717218869653	0.146311994125246	0.155065771797127	0.150028000826474	0.106676753669279	0.139069876877106	0.165684144562202	0.0790035858928614	0.179024620770782	0.155812582997848	0.176702513797305	0.0872140487345649	0.178716215811712	0.0797703032291081	0.131664467762533
Regulatory T cell	0.586473471912895	0.450460487309475	0.538148639362282	0.480411488454951	0.497607994593804	0.49596408679008	0.527088209315806	0.532243055072492	0.540777138085461	0.53491614879349	0.565263764874463	0.560460688123039	0.512465086091652	0.378196887130013	0.435278266024812	0.546151740037791	0.602118527573338	0.611112247438802	0.505595510990028	0.529660559672482	0.484119650788829	0.497324666229407	0.524479466289096	0.57604531323595	0.620807517666062	0.634253635945605	0.625377868846871	0.54932559720547	0.526618952886538	0.413754876261048	0.555610558582086
T follicular helper cell	0.50598549478356	0.413159397746068	0.505561538764911	0.421380862610782	0.474722687708748	0.521703598622022	0.47344220748464	0.525033224194805	0.55370405346433	0.49088271853188	0.53462530043204	0.525456073718443	0.59219244278468	0.437073876981251	0.464728087157525	0.559152641859579	0.535368309454743	0.49894411277318	0.434581975051539	0.429376668632857	0.438015027649913	0.487351169683616	0.420858059811505	0.471973922411518	0.543270928189032	0.534089704748532	0.525167066126318	0.497174992663491	0.471066676320219	0.440599175238137	0.433092353618631
Type 1 T helper cell	0.593892258747538	0.528129088146267	0.550050317690586	0.534634825809843	0.525376614660369	0.536410922558207	0.533103212159442	0.584537138058359	0.575067999329694	0.571354092692781	0.580718659646195	0.567183569731901	0.560366358999765	0.52776678550097	0.527743570237776	0.591079797241729	0.59386387271509	0.575977737670843	0.542478676236644	0.507071120637877	0.500630870895406	0.541447732174327	0.544237514040584	0.525110868779261	0.530210692084978	0.564519660380638	0.580660069300347	0.53771369825124	0.534479628497377	0.471032070168198	0.484592773864959
Type 17 T helper cell	0.20561866363874	0.153494398097648	0.194977705274825	0.127000773112037	0.155477120274694	0.247824497490055	0.171360888410302	0.228291860026095	0.221562593835167	0.177766177996516	0.18538724233444	0.177230760702477	0.279647971867124	0.148056588570032	0.226859021589452	0.240222264075696	0.221066178867797	0.207990119056279	0.176396751680956	0.207580936128939	0.203951846875535	0.238386485330468	0.162479204800199	0.20576732559444	0.170824480898994	0.233134333180603	0.232208580921968	0.190775418046676	0.152608244791763	0.193146319465573	0.154301356438108
Type 2 T helper cell	0.417941523992387	0.343277606600102	0.39754737001685	0.461191229219321	0.488178208100902	0.343589363413192	0.408993620552094	0.421810565824253	0.386598932636504	0.469334863646184	0.479764678662075	0.426451078699914	0.38865260677905	0.383836644602255	0.350681699791841	0.395416044564911	0.442863151318492	0.488394464701651	0.382593573422665	0.392812662846733	0.373802626112942	0.379332848144125	0.399649430978775	0.399115411026491	0.442793836765163	0.429240357196375	0.436747610228856	0.381900403496812	0.381929335958205	0.359448742832962	0.412924098625953
Activated dendritic cell	0.794032861602421	0.645592983531907	0.716186372970871	0.638764335663481	0.636658356831041	0.720703990026141	0.665254017291712	0.736810556034393	0.711658820219424	0.71163884819787	0.729797649763422	0.720793712875546	0.764612702378675	0.638674761863236	0.670962797961208	0.752307039962271	0.768108967465353	0.744769952874761	0.678440868197348	0.714207974022976	0.725062982572961	0.71738754534666	0.693919250049293	0.700815361178322	0.752264657371831	0.800830268958792	0.798808168518769	0.701099474688365	0.671964230469843	0.698391940457144	0.689391825715348
CD56bright natural killer cell	0.663095936309127	0.646464594814205	0.676849943401548	0.668605347321854	0.657501922324919	0.689171929675819	0.68298924421872	0.723641714055961	0.652991971668335	0.650198159952395	0.662747284411986	0.679742792854531	0.692850328109983	0.667223575287891	0.676555984476354	0.680146260277553	0.669258879776069	0.633555689273756	0.65580848417983	0.639307060967113	0.696431501957784	0.638509943087115	0.629919669079553	0.66109548872475	0.662997933870719	0.642956087261165	0.641490413208866	0.689014874536542	0.662072767739248	0.614102944935408	0.619715661204748
CD56dim natural killer cell	0.662360903773391	0.601993363502288	0.628993913741686	0.533406755231859	0.498966175050336	0.707171508836659	0.593504493342878	0.63950507827352	0.648032753388295	0.52842276429368	0.590222298457937	0.621245808450949	0.729545997468404	0.638595461060095	0.721938852599737	0.709061005378881	0.632167322216676	0.570450284173678	0.584411341305464	0.565299840414578	0.604397006720339	0.624575816417564	0.565711371533128	0.681560747528672	0.687472089408851	0.697890552715896	0.682580349964592	0.589403904631872	0.593864881055983	0.629049483669187	0.542939892756298
Eosinophil	0.218871991619744	0.181727481916682	0.243884212288895	0.301598743286354	0.306120210335283	0.231037169109838	0.166600397661837	0.292756177715797	0.339143720266593	0.39357257495711	0.405348923566334	0.337372151775385	0.243058935666664	0.249172957207707	0.199130578071988	0.327587093017304	0.401814263822914	0.392486664999003	0.294241083087008	0.27491974454526	0.253747292380771	0.207718335505336	0.240173061334021	0.158381917875665	0.245623291227165	0.168383955874205	0.252012869239441	0.286469867166882	0.185500372644884	0.160013536369691	0.240317279059917
Immature dendritic cell	0.644317386926947	0.609588456696215	0.63372088179239	0.600201132795914	0.629195001948199	0.603191193644377	0.604354273020479	0.633621852407462	0.644884500578567	0.629714589958396	0.648602631849147	0.635758571478508	0.613598491159992	0.578801526099488	0.581959487679591	0.629728296976065	0.659825900276857	0.646010719374361	0.622507896514432	0.659899749995823	0.604172180215333	0.635824499300123	0.63598642544668	0.617516796198898	0.591252783894276	0.678928748247136	0.6455293680429	0.626155213705842	0.623641571707099	0.627341262784418	0.658233128393273
Macrophage	0.601486101684919	0.440215350229378	0.514152480170236	0.415276798790683	0.407329962256076	0.497249057817149	0.438553103978505	0.536269299553383	0.501727764010358	0.487543135300821	0.454724336173725	0.522502653130176	0.528359616023556	0.414732224814339	0.443624904173598	0.544093320089418	0.57173683785942	0.546292863800533	0.455101134565127	0.485264185992197	0.484630661175591	0.492444004640786	0.437131048684257	0.538745103089143	0.571272551312731	0.558409929469071	0.584379038057749	0.554262545880004	0.470064668336215	0.481494667562794	0.478267725721927
Mast cell	0.612218777183519	0.367908895135787	0.663781603795542	0.6014637929874	0.657422446245911	0.633585133783577	0.536241339903548	0.643273121631856	0.711300656742617	0.707457704911641	0.722329712230123	0.700380056506914	0.574255216190669	0.522922467134825	0.486264079778785	0.714713356362281	0.705996460292891	0.691039827782761	0.548730425272641	0.570526328743774	0.585271889352429	0.659054250657813	0.486076514568248	0.542483786986268	0.657514641574581	0.648124073108208	0.65044146139372	0.65503704162922	0.537025698976138	0.363150831384259	0.560988575100628
MDSC	0.891780732556498	0.678116061739851	0.850820963558028	0.680829413774844	0.67583879107505	0.841901737328426	0.801308323165416	0.886648707203069	0.823669932391238	0.771990556541231	0.832527044770967	0.847350939088567	0.895086898272262	0.655934026410667	0.790793712466419	0.917511054134117	0.896172326026965	0.828895345770189	0.75063823889353	0.74714852267003	0.792929261210279	0.757450918138582	0.776672734917162	0.849678429483285	0.891969261597747	0.916196772598397	0.930483443550641	0.771908615705457	0.815313858513735	0.707197299486533	0.772331765176931
Monocyte	0.800852161447707	0.700973037974252	0.783217623802591	0.686308042771996	0.716397907786565	0.836892213701867	0.736010364434868	0.821333522846687	0.787461248487434	0.748664195761956	0.774307898159259	0.77995498755886	0.794833950725232	0.676466688310196	0.778997190589539	0.847663641528576	0.783442935570857	0.732908995729092	0.739528141048451	0.697802715194219	0.721032715939022	0.732279654274661	0.719327595530815	0.741629299417543	0.808039216027475	0.803312800360212	0.78547641783294	0.768003665039117	0.736441463323384	0.719053447134103	0.716361219981938
Natural killer cell	0.655322320458086	0.650437304640216	0.663360746212516	0.672256739016604	0.663857658026876	0.660191517413315	0.660767639402628	0.661559700981043	0.647123302902151	0.647834011529172	0.701743852230282	0.659867806103652	0.674152435180422	0.632646014372815	0.680015158510947	0.674312504722253	0.69886691046494	0.69398905444332	0.6676137716491	0.647097946674951	0.645658331700458	0.638501480901162	0.635901204714222	0.655278750078889	0.692020511908136	0.66576564780617	0.6649096646455	0.645941797972498	0.656695930999494	0.669457067931944	0.638767408325466
Natural killer T cell	0.445632159343871	0.331172801769909	0.415835874173033	0.341088347848594	0.348907457188761	0.388754160716733	0.359019283646409	0.418925135744066	0.405535524298211	0.377072089148729	0.427090279592971	0.412545708574255	0.427079673664707	0.346802540863064	0.366690605755555	0.445303404793606	0.41643168386441	0.43873866331802	0.345497415080639	0.372366932740015	0.322104738373216	0.372538388186746	0.303727950120803	0.400547077588842	0.460464407039569	0.449348407075776	0.473778931329735	0.3902106203647	0.34021902311631	0.312738811914139	0.330844666694401
Neutrophil	0.385918505462021	0	0.0185299366034857	0.169120302908004	0.0336589402061797	0.169513910402558	0.0734889554511354	0.233959774632894	0.0440222211389678	0.382264421649094	0.10206859136626	0.0409586719517306	0.24954567827803	0.0798063315431043	0.200225763170739	0.304234406724144	0.291262948497701	0.284180386882984	0.185573347555165	0.240974651975876	0.186764322355591	0.2075531120497	0.271176965597348	0.124482352572807	0.425030783267517	0.337870049173924	0.376551629566393	0.30697277762427	0.122597074521627	0.161899417769783	0.21974152066384
