id	GSM2978752_treat	GSM2978753_treat	GSM2978754_treat	GSM2978755_treat	GSM2978756_treat	GSM2978757_treat	GSM2978758_treat	GSM2978759_treat	GSM2978760_treat	GSM2978761_treat	GSM2978762_treat	GSM2978763_treat	GSM2978764_treat	GSM2978765_treat	GSM2978766_treat	GSM2978767_treat	GSM2978768_treat	GSM2978769_treat	GSM2978770_treat	GSM2978771_treat	GSM2978772_treat	GSM2978773_treat
Activated B cell	0.383519486039794	0.205099258105425	0.249110749573725	0.202237951198481	0.455650328593945	0.265106123782683	0.290885417645028	0.369681930271064	0.147580888498799	0.24240452919937	0.218405435159769	0.220997827838145	0.382616665821848	0.295731143142446	0.239021428367854	0.252690612805828	0.203404478394181	0.515827986200445	0.229929141959363	0.372825558183222	0.187593119082172	0.269947461516415
Activated CD4 T cell	0.482477024407784	0.292125090641154	0.340723206803146	0.351308013574325	0.405145649587916	0.437704944358343	0.418901009918334	0.480846475727921	0.40042612341764	0.420135854031572	0.35331509735159	0.485719915424264	0.357074603782084	0.414775869412262	0.459256341164063	0.40899847355864	0.483030596131334	0.610225194534756	0.394790731271684	0.530341179447248	0.445349127937722	0.429576668650019
Activated CD8 T cell	0.529451496016651	0.356336792687538	0.405399517809476	0.385157532200106	0.406512140375422	0.448910551759916	0.452687636661693	0.504808833079645	0.388364532367777	0.457658757974019	0.398624086298671	0.373256552505798	0.436451631746636	0.476962547428201	0.392942828121347	0.329055082003637	0.441746135674774	0.529485346762287	0.376267854430022	0.501924300689455	0.456901799765413	0.367141451796623
Central memory CD4 T cell	0.99970553492681	0.955616060316327	0.984469647094538	0.972665154388035	0.993456536998324	0.989637932022398	0.989141157306061	0.966759187480687	0.972841065880395	0.970942750205779	0.955507550199697	0.967476072644817	0.977904425466638	1	0.948571984842751	0.928122282517607	0.938261411314732	0.962008442860719	0.943902417289866	0.969161474551775	0.963516792195842	0.954323414738303
Central memory CD8 T cell	0.724703611724421	0.648486331129713	0.654759339815291	0.722042170718684	0.680262558611205	0.764138955856935	0.75292690116351	0.719724382819489	0.727228560371701	0.705806939400484	0.675388865487197	0.771914364005088	0.688726266344616	0.706717504844375	0.708202153616616	0.663399334956363	0.720709747398901	0.67475146785915	0.695870532015242	0.748257624986115	0.758726702380659	0.722182641641723
Effector memeory CD4 T cell	0.514853333402963	0.51738002819513	0.498982371700688	0.544940172444303	0.524960464042548	0.56042080000253	0.622770548015056	0.628858028215935	0.589288457133953	0.596272244879577	0.578013347303526	0.635161248525285	0.501342490137251	0.57502058221414	0.658838574909293	0.569084297571585	0.626896584012533	0.599076007346406	0.545942586742905	0.631658624884972	0.638584183639548	0.603411006310667
Effector memeory CD8 T cell	0.757302253548516	0.67609329938794	0.690778891733403	0.71421216778033	0.727520863628212	0.739220678349401	0.741996649319207	0.744319124871705	0.710156779734655	0.701248005499349	0.701630811288345	0.698226970134494	0.713767584322285	0.715109900417539	0.727815396054205	0.669380054690827	0.774261869551707	0.753325503674992	0.677078487365641	0.746454833545343	0.731728048605849	0.72795403153973
Gamma delta T cell	0.637919279805466	0.523796877367665	0.593073781762874	0.62064084840592	0.606063134688342	0.626296090444409	0.655468546642328	0.636822926401877	0.649544883735445	0.641416763347564	0.6201681939749	0.648059420612808	0.616287065398484	0.633390832914107	0.596011440065763	0.567580197463907	0.637271409997021	0.594536001396554	0.613515871197725	0.636720985630519	0.664652186336223	0.598250177421388
Immature  B cell	0.488405831580018	0.280350025371789	0.372351130543348	0.368990741246095	0.503177680996041	0.431663959997629	0.470032574732306	0.511538952011588	0.322111674214213	0.403363551542992	0.38468246511721	0.385242515658459	0.457560336148775	0.452595611849136	0.476161563138195	0.389591149017067	0.459172149944363	0.667957154938627	0.384206706388744	0.53512646894444	0.436156926165059	0.450845374866974
Memory B cell	0.36510323623935	0.311626993232553	0.337988740339532	0.322323991377802	0.33222190090991	0.369966894739971	0.395742461605203	0.343748751115228	0.35252255234877	0.356919273876911	0.353894562652602	0.362958535368613	0.326014929233794	0.343643519335588	0.393153940552432	0.373647639253824	0.490573071700494	0.360259825615029	0.38564679536478	0.399571181657695	0.370713196551905	0.377607708958446
