ID	Subtype
GPL14550_GSM1820739_treat	B
GPL14550_GSM1820740_treat	B
GPL14550_GSM1820741_treat	A
GPL14550_GSM1820742_treat	A
GPL14550_GSM1820743_treat	A
GPL14550_GSM1820744_treat	B
GPL14550_GSM1820745_treat	A
GPL14550_GSM1820746_treat	B
GPL14550_GSM1820747_treat	B
GPL14550_GSM1820748_treat	A
GPL14550_GSM1820749_treat	B
GPL14550_GSM1820750_treat	B
GPL14550_GSM1820751_treat	A
GPL14550_GSM1820752_treat	B
GPL14550_GSM1820753_treat	A
GPL14550_GSM1820754_treat	B
GPL14550_GSM1820755_treat	B
GPL14550_GSM1820756_treat	B
GPL14550_GSM1820757_treat	A
GPL14550_GSM1820758_treat	B
GPL14550_GSM1820759_treat	B
GPL14550_GSM1820760_treat	B
GPL14550_GSM1820761_treat	A
GPL14550_GSM1820762_treat	B
GPL14550_GSM1820763_treat	B
GPL14550_GSM1820764_treat	A
GPL14550_GSM1820765_treat	A
GPL14550_GSM1820766_treat	A
GPL14550_GSM1820767_treat	A
GPL14550_GSM1820768_treat	A
GPL14550_GSM1820769_treat	A
GPL14550_GSM1820770_treat	B
GPL14550_GSM1820771_treat	B
GPL14550_GSM1820772_treat	A
GPL14550_GSM1820773_treat	B
GPL14550_GSM1820774_treat	A
GPL14550_GSM1820775_treat	B
GPL14550_GSM1820776_treat	B
GPL14550_GSM1820777_treat	A
GPL14550_GSM1820778_treat	A
GPL14550_GSM1820779_treat	A
GPL14550_GSM1820780_treat	B
GPL14550_GSM1820781_treat	A
GPL14550_GSM1820782_treat	B
GPL14550_GSM1820783_treat	A
GPL14550_GSM1820784_treat	A
GPL14550_GSM1820785_treat	B
GPL14550_GSM1820786_treat	A
GPL14550_GSM1820787_treat	B
GPL14550_GSM1820788_treat	A
GPL14550_GSM1820789_treat	B
GPL14550_GSM1820790_treat	B
GPL14550_GSM1820791_treat	B
GPL14550_GSM1820792_treat	B
GPL14550_GSM1820793_treat	A
GPL14550_GSM1820794_treat	B
GPL14550_GSM1820795_treat	A
GPL14550_GSM1820796_treat	B
GPL14550_GSM1820797_treat	B
GPL14550_GSM1820798_treat	A
GPL14550_GSM1820799_treat	B
GPL14550_GSM1820800_treat	A
GPL14550_GSM1820801_treat	A
GPL14550_GSM1820802_treat	A
GPL14550_GSM1820803_treat	A
GPL14550_GSM1820804_treat	B
GPL14550_GSM1820805_treat	B
GPL14550_GSM1820806_treat	A
GPL14550_GSM1820807_treat	A
GPL14550_GSM1820808_treat	A
GPL14550_GSM1820809_treat	A
GPL14550_GSM1820810_treat	B
GPL14550_GSM1820811_treat	A
GPL14550_GSM1820812_treat	B
GPL14550_GSM1820813_treat	B
GPL14550_GSM1820814_treat	B
GPL14550_GSM1820815_treat	B
GPL14550_GSM1820816_treat	B
GPL14550_GSM1820817_treat	B
GPL14550_GSM1820818_treat	B
GPL14550_GSM1820819_treat	B
GPL14550_GSM1820820_treat	B
GPL14550_GSM1820821_treat	B
GPL14550_GSM1820822_treat	B
GPL14550_GSM1820823_treat	B
GPL14550_GSM1820824_treat	B
GPL14550_GSM1820825_treat	A
GPL14550_GSM1820826_treat	A
GPL14550_GSM1820827_treat	B
GPL14550_GSM1820828_treat	B
GPL14550_GSM1820829_treat	A
GPL14550_GSM1820830_treat	A
GPL14550_GSM1820831_treat	B
GPL14550_GSM1820832_treat	B
GPL14550_GSM1820833_treat	B
GPL14550_GSM1820834_treat	A
GPL14550_GSM1820835_treat	B
GPL14550_GSM1820836_treat	B
GPL14550_GSM1820837_treat	B
GPL14550_GSM1820838_treat	B
GPL14550_GSM1820839_treat	A
GPL14550_GSM1820840_treat	B
GPL14550_GSM1820841_treat	B
GPL14550_GSM1820842_treat	A
GPL14550_GSM1820843_treat	B
GPL14550_GSM1820844_treat	A
GPL14550_GSM1820845_treat	B
GPL14550_GSM1820846_treat	B
GPL14550_GSM1820847_treat	B
GPL14550_GSM1820848_treat	B
GPL14550_GSM1820849_treat	B
GPL14550_GSM1820850_treat	B
GPL17077_GSM1820851_treat	B
GPL17077_GSM1820852_treat	A
GPL17077_GSM1820853_treat	A
GPL17077_GSM1820854_treat	B
GPL17077_GSM1820855_treat	A
