ID	Description	geneID	Count
DOID612	primary immunodeficiency disease	ADA/BCL11B/CCL5/CCR5/CD247/CD3D/CORO1A/DPP4/FASLG/IFNG/IKZF3/IL2RB/ITK/JAK3/KLRG1/KLRK1/RASGRP1/RHOH/TBX21/ZAP70	20
DOID0111962	combined immunodeficiency	ADA/CD3D/CORO1A/DPP4/JAK3/RASGRP1/ZAP70	7
DOID0050338	primary bacterial infectious disease	ADA/CCL5/CCR5/CD247/FASLG/GZMA/IFNG/KLRK1/PRDM1/SLAMF1/ZAP70	11
DOID1273	respiratory syncytial virus infectious disease	CCL5/CCR5/GZMA/GZMB/IFNG	5
DOID104	bacterial infectious disease	ADA/CCL5/CCR5/CD247/CXCR6/FASLG/GZMA/IFNG/KLRK1/PRDM1/SLAMF1/ZAP70	12
DOID3083	chronic obstructive pulmonary disease	ADA/CCL5/CCR5/CD8A/CXCR6/FASLG/GZMA/GZMB/IFNG/KLRK1/STAT4	11
DOID2320	obstructive lung disease	ADA/CCL5/CCR5/CD8A/CXCR6/FASLG/GZMA/GZMB/IFNG/KLRK1/STAT4	11
DOID526	human immunodeficiency virus infectious disease	CCL5/CCR5/CXCR6/DPP4/FASLG/GZMB/IFNG/IL2RB/ITK	9
DOID0080599	Coronavirus infectious disease	CCL5/CCR5/CD8A/DPP4/GZMB/IFNG/IL2RB	7
DOID11200	T cell deficiency	BCL11B/CD247/ZAP70	3
DOID399	tuberculosis	ADA/CCL5/CCR5/CD247/FASLG/GZMA/IFNG/KLRK1	8
DOID2841	asthma	ADA/CCL5/CCR5/IFNG/IL2RB/ITK/RUNX3/STAT4/TBX21/XCL1	10
DOID1176	bronchial disease	ADA/CCL5/CCR5/IFNG/IL2RB/ITK/RUNX3/STAT4/TBX21/XCL1	10
DOID9500	leukocyte disease	BIRC3/CCL5/CD8A/IFNG/LEF1/XCL1	6
DOID0060005	autoimmune disease of endocrine system	CCL5/CCR5/CXCR6/FASLG/IFNG/ST6GAL1	6
DOID2789	parasitic protozoa infectious disease	ADA/CCL5/CCR5/FASLG/IFNG/IL2RB/TBX21	7
DOID0080600	COVID-19	CCL5/CD8A/GZMB/IFNG/IL2RB	5
DOID635	acquired immunodeficiency syndrome	CCL5/CCR5/CXCR6/FASLG/IFNG	5
DOID8469	influenza	CCL5/CD244/CD8A/IFITM1/IFNG	5
DOID12603	acute leukemia	CD96/IFNG/JAK3/LEF1/P2RY8/RUNX3/ST6GAL1	7
