ID	gene	Count
T cell differentiation	ADA	23
T cell differentiation	BATF	23
T cell differentiation	BCL11B	23
T cell differentiation	CD2	23
T cell differentiation	CD3D	23
T cell differentiation	CD8A	23
T cell differentiation	CDK6	23
T cell differentiation	EOMES	23
T cell differentiation	GPR18	23
T cell differentiation	IFNG	23
T cell differentiation	IKZF3	23
T cell differentiation	ITK	23
T cell differentiation	JAK3	23
T cell differentiation	LAG3	23
T cell differentiation	LEF1	23
T cell differentiation	PRDM1	23
T cell differentiation	RASGRP1	23
T cell differentiation	RHOH	23
T cell differentiation	RUNX3	23
T cell differentiation	TBX21	23
T cell differentiation	THEMIS	23
T cell differentiation	ZAP70	23
T cell differentiation	ZNF683	23
alpha-beta T cell activation	ADA	18
alpha-beta T cell activation	BATF	18
alpha-beta T cell activation	BCL11B	18
alpha-beta T cell activation	CD247	18
alpha-beta T cell activation	CD3D	18
alpha-beta T cell activation	EOMES	18
alpha-beta T cell activation	GPR18	18
alpha-beta T cell activation	IFNG	18
alpha-beta T cell activation	ITK	18
alpha-beta T cell activation	JAK3	18
alpha-beta T cell activation	LEF1	18
alpha-beta T cell activation	NKG7	18
alpha-beta T cell activation	PRDM1	18
alpha-beta T cell activation	RUNX3	18
alpha-beta T cell activation	TBX21	18
alpha-beta T cell activation	XCL1	18
alpha-beta T cell activation	ZAP70	18
alpha-beta T cell activation	ZNF683	18
regulation of T cell activation	ADA	22
regulation of T cell activation	BATF	22
regulation of T cell activation	CCL5	22
regulation of T cell activation	CD2	22
regulation of T cell activation	CORO1A	22
regulation of T cell activation	DPP4	22
regulation of T cell activation	IFNG	22
regulation of T cell activation	JAK3	22
regulation of T cell activation	KLRK1	22
regulation of T cell activation	LAG3	22
regulation of T cell activation	LEF1	22
regulation of T cell activation	PRDM1	22
regulation of T cell activation	RASGRP1	22
regulation of T cell activation	RHOH	22
regulation of T cell activation	RUNX3	22
regulation of T cell activation	SIT1	22
regulation of T cell activation	SLAMF1	22
regulation of T cell activation	TBX21	22
regulation of T cell activation	TNFSF14	22
regulation of T cell activation	XCL1	22
