ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04658	Th1 and Th2 cell differentiation	9/53	92/8622	3.6312513624541e-09	5.12006442106029e-07	4.05171204652774e-07	CD247/CD3D/IFNG/IL2RB/JAK3/RUNX3/STAT4/TBX21/ZAP70	9
hsa05340	Primary immunodeficiency	6/53	38/8622	9.57735750723979e-08	6.75203704260405e-06	5.3431573461443e-06	ADA/CD3D/CD8A/CD8B/JAK3/ZAP70	6
hsa04660	T cell receptor signaling pathway	8/53	121/8622	6.23447131924935e-07	2.93020152004719e-05	2.31878582400151e-05	CD247/CD3D/CD8A/CD8B/IFNG/ITK/RASGRP1/ZAP70	8
hsa04659	Th17 cell differentiation	7/53	108/8622	3.81784047262723e-06	0.00013457887666011	0.000106497655289075	CD247/CD3D/IFNG/IL2RB/JAK3/TBX21/ZAP70	7
hsa04650	Natural killer cell mediated cytotoxicity	7/53	132/8622	1.44166374926729e-05	0.000373034236014909	0.000295196931822175	CD244/CD247/FASLG/GZMB/IFNG/KLRK1/ZAP70	7
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	6/53	89/8622	1.58737972772302e-05	0.000373034236014909	0.000295196931822175	BATF/CD247/CD3D/IFNG/RASGRP1/ZAP70	6
hsa04060	Cytokine-cytokine receptor interaction	9/53	297/8622	7.05701072248593e-05	0.00142148358838645	0.00112487689711806	CCL5/CCR5/CXCR6/FASLG/IFNG/IL2RB/LTB/TNFSF14/XCL1	9
hsa04062	Chemokine signaling pathway	7/53	192/8622	0.000157660186382715	0.00277876078499535	0.00219894470481155	CCL5/CCR5/CXCR6/GNG2/ITK/JAK3/XCL1	7
hsa05162	Measles	6/53	138/8622	0.000186560542439982	0.00292278183155973	0.0023129143273261	CD3D/CDK6/FASLG/IL2RB/JAK3/SLAMF1	6
hsa04061	Viral protein interaction with cytokine and cytokine receptor	5/53	100/8622	0.000350423927941788	0.00455730293669156	0.00360637634407843	CCL5/CCR5/IL2RB/TNFSF14/XCL1	5
hsa05142	Chagas disease	5/53	102/8622	0.00038410271652335	0.00455730293669156	0.00360637634407843	CCL5/CD247/CD3D/FASLG/IFNG	5
hsa04217	Necroptosis	6/53	159/8622	0.000401430945230584	0.00455730293669156	0.00360637634407843	BIRC3/FASLG/IFNG/JAK3/STAT4/TRAF5	6
hsa04064	NF-kappa B signaling pathway	5/53	104/8622	0.000420176866503478	0.00455730293669156	0.00360637634407843	BIRC3/LTB/TNFSF14/TRAF5/ZAP70	5
hsa04612	Antigen processing and presentation	4/53	78/8622	0.00129705860285927	0.013063233071654	0.0103374595415851	CD8A/CD8B/IFNG/KLRC4	4
hsa05169	Epstein-Barr virus infection	6/53	202/8622	0.00140875301820089	0.0132422783710884	0.0104791452581961	CD247/CD3D/CDK6/JAK3/RUNX3/TRAF5	6
hsa05330	Allograft rejection	3/53	38/8622	0.00158951170257939	0.0140075718789809	0.0110847526627247	FASLG/GZMB/IFNG	3
hsa05170	Human immunodeficiency virus 1 infection	6/53	212/8622	0.00180291285684196	0.0149535713420422	0.0118333599272599	CCR5/CD247/CD3D/FASLG/GNG2/TRAF5	6
hsa05332	Graft-versus-host disease	3/53	42/8622	0.00212594180002342	0.0166532107668501	0.0131783526785077	FASLG/GZMB/IFNG	3
hsa04940	Type I diabetes mellitus	3/53	43/8622	0.0022755240496412	0.016886783736811	0.0133631883247627	FASLG/GZMB/IFNG	3
hsa05163	Human cytomegalovirus infection	6/53	225/8622	0.00243476723947256	0.0171651090382815	0.0135834382833732	CCL5/CCR5/CDK6/FASLG/GNG2/TRAF5	6
hsa04640	Hematopoietic cell lineage	4/53	99/8622	0.00311309651015507	0.0209022194253269	0.0165407634123527	CD2/CD3D/CD8A/CD8B	4
hsa05144	Malaria	3/53	50/8622	0.00350630546361509	0.0224722304713513	0.0177831760355598	IFNG/KLRB1/KLRK1	3
hsa05321	Inflammatory bowel disease	3/53	65/8622	0.00732475535916677	0.0449039350279354	0.03553428229161	IFNG/STAT4/TBX21	3
hsa04630	JAK-STAT signaling pathway	4/53	166/8622	0.0186705002594632	0.104653233838315	0.0828162955346125	IFNG/IL2RB/JAK3/STAT4	4
hsa05222	Small cell lung cancer	3/53	92/8622	0.0187552797068213	0.104653233838315	0.0828162955346125	BIRC3/CDK6/TRAF5	3
hsa05323	Rheumatoid arthritis	3/53	93/8622	0.0192977594311786	0.104653233838315	0.0828162955346125	CCL5/IFNG/LTB	3
hsa05164	Influenza A	4/53	171/8622	0.0205808490329189	0.10747776717191	0.085051461890425	CCL5/CDK6/FASLG/IFNG	4
