Gene	entrezID
ABLIM1	3983
ACAP1	9744
ADA	100
ADAM19	8728
ANXA6	309
ARL4C	10123
ASB2	51676
ATP2A3	489
BATF	10538
BCL11B	64919
BIRC3	330
C12orf75	387882
C1orf151-NBL1	NA
CCL5	6352
CCR5	1234
CD2	914
CD244	51744
CD247	919
CD3D	915
CD8A	925
CD8B	926
CD96	10225
CDK6	1021
CLIC3	9022
CORO1A	11151
CPNE7	27132
CSGALNACT1	55790
CST7	8530
CXCR6	10663
DLG3	1741
DPP4	1803
EIF4E3	317649
EMB	133418
EOMES	8320
FAM101B	NA
FAM102A	NA
FAM26F	NA
FAM46C	NA
FASLG	356
FYB	NA
GBP5	115362
GIMAP7	168537
GNG2	54331
GPR171	29909
GPR18	2841
GPR68	8111
GZMA	3001
GZMB	3002
GZMH	2999
GZMK	3003
HAPLN3	145864
HIP1R	9026
HMHA1	NA
HOPX	84525
IFITM1	8519
IFNG	3458
IKZF3	22806
IL2RB	3560
ISG20	3669
ITK	3702
ITM2A	9452
ITM2C	81618
JAK3	3718
KLRB1	3820
KLRC4	8302
KLRG1	10219
KLRK1	22914
LAG3	3902
LBH	81606
LEF1	51176
LTB	4050
MIAT	440823
NINL	22981
NKG7	4818
NLRC3	197358
OCIAD2	132299
P2RY8	286530
PBX4	80714
PCBP4	57060
PDE4B	5142
PIM2	11040
PRDM1	639
PTPN7	5778
PVRIG	79037
RAB33A	9363
RAB37	326624
RASGRP1	10125
RCSD1	92241
RGL4	266747
RGS16	6004
RHOH	399
RUNX3	864
SAMD3	154075
SCML4	256380
SEPT1	NA
SH2D3A	10045
SIT1	27240
SLAMF1	6504
SLAMF7	57823
SLC27A2	11001
SLC38A1	81539
SPOCK2	9806
ST6GAL1	6480
STAT4	6775
SYNE2	23224
TBX21	30009
TC2N	123036
TESC	54997
THEMIS	387357
TMEM200A	114801
TNFSF14	8740
TOX2	84969
TRAF3IP3	80342
TRAF5	7188
TRAT1	50852
TRERF1	55809
TSPAN5	10098
UBASH3A	53347
XCL1	6375
ZAP70	7535
ZNF683	257101
ZNF831	128611
