gene,HR,z,pvalue,lower,upper
MIAT,1.121666224,2.082443105,0.037302015,1.006775725,1.249667713
GZMK,1.123816059,1.99171988,0.046401801,1.001862872,1.26061417
GZMH,1.125835356,2.174833394,0.029642604,1.011778906,1.252749234
GZMA,1.126106162,2.103661272,0.035408005,1.008145674,1.257868897
IKZF3,1.132467013,2.054559015,0.039921618,1.005743928,1.275157124
DPP4,1.135348,2.252483354,0.024291744,1.016621623,1.267939863
ITM2C,1.156882551,2.075908326,0.03790243,1.008172516,1.327527992
PBX4,1.162289172,1.997705013,0.04574865,1.002845265,1.347083311
CD8A,1.165685542,2.551866301,0.010714763,1.036199737,1.311352178
TRAF3IP3,1.168438147,2.528876134,0.01144284,1.035640479,1.318264139
SIT1,1.168487598,2.321913618,0.020237587,1.02456975,1.332621099
SLC38A1,1.172541683,2.266110568,0.023444614,1.021736906,1.345604715
CD8B,1.173565167,2.639339752,0.008306768,1.042056848,1.32166993
GNG2,1.188184173,2.798906418,0.0051276,1.053041802,1.340670072
P2RY8,1.189103072,2.414770142,0.015745142,1.033158852,1.368585397
HOPX,1.196661988,2.892941747,0.003816521,1.059609679,1.351440952
TSPAN5,1.207347539,2.687178882,0.007205835,1.052315043,1.385220225
GZMB,1.221578593,3.131193854,0.001740972,1.07773787,1.384617076
ADAM19,1.224328846,2.488074549,0.012843681,1.043895341,1.435949624
NKG7,1.241790742,3.220994805,0.001277465,1.088479582,1.41669561
HIP1R,1.244358776,2.822162394,0.004770102,1.069071669,1.448386304
C12orf75,1.249819595,2.892911038,0.003816894,1.074565029,1.453657041
CSGALNACT1,1.250083419,3.025719876,0.00248042,1.081795157,1.444551258
NINL,1.261471582,2.685015222,0.00725265,1.064732636,1.494563515
ANXA6,1.263293518,2.427888069,0.01518703,1.046074947,1.525617754
PRDM1,1.277286651,2.788594107,0.005293736,1.075433515,1.517026544
FAM101B,1.278386189,3.316963525,0.000910015,1.105697709,1.47804525
ABLIM1,1.291482452,3.318651761,0.000904532,1.110403184,1.502091265
EIF4E3,1.29230782,3.056097529,0.002242383,1.096336174,1.523309675
FAM102A,1.295080284,2.800729485,0.005098724,1.080714369,1.551966912
C1orf151-NBL1,1.303698159,3.32855128,0.000872989,1.115210614,1.524042965
CLIC3,1.303764273,3.439211266,0.000583412,1.120852711,1.516525108
SLC27A2,1.311694458,3.598000226,0.000320673,1.131474724,1.520619342
RUNX3,1.312901303,2.126204549,0.033486231,1.021513608,1.687407606
FAM26F,1.320330772,2.733720338,0.006262321,1.081828024,1.611414485
TRERF1,1.320449568,2.723763,0.00645428,1.081067656,1.61283806
ATP2A3,1.321196065,3.102978661,0.001915835,1.108050517,1.575342472
RAB37,1.324394059,3.371100905,0.000748684,1.1248023,1.559402593
RGL4,1.324444309,4.973297062,6.58E-07,1.185606369,1.479540573
CD244,1.326262458,3.350617103,0.000806317,1.124337287,1.564452347
SLAMF7,1.331679622,3.965582001,7.32E-05,1.155888538,1.534205555
IFITM1,1.332065604,4.271365856,1.94E-05,1.167846178,1.51937713
CDK6,1.344487091,2.956842584,0.003108067,1.104948311,1.63595484
TESC,1.350269698,3.64425127,0.000268171,1.148886959,1.586951825
SH2D3A,1.360673802,2.962027982,0.0030562,1.109812046,1.668240314
JAK3,1.362120138,4.005807108,6.18E-05,1.170971719,1.584471461
RHOH,1.364952942,2.755060536,0.005868128,1.093941957,1.703103646
ISG20,1.398475459,4.142472962,3.44E-05,1.193273273,1.638965401
HMHA1,1.421353516,2.926070725,0.003432729,1.123098809,1.798813962
TNFSF14,1.422889461,3.732673387,0.000189458,1.182343213,1.712374543
PTPN7,1.422978732,3.704869697,0.000211499,1.180736029,1.714920544
OCIAD2,1.429144578,2.793094732,0.00522064,1.112388465,1.836097989
TRAF5,1.44779255,3.191189343,0.001416884,1.153463227,1.817225914
FYB,1.457664738,2.70388872,0.006853324,1.109244696,1.91552549
ADA,1.497726175,3.279514482,0.001039859,1.176487341,1.90667899
CORO1A,1.510397948,3.778332937,0.000157882,1.219522791,1.870651354
PDE4B,1.516724026,3.131351223,0.001740039,1.168622343,1.968515991
ST6GAL1,1.518880031,4.043631291,5.26E-05,1.240333094,1.859981451
BATF,1.542782485,4.216254024,2.48E-05,1.261158146,1.887295263
CCR5,1.579032365,3.421765552,0.000622159,1.215497307,2.051294722
