ID	GSM1820739	GSM1820740	GSM1820741	GSM1820742	GSM1820743	GSM1820744	GSM1820745	GSM1820746	GSM1820747	GSM1820748	GSM1820749	GSM1820750	GSM1820751	GSM1820752	GSM1820753	GSM1820754	GSM1820755	GSM1820756	GSM1820757	GSM1820758	GSM1820759	GSM1820760	GSM1820761	GSM1820762	GSM1820763	GSM1820764	GSM1820765	GSM1820766	GSM1820767	GSM1820768	GSM1820769	GSM1820770	GSM1820771	GSM1820772	GSM1820773	GSM1820774	GSM1820775	GSM1820776	GSM1820777	GSM1820778	GSM1820779	GSM1820780	GSM1820781	GSM1820782	GSM1820783	GSM1820784	GSM1820785	GSM1820786	GSM1820787	GSM1820788	GSM1820789	GSM1820790	GSM1820791	GSM1820792	GSM1820793	GSM1820794	GSM1820795	GSM1820796	GSM1820797	GSM1820798	GSM1820799	GSM1820800	GSM1820801	GSM1820802	GSM1820803	GSM1820804	GSM1820805	GSM1820806	GSM1820807	GSM1820808	GSM1820809	GSM1820810	GSM1820811	GSM1820812	GSM1820813	GSM1820814	GSM1820815	GSM1820816	GSM1820817	GSM1820818	GSM1820819	GSM1820820	GSM1820821	GSM1820822	GSM1820823	GSM1820824	GSM1820825	GSM1820826	GSM1820827	GSM1820828	GSM1820829	GSM1820830	GSM1820831	GSM1820832	GSM1820833	GSM1820834	GSM1820835	GSM1820836	GSM1820837	GSM1820838	GSM1820839	GSM1820840	GSM1820841	GSM1820842	GSM1820843	GSM1820844	GSM1820845	GSM1820846	GSM1820847	GSM1820848	GSM1820849	GSM1820850	GSM1820851	GSM1820852	GSM1820853	GSM1820854	GSM1820855	GSM1820856	GSM1820857	GSM1820858	GSM1820859	GSM1820860	GSM1820861	GSM1820862	GSM1820863	GSM1820864	GSM1820865	GSM1820866	GSM1820867	GSM1820868	GSM1820869	GSM1820870	GSM1820871	GSM1820872	GSM1820873	GSM1820874	GSM1820875	GSM1820876	GSM1820877	GSM1820878	GSM1820879	GSM1820880	GSM1820881	GSM1820882	GSM1820883	GSM1820884	GSM1820885	GSM1820886	GSM1820887	GSM1820888	GSM1820889	GSM1820890	GSM1820891	GSM1820892	GSM1820893	GSM1820894	GSM1820895	GSM1820896	GSM1820897	GSM1820898	GSM1820899	GSM1820900	GSM1820901	GSM1820902	GSM1820903	GSM1820904	GSM1820905	GSM1820906	GSM1820907	GSM1820908	GSM1820909	GSM1820910	GSM1820911	GSM1820912	GSM1820913	GSM1820914
ABLIM1	5.974822	2.588357	6.61386	7.105383	6.300701	6.691281	7.631849	4.888784	6.220293	6.450115	5.272274	5.55896	8.163854	5.860815	7.414257	5.394564	6.280319	6.544283	7.157965	5.237918	5.815082	6.547107	6.709673	5.990357	4.940577	8.290837	6.271343	6.06779	7.80749	6.68498	7.552344	6.617462	7.6173264	7.200074	6.399725	8.642373	7.063502	4.881183	8.12055	6.924088	12.0979346	6.646434	6.863041	4.741656	9.033947	6.3897426	6.786467	8.324768	6.370979	7.251579	6.744098	6.375992	5.519176	7.052097	9.608914	7.602172	8.689275	6.61386	6.643601	7.887723	9.402868	7.421308	7.490244	7.59791	7.673516	6.271343	5.832444	8.297973	8.113025	7.071042	7.880873	6.029542	7.692182	6.417328	7.140064	6.537047	5.866132	4.212756	7.981296	6.94085	7.46207	7.339461	5.531923	4.454973	6.323719	3.3948044	8.384142	8.489021	7.017651	6.198369	8.658215	8.629252	5.272274	6.002636	5.308013	7.20757	6.209585	6.85388	5.763924	5.47918	7.257993	6.320541	6.410696	7.593426	7.672431	7.793932	3.805565	2.619819	6.166302	2.763091	3.119635	3.353176	5.346482	7.323981	7.473482	6.138344	8.733523	8.606311	8.2992248	8.277472	5.911195	7.026242	8.411509	2.156769	8.884304	6.612947	6.365574	4.62408	6.83352	7.708379	5.64658	8.058066	6.017518	6.104427	5.642103	6.894577	7.940839	6.067405	5.68692	6.624178	5.484758	6.877541	5.401827	10.264403	6.437088	6.243601	7.839164	6.360001	8.643005	6.276078	6.7454538	6.628228	8.160571	6.948237	2.704968	6.0152	7.0886693	7.75069	6.319124	6.5475065	6.999448	5.797638	5.30285	7.54716	6.560249	6.014202	8.027874	5.945796	6.506606	5.677802	7.69398	6.3358249	7.888817	7.902749	8.697079	7.046589
ACAP1	5.117035	3.393397	5.659428	6.35341	6.191042	5.723714	5.783045	4.171894	6.090552	6.236131	4.321408	4.306717	7.618787	5.072768	7.41754	5.346205	4.896517	5.233393	6.410801	3.935928	3.604152	6.046762	6.12122	6.090552	4.980319	7.756813	5.8900811	6.158265	7.787343	6.269527	7.211165	6.165938	7.2849829	5.309946	5.178355	6.868536	5.015342	4.159019	5.839167	6.273232	10.3109753	5.248406	6.473535	4.706185	2.907251	5.4003092	6.033149	4.944055	5.357548	6.418732	5.840505	5.780875	5.420879	6.023869	8.897348	6.212226	7.144877	5.267049	5.708836	6.533548	5.67707	6.604884	5.279172	6.018933	7.583239	3.788425	4.395687	5.67707	5.518508	6.123715	7.397266	4.130419	5.632697	5.261898	2.792891	4.696969	4.410591	3.824934	5.218835	3.543678	5.227668	3.745109	4.679645	3.424638	5.67707	4.484629	6.875067	7.653411	6.928816	4.773909	7.427667	7.920424	3.754441	3.892427	3.729483	7.945209	4.386173	5.439232	4.967074	4.644802	5.503467	5.461432	3.729483	7.267369	3.63052	5.585912	3.143767	1.814521	3.590712	5.0499864	2.430803	2.690342	4.902232	5.307749	6.41595	5.089768	6.796296	6.771611	6.2852626	7.567282	5.391158	4.598294	7.598177	2.785578	4.518285	5.335988	5.808031	5.058008	4.076445	5.424628	4.450729	7.812157	4.657518	4.597729	4.787313	3.611315	5.73898	4.692666	3.969683	4.42207	5.144256	5.183531	5.219849	8.500217	6.585929	4.137819	4.421496	4.461677	3.949895	5.409679	4.9959341	3.91297	5.708217	6.033673	2.578021	5.871828	5.5521856	5.434549	5.890613	5.0844787	5.432507	5.554771	4.763642	6.857437	3.438605	5.457027	6.320966	3.722913	6.897343	7.010518	7.588973	6.0551532	8.252339	9.281134	8.864364	8.262383
ADA	9.873998	9.343717	9.749461	10.264983	9.072029	9.163359	9.956504	9.006453	9.151445	10.084001	9.211348	8.168153	10.108187	9.72308	10.324603	8.531113	9.475838	8.683296	9.898488	10.198458	8.614342	9.098232	9.4306	9.216049	8.42328	12.049494	9.8836965	9.131132	10.427381	10.268755	10.191878	9.955325	10.2791959	9.692005	9.336488	10.906832	9.767678	9.63107	10.163559	9.715826	12.4178691	9.650741	10.477645	8.991271	9.935407	9.9758257	9.762912	9.368394	9.120765	10.750488	9.723658	9.933007	9.886719	9.869147	12.377664	9.181981	10.500413	8.824971	9.074624	9.632847	9.26769	11.644753	9.810468	9.715826	9.456655	8.608196	8.933102	10.592535	10.37794	10.095013	10.834212	8.612809	9.4306	10.181061	9.189051	9.582822	10.536295	9.854304	10.099953	10.115461	9.280632	9.798886	9.91669	9.704204	9.515006	9.5838683	10.530703	9.899099	9.302592	9.51398	10.932398	10.946525	9.107037	8.479022	8.979704	10.145909	9.217642	9.718132	9.651842	9.239244	10.387976	10.259251	8.83574	10.74755	9.12281	11.130902	9.471482	8.295632	9.565352	8.1929093	7.771368	8.518482	9.146625	9.052714	10.374082	8.945196	9.972409	10.637517	9.979235	9.951686	9.442486	9.085047	11.046614	9.367828	10.472751	9.911476	8.672417	8.873468	9.036787	9.854575	8.233992	11.291253	9.678693	9.850242	9.56418	8.83826	9.602468	8.737924	9.98248	11.334903	9.82412	9.309662	9.416006	11.913415	9.495952	9.216004	9.396277	9.215437	10.048364	9.700113	9.7147094	9.044583	9.531424	9.849587	7.872759	9.739606	8.9607868	10.801163	10.131929	9.0789012	9.634163	9.45919	9.501438	10.976156	8.941775	9.605028	10.445659	9.683271	8.96456	9.954427	8.844646	9.7094686	10.428574	10.608187	10.830096	9.888602
ADAM19	7.063631	4.664626	8.004122	8.801534	8.974291	8.115871	8.562299	7.822246	9.18947	8.776411	7.661498	7.296235	9.633814	7.376172	10.37199	7.363304	7.527921	7.782738	9.764485	6.967606	6.423985	9.344398	8.341676	8.239175	7.489565	10.778077	8.3307672	8.203958	10.222607	9.108066	9.360353	7.418686	10.0337662	8.922376	8.222719	9.551019	8.971735	6.086575	9.894768	8.513087	11.1176114	8.62866	8.637777	6.811293	10.001637	9.1477507	7.232555	8.337558	8.106767	9.452286	7.738109	8.776411	8.056304	8.668626	12.57776	7.199976	10.365818	7.028247	8.436194	10.890605	9.223108	8.155176	8.655976	10.061032	10.398331	6.74122	6.644596	9.615511	7.730669	8.912284	10.514407	7.63897	8.948304	9.038115	9.854575	8.362783	8.281139	7.999258	8.893143	8.116942	9.475462	8.509706	9.597194	7.925601	8.387152	9.6166085	8.729645	9.378957	9.18947	7.409613	11.139863	10.779517	7.263441	7.379098	8.177288	9.7574	6.624992	7.866651	8.097336	6.974746	8.755186	8.387635	8.35659	10.582216	8.125247	9.491442	7.268503	5.504707	6.797155	6.5497174	5.153641	7.081757	7.631041	8.210358	9.434813	7.154247	10.371268	10.082134	9.8408653	9.136543	7.914159	7.589517	10.790565	7.396565	7.637554	8.161518	7.69825	7.546835	7.605191	8.950052	7.489598	11.64772	8.393053	8.254661	7.131669	6.211117	8.913229	7.740211	8.599407	8.981257	8.765212	8.638934	8.248582	11.94678	9.466876	6.030144	8.413917	7.266316	8.386575	9.301597	7.3742048	7.465982	10.082134	9.35841	8.469284	9.276456	8.6495787	10.346588	8.380523	8.3198207	9.038984	8.197014	8.571523	10.048731	6.090906	8.730211	10.320773	7.336399	8.129669	7.882859	8.093856	7.6945323	10.136926	10.547481	10.751636	8.397343
ANXA6	6.577277	8.491399	7.877061	9.14763	8.012337	6.840372	8.12416	7.101938	7.655182	8.748454	7.324429	7.215518	8.32561	7.583505	8.666221	7.317045	7.803035	7.088507	8.375438	6.747052	7.182959	7.75858	8.24653	7.249737	8.410871	9.401901	7.1183903	7.403613	9.193733	7.541182	9.574293	7.701568	8.0260711	7.634047	7.37406	9.075075	8.343869	6.41404	7.547945	7.926035	10.7205371	8.24192	9.019021	7.612008	7.275959	8.2360988	8.248083	7.988739	7.136197	7.735945	6.65373	8.044188	6.807265	8.480117	10.053428	7.0831	8.475491	6.689489	7.820195	8.142291	8.104302	8.5952	7.154882	7.764394	8.022443	6.760836	5.325583	8.05386	8.1204	7.852306	9.405592	5.212695	6.956801	6.510836	7.527555	6.450883	7.051987	6.584859	8.901013	5.928207	7.610999	6.922675	6.962811	7.749274	7.333917	6.4068031	8.685651	7.479882	7.615869	6.285845	8.656396	9.485814	5.813278	5.603309	6.748983	8.734068	6.845009	6.383526	6.257948	5.66604	8.489717	6.4876	6.660964	9.328061	6.37849	8.510142	5.967075	4.477589	5.827581	7.2838814	6.586051	5.372031	6.445911	7.236693	8.062031	7.141419	8.350089	8.313535	8.325583	9.861816	7.48109	5.858061	8.942082	6.49796	7.366456	7.100921	7.502985	7.498525	5.820765	8.390942	6.476427	9.175393	8.343523	7.600927	7.335105	7.698319	7.928573	6.453258	7.396561	8.844151	8.996295	7.958499	6.480672	10.623328	8.080672	6.272834	7.253264	7.19284	7.548759	7.523014	5.1073032	6.809506	8.53395	6.925442	5.482044	8.256345	5.9918347	8.232608	7.897167	8.4684087	8.333652	8.760221	7.206372	8.234755	7.897692	6.803051	8.770668	7.789184	6.189032	6.616167	7.78173	5.5970519	8.479297	7.174006	7.032356	7.040746
ARL4C	9.653198	7.653858	8.930913	8.451398	9.631825	9.050194	8.730038	7.007764	8.548638	8.416658	8.363663	8.247237	9.689807	8.052865	9.491884	7.161999	9.224519	8.156526	9.046262	7.85155	8.879125	9.41123	8.905707	8.987692	7.191478	11.377201	9.1098206	9.406438	10.045273	9.490734	9.955532	8.828921	9.8868136	9.197141	8.561337	10.476926	8.815862	8.377497	9.88631	9.135366	13.901481	8.762812	10.450074	7.933838	9.734987	9.8596188	8.531728	9.512298	8.277497	9.230175	8.847006	9.460931	9.337721	9.056197	10.943846	8.625516	10.209179	7.769733	9.170595	9.073801	9.349573	11.275778	9.096944	9.65264	10.133133	7.611143	8.07559	10.49243	10.089772	9.707892	10.193821	8.025977	9.904389	8.757352	9.584745	8.591618	9.283392	9.437521	8.221147	9.297691	10.012624	8.878623	8.525378	9.036624	8.94601	4.7767582	10.46242	9.73735	9.686086	8.629106	10.576689	10.484682	7.533943	8.648882	8.407687	10.284767	7.129155	9.066852	8.702364	8.18045	9.418172	8.408741	8.402071	10.936563	9.514696	11.56237	7.321085	6.015779	7.38419	7.4828242	5.614546	6.21725	8.462946	9.936704	10.352805	9.089018	9.225598	10.685805	10.5424361	9.948946	8.613806	7.626633	10.507937	6.183477	8.430825	8.752779	8.040188	7.811003	8.51567	9.577687	7.35591	10.77305	8.383952	8.574018	8.904651	8.557789	9.23249	7.849341	8.893283	10.86823	7.993996	8.966001	8.614392	12.644556	9.45978	7.426036	9.521358	7.986271	9.006061	8.536198	7.9991752	9.003501	9.366802	9.669311	5.157062	8.85523	8.0734322	10.559971	7.455326	8.6924171	8.431313	8.201685	8.555785	10.020496	8.427825	8.605339	9.981054	9.649979	8.969039	9.887565	9.513022	9.3492024	9.851759	10.812539	10.869674	9.734843
ASB2	6.459981	2.362858	6.720772	5.675005	6.589114	5.63974	6.240836	6.808141	6.291792	6.915422	5.418873	5.881816	7.314758	5.370211	7.891569	5.825071	5.305196	5.06334	6.397573	6.080322	6.148318	7.144096	7.47784	5.756617	5.224635	8.823016	6.9501824	7.307275	7.598554	5.895989	6.993988	3.630198	8.1470485	6.27755	7.358504	6.874563	5.647648	5.799433	7.956004	6.740159	8.9047554	6.134207	4.29702	5.321977	8.13834	5.4168422	6.323526	6.883186	5.052442	6.747499	6.029031	6.066311	4.443081	5.834136	7.253997	6.638078	7.085066	6.513459	6.543588	6.82403	5.624309	5.923147	7.265698	7.101856	9.930138	4.415457	5.447572	6.228924	4.33302	6.176807	7.590533	5.085156	6.296944	6.672198	6.920291	6.745772	4.972893	5.981138	4.965692	6.325382	6.38359	5.373566	6.706691	5.171021	5.430974	3.3729587	6.777758	7.925721	6.285934	5.335116	8.702347	8.022797	4.128115	7.059935	5.960323	7.409891	6.439051	6.374269	6.549325	5.000487	6.269747	6.675938	4.734796	8.226033	3.9234	6.007312	4.66746	2.926318	2.66938	3.103774	2.847675	4.746448	5.895522	6.424066	7.050564	5.305507	6.804844	8.332769	6.9029198	6.596624	5.213103	5.122461	8.544385	4.069278	6.399984	6.169007	5.634927	5.033017	5.439551	7.291344	4.800396	7.176702	5.466784	5.03716	6.209095	5.112376	8.121906	5.052775	6.232562	6.217495	6.335482	5.361631	5.093039	9.007445	6.937991	4.795175	5.952697	5.151684	6.538007	6.962484	5.6072726	5.757087	7.475994	6.027185	3.68315	7.087128	1.9223709	7.634342	8.50279	6.6013395	7.165471	5.454122	7.235406	8.17437	5.901369	6.764171	7.785191	6.532144	4.644328	5.85433	5.031307	6.7814403	7.173588	8.486566	7.968435	5.784025
ATP2A3	6.065364	2.463219	5.994471	7.089544	6.300094	6.530649	6.506758	5.276863	6.434603	6.915739	6.015752	4.398615	7.269021	4.760354	7.553408	5.331474	2.245474	6.576532	6.976954	4.95566	5.843078	5.736738	7.66123	7.010733	4.44869	8.139498	6.350195	7.371037	6.932897	7.049043	8.022199	5.135963	7.0883326	6.171056	6.296986	7.594118	5.715256	5.447696	6.812567	6.703119	9.9027939	6.039166	6.88697	2.197639	3.665311	4.2137788	6.55427	6.847674	5.960954	7.285911	5.992475	5.964067	5.903973	6.911597	9.173595	7.082555	7.65493	5.33858	6.03527	8.117348	6.947574	8.385006	7.137122	7.092564	9.819649	4.840794	5.932859	7.131384	6.833005	6.474942	8.012543	5.403292	6.412628	6.620626	6.156304	7.152756	6.244515	6.913407	7.122991	5.905935	6.538045	6.628915	7.123572	6.233662	6.047754	2.6145279	8.301931	7.469467	6.854378	6.245138	9.2969	8.599151	5.238872	5.307117	6.404305	7.840759	6.064765	6.93807	7.664571	6.03527	6.881671	6.523557	6.35389	7.945141	6.488157	7.232989	4.668659	4.77672	4.014706	5.1572171	5.981222	6.148445	6.434301	6.197586	7.137602	5.973745	7.625026	7.785974	7.1718714	8.181145	6.105529	5.457361	8.747831	3.915782	6.60645	7.163901	7.334296	6.302919	5.373722	6.284425	4.260619	7.944543	6.022375	5.505632	5.322385	5.176121	8.334435	4.992158	6.572508	4.589787	6.759927	6.447861	6.392664	9.285045	7.572519	5.472102	5.597836	6.362312	6.461162	6.715791	5.53658	5.147046	7.436122	6.842691	2.377843	7.155014	4.6791354	5.080192	8.178429	7.1864989	6.800744	6.137632	5.375593	7.313954	5.58204	6.908476	7.422782	4.986888	6.022375	5.736181	7.555394	6.2543949	7.639859	8.197487	7.892515	6.597265
BATF	9.299652	9.604715	10.060377	11.300186	9.734082	9.448455	9.83202	9.225824	10.05574	10.298664	9.705774	8.984555	11.011215	9.025889	11.177239	8.78418	9.568613	9.37486	10.099638	9.06245	9.252027	10.405406	9.954073	9.763111	9.530165	12.02321	10.2660571	9.946698	11.334138	9.985652	10.685513	9.786198	10.7555848	9.89753	9.827273	11.680554	10.275252	8.613815	10.68251	10.200747	12.6987632	9.904883	10.651391	9.333218	10.971189	11.0853192	9.708598	10.150565	9.925068	11.333141	9.714104	9.546225	8.996935	10.395084	14.027913	9.743598	11.574301	9.488563	9.382095	10.923111	10.322417	11.957924	10.000299	10.22215	10.372213	8.860681	8.799821	10.849579	11.117372	10.627825	11.331022	9.146501	10.387746	9.731804	9.864442	9.783978	9.658277	9.409556	10.906231	9.482422	10.190347	9.80158	10.323064	10.01944	9.997206	11.0045091	11.903756	11.185488	10.923111	9.180718	12.137094	12.178369	10.241283	9.241488	10.173516	10.498514	9.445577	9.636469	9.15606	9.272034	10.790046	9.52798	9.088338	11.506672	9.977735	12.06318	9.173899	8.519948	9.280424	8.3915182	9.246411	9.994186	9.359426	9.85762	10.914363	9.288935	10.347911	11.314568	11.3826265	10.194977	9.980168	9.308642	11.846339	9.431357	11.158742	10.429683	9.365079	9.428518	9.23506	10.802605	9.089926	11.464894	10.762682	9.758141	10.333749	9.137981	9.904158	9.916234	10.77669	11.491567	9.896016	10.71519	9.772179	12.674068	10.723724	8.354709	9.988531	9.36442	10.999064	10.270838	9.8642478	9.79439	10.642101	9.769311	9.70329	10.37018	8.2041708	12.962649	9.703805	9.6521699	9.899338	9.484596	10.128723	11.216938	9.596283	10.054714	11.233929	9.96813	9.946739	9.585498	8.517449	9.3915463	10.518739	10.70813	11.218094	8.744092
BCL11B	4.605492	3.461851	5.59424	5.465387	7.27667	6.646849	7.013867	5.099116	7.258689	7.141253	5.437276	6.356786	8.347732	5.954757	8.523761	5.650121	5.693165	5.04705	7.861061	4.843131	4.831396	7.51457	5.951342	5.946083	4.778846	9.64074	5.9946967	6.338666	8.169072	7.564103	8.006485	4.868419	7.8005283	6.117343	6.345859	8.55727	6.373783	4.808003	9.316448	6.018004	11.5136282	6.751427	5.755699	5.662579	5.90912	7.8923263	6.677779	7.152177	6.425897	6.712161	5.691901	7.24559	5.653572	4.961307	10.027669	6.141763	8.14906	5.283364	7.110373	5.736119	4.99878	5.652116	6.695435	7.78644	7.687834	4.541095	5.2571	7.947408	7.398393	7.327226	8.525882	4.617453	8.434013	7.198137	6.252093	6.521218	5.729354	4.682953	5.078527	6.692871	7.075754	4.778099	3.720386	5.572282	5.946743	7.4426111	5.263936	8.725059	8.416599	5.814294	7.951253	9.075131	5.115775	5.71836	4.883438	8.063083	4.188583	5.715712	6.779272	5.424758	7.079747	5.954129	5.069994	9.231312	4.557557	8.329987	5.433191	6.661244	5.84188	2.8995082	2.884919	4.926716	5.23122	7.110666	8.3708	6.117331	7.871525	8.238646	8.4050515	8.030628	5.573239	6.100993	8.745578	5.250794	6.085992	6.075146	4.204519	6.195415	4.451378	7.674142	4.884923	9.191866	5.33504	6.500968	6.538572	5.188196	6.644487	5.514406	5.107525	7.67775	5.867359	5.153854	5.481626	11.239156	7.270957	5.746867	6.54404	5.878227	6.26647	6.472153	5.4104205	5.845496	7.742888	6.526112	6.131969	7.06755	1.7954547	8.406077	6.145752	5.8847772	6.802231	5.737767	6.671054	8.88446	5.962277	6.693114	9.078953	5.338551	6.719079	6.747713	5.838536	6.8572748	7.830264	8.308054	8.827802	7.531464
