ID	GSM1820739	GSM1820740	GSM1820741	GSM1820742	GSM1820743	GSM1820744	GSM1820745	GSM1820746	GSM1820747	GSM1820748	GSM1820749	GSM1820750	GSM1820751	GSM1820752	GSM1820753	GSM1820754	GSM1820755	GSM1820756	GSM1820757	GSM1820758	GSM1820759	GSM1820760	GSM1820761	GSM1820762	GSM1820763	GSM1820764	GSM1820765	GSM1820766	GSM1820767	GSM1820768	GSM1820769	GSM1820770	GSM1820771	GSM1820772	GSM1820773	GSM1820774	GSM1820775	GSM1820776	GSM1820777	GSM1820778	GSM1820779	GSM1820780	GSM1820781	GSM1820782	GSM1820783	GSM1820784	GSM1820785	GSM1820786	GSM1820787	GSM1820788	GSM1820789	GSM1820790	GSM1820791	GSM1820792	GSM1820793	GSM1820794	GSM1820795	GSM1820796	GSM1820797	GSM1820798	GSM1820799	GSM1820800	GSM1820801	GSM1820802	GSM1820803	GSM1820804	GSM1820805	GSM1820806	GSM1820807	GSM1820808	GSM1820809	GSM1820810	GSM1820811	GSM1820812	GSM1820813	GSM1820814	GSM1820815	GSM1820816	GSM1820817	GSM1820818	GSM1820819	GSM1820820	GSM1820821	GSM1820822	GSM1820823	GSM1820824	GSM1820825	GSM1820826	GSM1820827	GSM1820828	GSM1820829	GSM1820830	GSM1820831	GSM1820832	GSM1820833	GSM1820834	GSM1820835	GSM1820836	GSM1820837	GSM1820838	GSM1820839	GSM1820840	GSM1820841	GSM1820842	GSM1820843	GSM1820844	GSM1820845	GSM1820846	GSM1820847	GSM1820848	GSM1820849	GSM1820850	GSM1820851	GSM1820852	GSM1820853	GSM1820854	GSM1820855	GSM1820856	GSM1820857	GSM1820858	GSM1820859	GSM1820860	GSM1820861	GSM1820862	GSM1820863	GSM1820864	GSM1820865	GSM1820866	GSM1820867	GSM1820868	GSM1820869	GSM1820870	GSM1820871	GSM1820872	GSM1820873	GSM1820874	GSM1820875	GSM1820876	GSM1820877	GSM1820878	GSM1820879	GSM1820880	GSM1820881	GSM1820882	GSM1820883	GSM1820884	GSM1820885	GSM1820886	GSM1820887	GSM1820888	GSM1820889	GSM1820890	GSM1820891	GSM1820892	GSM1820893	GSM1820894	GSM1820895	GSM1820896	GSM1820897	GSM1820898	GSM1820899	GSM1820900	GSM1820901	GSM1820902	GSM1820903	GSM1820904	GSM1820905	GSM1820906	GSM1820907	GSM1820908	GSM1820909	GSM1820910	GSM1820911	GSM1820912	GSM1820913	GSM1820914
MIAT	2.320433	1.795695	4.321701	4.118212	5.015884	4.780391	4.289596	4.338365	5.905192	5.779259	4.864752	1.593704	6.1728	4.658481	7.225494	3.718005	1.483976	3.932723	6.252382	1.458972	1.567299	4.92309	4.581822	4.987692	1.753663	8.504842	4.600301	5.404285	6.732497	6.114922	7.188582	1.487902	5.934859	3.665663	4.978257	8.224758	4.342703	3.137086	7.945407	5.522199	9.778578	4.263387	4.538642	3.936355	7.037723	4.162946	3.843376	6.107159	5.696594	6.285861	5.447934	5.082535	4.81195	3.519395	9.847136	5.306485	7.373047	4.082864	5.007986	5.226065	4.366058	6.013252	4.82816	6.428002	7.076538	4.002666	3.483193	6.266411	5.645579	6.120807	7.389173	3.398686	7.061219	6.097173	3.857419	4.810529	3.239107	3.893284	3.204933	4.152898	6.461598	3.907516	3.714391	3.394463	3.369843	3.445734	4.874433	8.563815	6.733033	3.367466	7.590198	8.715005	2.601518	3.359696	7.260171	7.268735	3.081507	4.295454	3.894716	4.526205	5.695933	4.388559	3.467905	7.262859	3.174287	7.968823	3.454502	5.546527	8.728312	2.110037	5.296038	2.715518	6.593927	7.350148	7.992701	6.005682	5.976468	8.310291	7.12107	5.802635	3.344103	3.771749	8.424986	4.554808	3.371285	3.989632	3.636751	3.56338	3.419237	6.978804	4.507452	8.933662	3.151824	4.144188	3.482893	3.476134	4.915587	5.490193	3.605241	7.76654	3.674872	4.6709	3.54156	10.279083	7.926709	3.577868	4.337451	4.42504	3.588673	3.890295	3.535293	3.869018	7.159956	6.463598	4.935189	4.308498	3.387707	4.94209	3.778108	3.312919	3.587382	3.753733	4.612856	7.226442	3.452034	5.140429	7.41109	5.950948	4.049376	5.447396	3.654577	3.137523	6.956288	7.924281	7.652233	6.437202
GZMK	3.952664	5.012549	6.279118	6.071601	7.968997	6.472209	8.847155	5.171572	6.33741	6.324698	4.415798	5.674713	7.869298	5.624344	7.751266	5.751409	7.486054	5.190233	8.559579	5.798483	4.649618	6.512683	7.008099	5.799098	6.600203	8.790608	7.083578	6.771253	8.125474	7.373349	7.649893	5.780809	6.561765	8.444275	6.212761	8.340002	6.970865	2.292408	9.147339	6.461349	12.520543	5.581049	5.325219	2.193947	7.116758	7.643149	9.156391	7.851395	5.367439	7.007556	6.458735	6.187739	6.460733	4.981771	10.862224	6.000754	8.14719	5.648321	6.713275	6.297568	4.79664	6.657886	8.039817	7.336902	8.92519	6.537263	5.076741	7.769089	5.761939	7.957398	9.070832	5.14854	6.373378	4.463222	7.767492	4.793044	6.349624	4.318669	3.45377	6.460052	7.795083	4.782627	4.249397	6.060097	5.35353	7.297491	6.561766	10.10512	6.933642	6.144832	8.355844	10.022583	4.835724	5.069718	5.271184	7.044377	3.24385	5.950557	4.729414	3.641186	6.935509	7.063949	4.334101	8.430295	3.381373	7.109593	5.641383	6.630566	8.42823	3.283068	5.138353	5.020605	5.226252	6.842233	7.361221	5.583945	8.447561	8.209545	7.969915	9.076096	6.288439	4.947087	9.080383	5.043239	4.761572	5.649905	4.459112	6.033515	4.501997	8.003899	3.929101	7.918015	6.759648	5.839803	6.564572	5.415849	8.021991	6.120827	6.291127	7.011975	4.907266	6.83877	5.940715	10.318417	8.71874	3.800205	6.992555	6.255959	6.344257	6.725114	5.257013	6.101195	7.103679	5.842076	7.130764	6.421389	7.231381	12.608418	7.945144	6.781281	5.936275	4.645131	7.690926	8.581447	3.930651	7.783173	8.41603	6.00738	4.484578	4.372589	5.530004	6.091562	8.001765	8.233033	8.451784	6.590809
GZMH	7.512962	7.862131	10.022565	8.971469	9.704054	9.26348	11.033417	8.086759	9.090587	9.35018	7.928609	8.893033	12.147697	8.204679	11.696415	8.00852	10.047178	8.930414	11.088333	7.158066	4.77364	10.979164	8.831151	7.99164	8.407729	13.115129	9.730662	9.536845	12.008735	10.341923	10.731398	9.546976	10.890834	9.98133	8.880869	12.462778	9.470089	6.926148	11.731589	9.211151	15.074636	9.336391	9.786325	9.306593	9.106073	10.910064	9.386089	9.264678	9.049649	9.94586	8.526392	8.864339	7.718726	7.07061	13.931959	8.163715	10.148575	7.553738	8.310516	7.870038	7.194509	7.722691	9.21728	10.767201	9.987504	6.274058	5.980117	10.755355	10.721846	10.414004	10.394141	7.054752	10.815782	8.928472	9.788989	9.375317	8.716487	5.780337	8.339275	8.089752	10.969389	6.744974	6.917839	8.260584	7.572495	10.66208	8.42965	11.648862	10.681473	6.985262	11.895975	12.632655	7.933919	8.40511	8.221851	11.608123	5.550139	7.809667	7.950152	7.460588	9.505508	8.31404	7.240191	12.572043	7.513631	11.738799	8.550031	12.475186	10.824527	8.970477	8.399574	10.706337	7.597313	8.066626	11.515543	7.217367	10.741313	11.983451	11.016536	11.639358	8.458044	7.147016	11.997456	9.514272	9.324556	8.656801	7.535271	9.172959	6.803035	10.710562	7.094031	11.298421	8.954458	9.479882	9.914121	7.837871	9.228498	8.357338	9.556272	11.521588	7.977798	9.563219	9.450661	13.750772	10.266687	6.21281	8.211543	8.703226	10.003655	8.579278	8.70744	7.797403	9.831626	7.979444	10.271933	9.798131	9.933858	14.060526	8.85627	8.906294	8.960554	8.545803	9.644769	12.608649	6.664757	9.759379	12.079398	8.623846	8.647269	8.449345	6.412436	7.781718	10.317234	10.499262	11.094039	8.97731
GZMA	6.978434	7.515419	9.427094	8.661085	10.548784	9.935904	10.693172	7.664875	9.600455	10.137958	7.698475	8.914356	11.765294	7.215655	11.118903	8.216658	11.040545	6.922576	11.015914	6.962394	5.291741	10.191764	9.205414	8.092858	8.46516	12.815778	9.077747	9.726013	12.1436	10.162943	11.224663	8.957042	10.666581	9.820941	8.811246	10.863536	9.598747	6.655831	11.236765	9.660696	14.657294	9.714217	7.970205	8.245601	9.715233	10.756175	10.123224	8.537012	8.707226	10.332206	8.273378	8.879586	7.828925	7.550847	13.83307	7.86667	11.216808	7.106145	8.628272	8.736675	7.816264	8.543288	9.027051	10.161766	10.643273	5.206673	6.805236	10.808879	9.292712	10.274982	11.400347	7.084831	10.095473	8.134917	10.396705	8.876472	7.994736	5.25965	7.56567	8.634082	10.124986	6.591841	7.388072	7.799111	8.450479	7.745006	8.172216	11.992435	10.550055	7.325494	11.524206	12.653234	7.345242	8.132722	8.853476	9.763925	6.359107	8.085499	8.161895	7.46601	9.449834	8.402802	6.461218	11.357858	6.239225	11.30296	7.504924	6.752199	8.506784	10.663258	11.001208	7.923854	8.124853	9.113827	9.925948	8.818634	10.933198	11.876183	11.408344	10.983638	7.760992	6.943578	11.539732	8.333123	7.411915	8.814147	7.157045	8.389017	6.764896	10.749193	6.207394	11.578685	7.763078	9.01649	9.783189	7.211566	9.500717	8.646822	9.083181	10.780154	6.296077	8.844888	9.394746	13.473801	10.572167	6.25157	9.229833	8.995603	9.964691	8.778067	7.87954	7.722639	9.218631	8.547213	8.679644	8.868036	9.021189	13.742206	8.534615	9.002589	8.413885	7.824534	9.382166	11.727846	6.197724	9.418725	11.405702	8.506188	8.926242	8.213988	7.851489	9.605192	11.442957	11.74843	12.54759	9.963272
IKZF3	2.231198	2.14614	2.688522	3.823078	5.056581	4.19757	5.707739	2.994436	5.112445	5.270585	2.22175	5.280366	6.0829	2.807171	5.544908	2.989324	4.023482	3.671117	5.626802	2.456183	2.37186	2.365836	4.80871	2.449542	2.23187	7.286362	4.620192	4.387742	5.670051	5.250703	6.281293	2.379803	6.196022	4.249085	3.456435	6.890057	2.345145	2.857906	4.756992	3.344037	8.349526	4.058214	2.437467	2.397326	2.250709	2.27906	5.254073	3.104982	4.083032	4.05685	3.593925	4.743355	2.286447	3.768108	7.7286	2.918484	5.554926	2.233971	4.996614	4.104988	3.417202	3.805078	2.268406	3.887418	6.927513	2.588384	2.090497	4.599927	2.270967	2.541862	6.540466	2.410426	3.649667	2.865224	2.415662	2.290767	2.499266	3.355346	2.333368	2.308703	3.609703	2.162134	2.202668	1.892119	2.325116	1.878936	3.005639	6.590397	5.110302	2.226574	5.718449	6.832368	1.877822	2.338964	2.259638	5.734961	1.987272	2.589466	2.446737	2.53458	3.144884	2.31474	1.812185	6.294728	1.862557	3.543788	1.96744	1.959362	2.248078	2.225118	2.301078	4.651675	2.736907	3.721502	4.871573	4.764984	4.712672	5.276133	6.801147	5.668087	2.354715	2.753893	6.862289	2.329744	2.425891	2.812644	2.759664	2.404485	2.635388	5.677605	2.437289	6.735249	2.280273	3.343553	2.958705	2.605848	3.905754	2.504426	3.289862	2.472106	3.082554	3.095377	3.538936	9.160841	5.987511	2.572362	2.501964	3.49198	2.770589	3.124965	3.02926	3.501379	4.14871	4.729329	2.582924	2.703094	2.535954	4.315545	2.93754	4.637913	3.897282	3.124965	2.982804	5.999328	2.682463	2.948624	5.560492	3.403113	3.978789	2.811965	4.025368	2.142859	5.409441	7.15607	6.839272	5.674931
DPP4	3.59535	4.465894	5.552734	6.265433	6.70948	5.14182	6.210081	5.188467	6.73462	6.083741	4.795793	5.699279	7.623948	4.833459	7.939605	5.222622	3.567224	5.406771	6.387221	3.871634	2.172388	7.016271	6.162844	4.879806	4.121998	8.915169	5.149868	4.364187	7.297887	5.788007	7.49351	4.133914	6.760792	6.007849	5.797733	7.640486	5.881442	2.079955	8.172409	5.776054	8.439076	6.272859	5.16246	2.164558	8.161125	7.596312	5.247012	6.983165	5.574868	6.499845	5.17446	7.030314	4.461545	5.440619	8.480584	6.233199	6.651359	5.394254	6.414717	6.369351	6.528615	8.120005	5.157179	6.572305	5.865414	4.282974	3.421563	6.387221	7.716262	6.817132	6.728944	4.398895	7.339314	6.816641	4.167382	4.76978	5.250912	4.557186	5.09305	4.407863	4.918279	4.289063	4.932814	4.692906	5.823123	5.419072	8.055692	6.701371	7.439579	4.802844	7.034074	7.433885	4.200692	4.39758	5.622529	7.320714	4.580017	4.954089	4.328897	5.044353	7.112633	4.412702	3.405946	8.344044	4.453776	8.390122	4.319256	13.792151	7.6312	4.716189	2.782187	6.41656	4.616814	6.609825	8.119255	5.315725	6.359214	6.277623	8.684298	7.13715	4.875742	4.792647	8.356879	5.343752	6.433367	5.716875	4.015004	5.859202	4.087971	7.435548	4.83098	9.227043	5.703449	4.602392	6.980034	3.981307	5.508462	4.880057	5.089407	9.653599	6.125768	4.965448	5.059778	11.497613	7.019201	3.091055	4.877172	4.349801	6.943419	6.249552	2.64739	5.316894	7.441334	6.636961	6.097815	6.426101	7.754794	6.122235	4.844291	6.448381	6.291518	4.446131	6.623146	8.56161	4.637318	5.679363	9.654293	6.271524	5.247623	3.982445	5.114894	4.265534	7.749163	5.840462	5.976104	6.312505
ITM2C	6.227008	2.547898	7.67462	6.353466	8.136482	7.53136	7.8458	6.158722	6.750701	7.517182	5.462388	5.409694	8.654751	4.648343	7.272448	5.368261	7.17099	5.995683	8.682004	5.510021	6.052323	6.654894	6.617544	6.712438	4.770314	8.436417	7.451365	8.118151	9.268357	8.31791	7.583876	6.520214	7.509578	7.821903	5.354849	7.696563	7.321764	3.83836	9.077425	6.693022	10.530291	6.265326	6.377289	4.975631	8.303414	5.544238	7.321764	7.107722	6.713724	6.682315	6.563969	6.40162	6.184143	5.872356	9.925439	7.031905	7.319873	5.628671	5.913607	7.178998	6.913571	6.472011	7.672993	7.325949	9.329077	4.405649	5.175748	7.469314	7.786491	7.300756	7.960406	5.017654	7.14531	7.586217	7.138683	7.203097	6.118273	4.455202	6.223513	6.470173	7.61758	5.951098	6.151363	5.313253	6.456864	1.829935	6.8004	9.346014	7.021336	5.845018	9.56338	8.593961	3.429844	6.157233	5.891951	8.667286	6.254129	6.505899	6.680455	6.140097	6.335339	6.287979	4.293495	9.459756	5.112848	7.068111	3.919577	2.268565	4.873724	2.273012	2.804603	3.661039	6.401084	6.22403	7.07249	6.803635	7.516664	9.17854	8.11887	8.621619	6.883727	5.092021	7.784305	2.823759	6.834352	6.565314	6.920316	6.122362	6.370687	8.081938	3.173496	8.144792	6.590527	6.251979	6.544554	5.702974	7.4197	5.571443	6.349529	7.209711	4.576675	6.86532	6.658557	10.385685	7.982504	4.6314	6.557623	4.567904	7.389321	5.842042	5.253876	5.813965	6.727239	7.161973	2.357784	7.104903	2.282829	8.598483	7.377867	6.913857	6.50012	5.149857	6.104438	7.986421	6.093211	6.023786	8.153475	6.638488	5.753278	7.151222	6.983073	5.629075	7.821067	9.347797	9.296321	7.932269
PBX4	3.964648	2.851929	4.807181	5.217135	5.92774	6.011049	5.655657	5.149259	6.799806	6.481726	6.06827	5.031169	8.04443	5.882332	7.828932	4.790115	3.806302	5.714239	7.137765	4.002951	5.327328	5.914496	6.498565	5.786105	4.275225	8.768624	6.233828	6.50135	7.555541	7.219293	7.466042	5.109873	7.378022	5.284514	5.669787	8.602776	5.818095	5.067764	7.88742	6.140237	9.824252	5.258099	6.876567	5.850709	7.531085	6.879064	6.062478	6.986947	6.353364	7.455432	6.184061	6.434711	5.740837	5.983935	10.151847	6.224871	7.76101	5.615345	6.409911	6.647123	5.796433	7.420945	5.830276	7.081165	6.693844	4.464676	4.932076	6.766705	7.257356	6.860652	7.467163	5.001715	6.979172	6.244032	5.970357	5.56264	4.727339	6.133724	4.190548	6.048969	6.907263	5.525893	5.437446	5.338586	5.795728	6.547607	6.690745	7.45996	7.252543	5.291566	6.567675	8.489145	4.680973	4.881169	5.711561	7.416269	4.779567	5.001715	5.24616	5.408113	6.755053	5.826115	4.801977	7.920842	6.182684	7.947641	4.961762	7.66375	7.075009	11.594352	2.518875	3.4013	6.378227	6.959774	8.472139	6.327037	7.547386	8.179311	7.783708	6.555989	5.512991	5.804636	8.726991	3.432288	5.553197	6.038176	4.544901	5.998553	4.985806	8.102828	5.429888	9.168199	5.744993	6.609471	5.171012	5.543977	6.06909	5.92259	6.561647	8.037643	4.656979	6.728235	5.854757	10.055659	7.700155	4.429158	6.172878	6.000288	7.116878	6.24282	6.132282	5.753897	7.806418	6.708787	5.476534	6.402242	2.98814	7.684124	4.222558	6.054598	5.819035	4.23726	6.362587	7.768198	5.266005	7.162944	7.82058	6.284757	3.825283	5.808649	5.290338	5.540613	7.202932	8.259209	8.209241	6.629223
CD8A	7.112357	5.912964	9.291863	7.636328	9.741928	9.804387	10.700914	8.445773	8.834245	7.967175	6.803385	8.441845	10.042854	7.222461	10.01351	8.175754	9.640264	8.102696	11.3913	6.44442	4.193309	8.344824	8.83255	7.266079	8.242944	10.852017	8.519477	9.219164	9.791471	10.835725	10.672373	7.735607	9.148161	9.085732	7.294875	10.481361	9.100387	6.033409	11.47259	8.953807	13.856438	6.688629	7.510705	7.124433	8.442818	9.589334	9.661946	9.807654	7.653486	8.421534	7.434876	7.66816	7.615724	6.785185	12.60547	7.230798	10.321413	8.218694	7.707632	8.635165	7.355438	8.252349	9.13879	10.494528	10.994914	6.213819	6.180593	10.76363	10.782528	10.082153	10.754775	6.812765	10.649989	8.662824	10.275312	9.419993	8.397003	5.517021	7.511394	8.113999	10.373063	7.297743	7.223134	7.488922	7.515522	7.93419	8.440704	11.077159	7.790468	7.688565	11.11301	11.185461	7.87307	8.633174	8.843303	11.618087	6.359978	7.083511	7.668653	6.938184	9.30187	8.24622	6.757659	9.851758	6.99139	9.826583	6.969352	5.291003	8.83744	4.514319	6.474754	8.4171	6.745727	8.384319	9.835267	9.318355	10.544497	11.216845	9.802239	11.569031	8.123917	5.551045	10.996843	7.140382	8.443578	9.949123	8.356133	9.154058	7.011864	9.767214	6.19899	9.847663	8.01782	8.799015	9.888169	7.244455	8.499882	8.922678	7.623282	9.768862	7.411563	8.024923	9.850619	12.969431	9.639599	6.204612	7.771535	8.438236	8.597679	7.448682	8.547725	7.065824	10.519469	7.169973	5.614546	8.841282	5.748282	12.51615	8.909565	7.353401	9.498797	7.990035	6.898525	10.681564	6.702505	8.579444	9.900068	8.254962	8.662204	7.293758	7.103047	7.500417	9.576523	10.536408	10.231216	8.841282
TRAF3IP3	6.36668	5.855681	7.750442	7.687071	7.88469	7.466553	8.021418	6.316924	7.859581	7.977032	7.366424	6.746294	9.076289	7.284896	9.395446	6.503293	6.955346	6.661063	8.494879	6.319287	6.338137	8.195623	8.221408	7.253848	6.688252	10.456352	7.331182	7.868357	8.892931	8.00339	9.465026	7.389743	8.44056	7.101622	6.986329	9.176958	7.665907	5.124818	9.038737	7.476217	12.822676	7.919197	6.961073	6.817877	8.494879	8.360732	7.40104	8.125099	7.296491	8.518307	7.346415	7.730507	6.817247	7.183291	10.912157	7.272525	9.054312	6.495025	7.341591	8.332635	7.30282	9.000991	6.873642	7.712762	9.105412	4.972099	5.486207	7.630045	8.002308	8.169799	8.716527	5.620717	7.126837	7.249458	6.149275	6.389077	7.679609	5.534714	6.009199	6.137005	6.61714	5.922436	6.600741	7.423481	6.745149	8.760465	8.332635	8.325135	7.813436	6.087237	8.81719	9.341633	6.962297	6.140919	6.814809	8.172781	5.610725	6.77641	6.680046	6.47966	7.599637	6.656839	6.36668	8.736043	6.011738	8.279011	7.072283	9.778121	8.376258	16.446659	8.755276	8.804839	7.119645	8.319294	9.622885	7.478325	8.538633	9.314358	9.433515	8.974654	6.613869	6.457064	10.081881	6.064784	5.989021	7.463334	6.19014	7.129245	5.977995	8.919677	5.615296	10.103594	7.424415	7.000636	7.409558	6.512999	8.347064	6.60754	7.053949	9.588707	6.47981	7.07416	7.205743	11.380744	8.607523	5.33891	6.79273	6.977171	7.418869	7.947909	6.478084	7.019073	8.782772	7.95902	5.782011	7.943329	7.914264	10.646861	7.461589	8.046537	7.693041	6.497608	7.426242	9.523688	6.188303	7.74331	9.751246	7.156819	7.210947	6.93169	6.237255	7.191658	8.830778	9.604158	9.534079	8.272224
