id	GSM1820740	GSM1820741	GSM1820742	GSM1820745	GSM1820749	GSM1820751	GSM1820752	GSM1820754	GSM1820755	GSM1820757	GSM1820758	GSM1820759	GSM1820760	GSM1820762	GSM1820765	GSM1820767	GSM1820768	GSM1820769	GSM1820770	GSM1820772	GSM1820773	GSM1820775	GSM1820777	GSM1820778	GSM1820780	GSM1820781	GSM1820783	GSM1820784	GSM1820787	GSM1820788	GSM1820790	GSM1820791	GSM1820794	GSM1820795	GSM1820796	GSM1820797	GSM1820798	GSM1820799	GSM1820801	GSM1820803	GSM1820805	GSM1820806	GSM1820808	GSM1820809	GSM1820811	GSM1820812	GSM1820813	GSM1820815	GSM1820816	GSM1820817	GSM1820818	GSM1820819	GSM1820820	GSM1820821	GSM1820822	GSM1820823	GSM1820824	GSM1820825	GSM1820827	GSM1820828	GSM1820829	GSM1820831	GSM1820832	GSM1820833	GSM1820835	GSM1820836	GSM1820837	GSM1820838	GSM1820839	GSM1820840	GSM1820841	GSM1820843	GSM1820844	GSM1820845	GSM1820846	GSM1820847	GSM1820848	GSM1820849	GSM1820850	GSM1820851	GSM1820852	GSM1820853	GSM1820854	GSM1820855	GSM1820856	GSM1820858	GSM1820859	GSM1820861	GSM1820862	GSM1820863	GSM1820864	GSM1820866	GSM1820867	GSM1820868	GSM1820869	GSM1820870	GSM1820873	GSM1820874	GSM1820875	GSM1820876	GSM1820877	GSM1820878	GSM1820879	GSM1820880	GSM1820881	GSM1820882	GSM1820883	GSM1820885	GSM1820889	GSM1820890	GSM1820892	GSM1820893	GSM1820894	GSM1820896	GSM1820898	GSM1820900	GSM1820901	GSM1820902	GSM1820903	GSM1820905	GSM1820906	GSM1820911	GSM1820912	GSM1820914
MIAT	1.795695	4.321701	4.118212	4.289596	4.864752	6.1728	4.658481	3.718005	1.483976	6.252382	1.458972	1.567299	4.92309	4.987692	4.600301	6.732497	6.114922	7.188582	1.487902	3.665663	4.978257	4.342703	7.945407	5.522199	4.263387	4.538642	7.037723	4.162946	5.696594	6.285861	5.082535	4.81195	5.306485	7.373047	4.082864	5.007986	5.226065	4.366058	4.82816	7.076538	3.483193	6.266411	6.120807	7.389173	7.061219	6.097173	3.857419	3.239107	3.893284	3.204933	4.152898	6.461598	3.907516	3.714391	3.394463	3.369843	3.445734	4.874433	6.733033	3.367466	7.590198	2.601518	3.359696	7.260171	3.081507	4.295454	3.894716	4.526205	5.695933	4.388559	3.467905	3.174287	7.968823	3.454502	5.546527	8.728312	2.110037	5.296038	2.715518	6.593927	7.350148	7.992701	6.005682	5.976468	8.310291	5.802635	3.344103	8.424986	4.554808	3.371285	3.989632	3.56338	3.419237	6.978804	4.507452	8.933662	3.482893	3.476134	4.915587	5.490193	3.605241	7.76654	3.674872	4.6709	3.54156	10.279083	7.926709	4.337451	3.535293	3.869018	6.463598	4.935189	4.308498	4.94209	3.312919	3.753733	4.612856	7.226442	3.452034	7.41109	5.950948	6.956288	7.924281	6.437202
GZMK	5.012549	6.279118	6.071601	8.847155	4.415798	7.869298	5.624344	5.751409	7.486054	8.559579	5.798483	4.649618	6.512683	5.799098	7.083578	8.125474	7.373349	7.649893	5.780809	8.444275	6.212761	6.970865	9.147339	6.461349	5.581049	5.325219	7.116758	7.643149	5.367439	7.007556	6.187739	6.460733	6.000754	8.14719	5.648321	6.713275	6.297568	4.79664	8.039817	8.92519	5.076741	7.769089	7.957398	9.070832	6.373378	4.463222	7.767492	6.349624	4.318669	3.45377	6.460052	7.795083	4.782627	4.249397	6.060097	5.35353	7.297491	6.561766	6.933642	6.144832	8.355844	4.835724	5.069718	5.271184	3.24385	5.950557	4.729414	3.641186	6.935509	7.063949	4.334101	3.381373	7.109593	5.641383	6.630566	8.42823	3.283068	5.138353	5.020605	5.226252	6.842233	7.361221	5.583945	8.447561	8.209545	9.076096	6.288439	9.080383	5.043239	4.761572	5.649905	6.033515	4.501997	8.003899	3.929101	7.918015	6.564572	5.415849	8.021991	6.120827	6.291127	7.011975	4.907266	6.83877	5.940715	10.318417	8.71874	6.992555	5.257013	6.101195	5.842076	7.130764	6.421389	12.608418	6.781281	4.645131	7.690926	8.581447	3.930651	8.41603	6.00738	8.001765	8.233033	6.590809
GZMH	7.862131	10.022565	8.971469	11.033417	7.928609	12.147697	8.204679	8.00852	10.047178	11.088333	7.158066	4.77364	10.979164	7.99164	9.730662	12.008735	10.341923	10.731398	9.546976	9.98133	8.880869	9.470089	11.731589	9.211151	9.336391	9.786325	9.106073	10.910064	9.049649	9.94586	8.864339	7.718726	8.163715	10.148575	7.553738	8.310516	7.870038	7.194509	9.21728	9.987504	5.980117	10.755355	10.414004	10.394141	10.815782	8.928472	9.788989	8.716487	5.780337	8.339275	8.089752	10.969389	6.744974	6.917839	8.260584	7.572495	10.66208	8.42965	10.681473	6.985262	11.895975	7.933919	8.40511	8.221851	5.550139	7.809667	7.950152	7.460588	9.505508	8.31404	7.240191	7.513631	11.738799	8.550031	12.475186	10.824527	8.970477	8.399574	10.706337	7.597313	8.066626	11.515543	7.217367	10.741313	11.983451	11.639358	8.458044	11.997456	9.514272	9.324556	8.656801	9.172959	6.803035	10.710562	7.094031	11.298421	9.914121	7.837871	9.228498	8.357338	9.556272	11.521588	7.977798	9.563219	9.450661	13.750772	10.266687	8.211543	8.70744	7.797403	7.979444	10.271933	9.798131	14.060526	8.906294	8.545803	9.644769	12.608649	6.664757	12.079398	8.623846	10.317234	10.499262	8.97731
GZMA	7.515419	9.427094	8.661085	10.693172	7.698475	11.765294	7.215655	8.216658	11.040545	11.015914	6.962394	5.291741	10.191764	8.092858	9.077747	12.1436	10.162943	11.224663	8.957042	9.820941	8.811246	9.598747	11.236765	9.660696	9.714217	7.970205	9.715233	10.756175	8.707226	10.332206	8.879586	7.828925	7.86667	11.216808	7.106145	8.628272	8.736675	7.816264	9.027051	10.643273	6.805236	10.808879	10.274982	11.400347	10.095473	8.134917	10.396705	7.994736	5.25965	7.56567	8.634082	10.124986	6.591841	7.388072	7.799111	8.450479	7.745006	8.172216	10.550055	7.325494	11.524206	7.345242	8.132722	8.853476	6.359107	8.085499	8.161895	7.46601	9.449834	8.402802	6.461218	6.239225	11.30296	7.504924	6.752199	8.506784	10.663258	11.001208	7.923854	8.124853	9.113827	9.925948	8.818634	10.933198	11.876183	10.983638	7.760992	11.539732	8.333123	7.411915	8.814147	8.389017	6.764896	10.749193	6.207394	11.578685	9.783189	7.211566	9.500717	8.646822	9.083181	10.780154	6.296077	8.844888	9.394746	13.473801	10.572167	9.229833	7.87954	7.722639	8.547213	8.679644	8.868036	13.742206	9.002589	7.824534	9.382166	11.727846	6.197724	11.405702	8.506188	11.442957	11.74843	9.963272
IKZF3	2.14614	2.688522	3.823078	5.707739	2.22175	6.0829	2.807171	2.989324	4.023482	5.626802	2.456183	2.37186	2.365836	2.449542	4.620192	5.670051	5.250703	6.281293	2.379803	4.249085	3.456435	2.345145	4.756992	3.344037	4.058214	2.437467	2.250709	2.27906	4.083032	4.05685	4.743355	2.286447	2.918484	5.554926	2.233971	4.996614	4.104988	3.417202	2.268406	6.927513	2.090497	4.599927	2.541862	6.540466	3.649667	2.865224	2.415662	2.499266	3.355346	2.333368	2.308703	3.609703	2.162134	2.202668	1.892119	2.325116	1.878936	3.005639	5.110302	2.226574	5.718449	1.877822	2.338964	2.259638	1.987272	2.589466	2.446737	2.53458	3.144884	2.31474	1.812185	1.862557	3.543788	1.96744	1.959362	2.248078	2.225118	2.301078	4.651675	2.736907	3.721502	4.871573	4.764984	4.712672	5.276133	5.668087	2.354715	6.862289	2.329744	2.425891	2.812644	2.404485	2.635388	5.677605	2.437289	6.735249	2.958705	2.605848	3.905754	2.504426	3.289862	2.472106	3.082554	3.095377	3.538936	9.160841	5.987511	2.501964	3.02926	3.501379	4.729329	2.582924	2.703094	4.315545	4.637913	3.124965	2.982804	5.999328	2.682463	5.560492	3.403113	5.409441	7.15607	5.674931
DPP4	4.465894	5.552734	6.265433	6.210081	4.795793	7.623948	4.833459	5.222622	3.567224	6.387221	3.871634	2.172388	7.016271	4.879806	5.149868	7.297887	5.788007	7.49351	4.133914	6.007849	5.797733	5.881442	8.172409	5.776054	6.272859	5.16246	8.161125	7.596312	5.574868	6.499845	7.030314	4.461545	6.233199	6.651359	5.394254	6.414717	6.369351	6.528615	5.157179	5.865414	3.421563	6.387221	6.817132	6.728944	7.339314	6.816641	4.167382	5.250912	4.557186	5.09305	4.407863	4.918279	4.289063	4.932814	4.692906	5.823123	5.419072	8.055692	7.439579	4.802844	7.034074	4.200692	4.39758	5.622529	4.580017	4.954089	4.328897	5.044353	7.112633	4.412702	3.405946	4.453776	8.390122	4.319256	13.792151	7.6312	4.716189	2.782187	6.41656	4.616814	6.609825	8.119255	5.315725	6.359214	6.277623	7.13715	4.875742	8.356879	5.343752	6.433367	5.716875	5.859202	4.087971	7.435548	4.83098	9.227043	6.980034	3.981307	5.508462	4.880057	5.089407	9.653599	6.125768	4.965448	5.059778	11.497613	7.019201	4.877172	2.64739	5.316894	6.636961	6.097815	6.426101	6.122235	6.448381	4.446131	6.623146	8.56161	4.637318	9.654293	6.271524	7.749163	5.840462	6.312505
ITM2C	2.547898	7.67462	6.353466	7.8458	5.462388	8.654751	4.648343	5.368261	7.17099	8.682004	5.510021	6.052323	6.654894	6.712438	7.451365	9.268357	8.31791	7.583876	6.520214	7.821903	5.354849	7.321764	9.077425	6.693022	6.265326	6.377289	8.303414	5.544238	6.713724	6.682315	6.40162	6.184143	7.031905	7.319873	5.628671	5.913607	7.178998	6.913571	7.672993	9.329077	5.175748	7.469314	7.300756	7.960406	7.14531	7.586217	7.138683	6.118273	4.455202	6.223513	6.470173	7.61758	5.951098	6.151363	5.313253	6.456864	1.829935	6.8004	7.021336	5.845018	9.56338	3.429844	6.157233	5.891951	6.254129	6.505899	6.680455	6.140097	6.335339	6.287979	4.293495	5.112848	7.068111	3.919577	2.268565	4.873724	2.273012	2.804603	3.661039	6.401084	6.22403	7.07249	6.803635	7.516664	9.17854	8.621619	6.883727	7.784305	2.823759	6.834352	6.565314	6.122362	6.370687	8.081938	3.173496	8.144792	6.544554	5.702974	7.4197	5.571443	6.349529	7.209711	4.576675	6.86532	6.658557	10.385685	7.982504	6.557623	5.253876	5.813965	7.161973	2.357784	7.104903	8.598483	6.913857	5.149857	6.104438	7.986421	6.093211	8.153475	6.638488	7.821067	9.347797	7.932269
PBX4	2.851929	4.807181	5.217135	5.655657	6.06827	8.04443	5.882332	4.790115	3.806302	7.137765	4.002951	5.327328	5.914496	5.786105	6.233828	7.555541	7.219293	7.466042	5.109873	5.284514	5.669787	5.818095	7.88742	6.140237	5.258099	6.876567	7.531085	6.879064	6.353364	7.455432	6.434711	5.740837	6.224871	7.76101	5.615345	6.409911	6.647123	5.796433	5.830276	6.693844	4.932076	6.766705	6.860652	7.467163	6.979172	6.244032	5.970357	4.727339	6.133724	4.190548	6.048969	6.907263	5.525893	5.437446	5.338586	5.795728	6.547607	6.690745	7.252543	5.291566	6.567675	4.680973	4.881169	5.711561	4.779567	5.001715	5.24616	5.408113	6.755053	5.826115	4.801977	6.182684	7.947641	4.961762	7.66375	7.075009	11.594352	2.518875	3.4013	6.378227	6.959774	8.472139	6.327037	7.547386	8.179311	6.555989	5.512991	8.726991	3.432288	5.553197	6.038176	5.998553	4.985806	8.102828	5.429888	9.168199	5.171012	5.543977	6.06909	5.92259	6.561647	8.037643	4.656979	6.728235	5.854757	10.055659	7.700155	6.172878	6.132282	5.753897	6.708787	5.476534	6.402242	7.684124	6.054598	4.23726	6.362587	7.768198	5.266005	7.82058	6.284757	7.202932	8.259209	6.629223
CD8A	5.912964	9.291863	7.636328	10.700914	6.803385	10.042854	7.222461	8.175754	9.640264	11.3913	6.44442	4.193309	8.344824	7.266079	8.519477	9.791471	10.835725	10.672373	7.735607	9.085732	7.294875	9.100387	11.47259	8.953807	6.688629	7.510705	8.442818	9.589334	7.653486	8.421534	7.66816	7.615724	7.230798	10.321413	8.218694	7.707632	8.635165	7.355438	9.13879	10.994914	6.180593	10.76363	10.082153	10.754775	10.649989	8.662824	10.275312	8.397003	5.517021	7.511394	8.113999	10.373063	7.297743	7.223134	7.488922	7.515522	7.93419	8.440704	7.790468	7.688565	11.11301	7.87307	8.633174	8.843303	6.359978	7.083511	7.668653	6.938184	9.30187	8.24622	6.757659	6.99139	9.826583	6.969352	5.291003	8.83744	4.514319	6.474754	8.4171	6.745727	8.384319	9.835267	9.318355	10.544497	11.216845	11.569031	8.123917	10.996843	7.140382	8.443578	9.949123	9.154058	7.011864	9.767214	6.19899	9.847663	9.888169	7.244455	8.499882	8.922678	7.623282	9.768862	7.411563	8.024923	9.850619	12.969431	9.639599	7.771535	8.547725	7.065824	7.169973	5.614546	8.841282	12.51615	7.353401	7.990035	6.898525	10.681564	6.702505	9.900068	8.254962	9.576523	10.536408	8.841282
TRAF3IP3	5.855681	7.750442	7.687071	8.021418	7.366424	9.076289	7.284896	6.503293	6.955346	8.494879	6.319287	6.338137	8.195623	7.253848	7.331182	8.892931	8.00339	9.465026	7.389743	7.101622	6.986329	7.665907	9.038737	7.476217	7.919197	6.961073	8.494879	8.360732	7.296491	8.518307	7.730507	6.817247	7.272525	9.054312	6.495025	7.341591	8.332635	7.30282	6.873642	9.105412	5.486207	7.630045	8.169799	8.716527	7.126837	7.249458	6.149275	7.679609	5.534714	6.009199	6.137005	6.61714	5.922436	6.600741	7.423481	6.745149	8.760465	8.332635	7.813436	6.087237	8.81719	6.962297	6.140919	6.814809	5.610725	6.77641	6.680046	6.47966	7.599637	6.656839	6.36668	6.011738	8.279011	7.072283	9.778121	8.376258	16.446659	8.755276	8.804839	7.119645	8.319294	9.622885	7.478325	8.538633	9.314358	8.974654	6.613869	10.081881	6.064784	5.989021	7.463334	7.129245	5.977995	8.919677	5.615296	10.103594	7.409558	6.512999	8.347064	6.60754	7.053949	9.588707	6.47981	7.07416	7.205743	11.380744	8.607523	6.79273	6.478084	7.019073	7.95902	5.782011	7.943329	10.646861	8.046537	6.497608	7.426242	9.523688	6.188303	9.751246	7.156819	8.830778	9.604158	8.272224
