features	algorithm
MIAT	survivalSVM
GZMK	survivalSVM
GZMH	survivalSVM
GZMA	survivalSVM
IKZF3	survivalSVM
DPP4	survivalSVM
ITM2C	survivalSVM
PBX4	survivalSVM
CD8A	survivalSVM
TRAF3IP3	survivalSVM
SIT1	survivalSVM
SLC38A1	survivalSVM
CD8B	survivalSVM
GNG2	survivalSVM
P2RY8	survivalSVM
HOPX	survivalSVM
TSPAN5	survivalSVM
GZMB	survivalSVM
ADAM19	survivalSVM
NKG7	survivalSVM
HIP1R	survivalSVM
C12orf75	survivalSVM
CSGALNACT1	survivalSVM
NINL	survivalSVM
ANXA6	survivalSVM
PRDM1	survivalSVM
FAM101B	survivalSVM
ABLIM1	survivalSVM
EIF4E3	survivalSVM
FAM102A	survivalSVM
C1orf151.NBL1	survivalSVM
CLIC3	survivalSVM
SLC27A2	survivalSVM
RUNX3	survivalSVM
FAM26F	survivalSVM
TRERF1	survivalSVM
ATP2A3	survivalSVM
RAB37	survivalSVM
RGL4	survivalSVM
CD244	survivalSVM
SLAMF7	survivalSVM
IFITM1	survivalSVM
CDK6	survivalSVM
TESC	survivalSVM
SH2D3A	survivalSVM
JAK3	survivalSVM
RHOH	survivalSVM
ISG20	survivalSVM
HMHA1	survivalSVM
TNFSF14	survivalSVM
PTPN7	survivalSVM
OCIAD2	survivalSVM
TRAF5	survivalSVM
FYB	survivalSVM
ADA	survivalSVM
CORO1A	survivalSVM
PDE4B	survivalSVM
ST6GAL1	survivalSVM
BATF	survivalSVM
CCR5	survivalSVM
RGL4	CoxBoost+survivalSVM
IFITM1	CoxBoost+survivalSVM
ISG20	CoxBoost+survivalSVM
BATF	CoxBoost+survivalSVM
MIAT	Ridge
GZMK	Ridge
GZMH	Ridge
GZMA	Ridge
IKZF3	Ridge
DPP4	Ridge
ITM2C	Ridge
PBX4	Ridge
CD8A	Ridge
TRAF3IP3	Ridge
SIT1	Ridge
SLC38A1	Ridge
CD8B	Ridge
GNG2	Ridge
P2RY8	Ridge
HOPX	Ridge
TSPAN5	Ridge
GZMB	Ridge
ADAM19	Ridge
NKG7	Ridge
HIP1R	Ridge
C12orf75	Ridge
CSGALNACT1	Ridge
NINL	Ridge
ANXA6	Ridge
PRDM1	Ridge
FAM101B	Ridge
ABLIM1	Ridge
EIF4E3	Ridge
FAM102A	Ridge
C1orf151.NBL1	Ridge
CLIC3	Ridge
SLC27A2	Ridge
RUNX3	Ridge
FAM26F	Ridge
TRERF1	Ridge
ATP2A3	Ridge
RAB37	Ridge
RGL4	Ridge
CD244	Ridge
SLAMF7	Ridge
IFITM1	Ridge
CDK6	Ridge
TESC	Ridge
SH2D3A	Ridge
JAK3	Ridge
RHOH	Ridge
ISG20	Ridge
HMHA1	Ridge
TNFSF14	Ridge
PTPN7	Ridge
OCIAD2	Ridge
TRAF5	Ridge
FYB	Ridge
ADA	Ridge
CORO1A	Ridge
PDE4B	Ridge
ST6GAL1	Ridge
BATF	Ridge
CCR5	Ridge
RGL4	Lasso+survivalSVM
IFITM1	Lasso+survivalSVM
ISG20	Lasso+survivalSVM
TNFSF14	Lasso+survivalSVM
BATF	Lasso+survivalSVM
GZMK	SuperPC
GZMH	SuperPC
GZMA	SuperPC
IKZF3	SuperPC
DPP4	SuperPC
CD8A	SuperPC
TRAF3IP3	SuperPC
SIT1	SuperPC
CD8B	SuperPC
GNG2	SuperPC
P2RY8	SuperPC
HOPX	SuperPC
TSPAN5	SuperPC
GZMB	SuperPC
ADAM19	SuperPC
NKG7	SuperPC
HIP1R	SuperPC
C12orf75	SuperPC
