ID	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0046631	GO:0046631	alpha-beta T cell activation	164	0.613569957037656	2.32814626602714	1e-10	2.69118854973065e-08	2.23278597280646e-08	1669	tags=34%, list=10%, signal=31%	ADORA2A/JAK3/NKG7/BATF/IL18R1/CLEC4G/PRDM1/GPR183/CD247/LILRB4/IL6/GPR18/ADA/NLRP3/EOMES/CCR2/BCL3/SH3RF1/TMEM98/IL6R/HLX/RELB/ITK/PRKCQ/TBX21/ZAP70/RUNX3/CD300A/ZNF683/BCL11B/IL2RA/CD3G/SLAMF6/CD86/JUNB/RASAL3/CD3D/LY9/CCL19/TNFSF8/CDH26/IRF4/RSAD2/IL4/BCL2/RORC/PRR7/PRKCZ/CD28/LEF1/XCL1/IFNG/CD160/FOXP3/TOX
GO:0071674	GO:0071674	mononuclear cell migration	179	0.599883618578537	2.30396439809477	1e-10	2.69118854973065e-08	2.23278597280646e-08	1569	tags=31%, list=9%, signal=29%	S100A12/CCL7/CCL2/CCL8/PLA2G7/ITGB3/S100A14/ADAM8/CXCL17/TNFSF14/CCL3/LGMN/CMKLR1/CCL3L3/CXCR4/CCL5/CCL13/GPR183/S1PR1/CCL4/CH25H/CCR5/CORO1A/IL6/CCR2/ECM1/SPNS2/IL6R/CD200R1/ASB2/TNFRSF11A/TBX21/ZAP70/PADI2/SLAMF1/CX3CR1/KLRK1/CCR7/RARRES2/PIK3CD/CXCL10/EPS8/CCR1/CCL19/TRPM2/NEDD9/IL4/GAS6/XG/CCL1/NLRP12/APOD/XCL1/ITGB7/CXCL13/EXT1
GO:0072676	GO:0072676	lymphocyte migration	107	0.640439267383023	2.30261012739954	1e-10	2.69118854973065e-08	2.23278597280646e-08	1569	tags=34%, list=9%, signal=31%	CCL7/CCL2/CCL8/ITGB3/ADAM8/TNFSF14/CCL3/CCL3L3/CCL5/CCL13/GPR183/S1PR1/CCL4/CH25H/CORO1A/CCR2/ECM1/SPNS2/CD200R1/TBX21/ZAP70/PADI2/KLRK1/CCR7/PIK3CD/CXCL10/CCL19/NEDD9/GAS6/XG/CCL1/APOD/XCL1/ITGB7/CXCL13/EXT1
GO:0030595	GO:0030595	leukocyte chemotaxis	214	0.584929315767927	2.30071227552279	1e-10	2.69118854973065e-08	2.23278597280646e-08	1588	tags=31%, list=9%, signal=29%	S100A12/CCL7/CCL2/CCL8/PLA2G7/CXCL1/S100A14/ADAM8/CXCL17/TNFSF14/CCL3/F2RL1/LGMN/CMKLR1/CCL3L3/DPP4/CSF3R/CXCR4/IL10/CCL5/DAPK2/CCL13/GPR183/S1PR1/NINJ1/CCL4/CH25H/TNFAIP6/CCR5/CORO1A/IL6/GPR18/CCR2/FFAR2/VEGFA/IL6R/TNFRSF11A/PADI2/PDE4B/SLAMF1/CX3CR1/KLRK1/CCR7/SFTPD/PTN/RARRES2/PIK3CD/PREX1/CXCL10/CCR1/KIT/CCL19/TRPM2/NEDD9/IL4/S100A8/EDNRB/GAS6/PPBP/CCL1/VAV3/EDN1/XCL1/IL1B/S100A9/CXCL13/THBS4
GO:0050900	GO:0050900	leukocyte migration	358	0.551615380205423	2.28859026915847	1e-10	2.69118854973065e-08	2.23278597280646e-08	2295	tags=35%, list=14%, signal=31%	S100A12/CCL7/CCL2/CCL8/PLA2G7/ITGB3/CXCL1/S100A14/ADAM8/SELL/CXCL17/TNFSF14/CCL3/F2RL1/LGMN/CMKLR1/CCL3L3/DPP4/LEP/CSF3R/CXCR4/IL10/CCL5/CHST2/DAPK2/CCL13/GPR183/S1PR1/NINJ1/CCL4/CH25H/TNFAIP6/CCR5/CORO1A/IL6/GPR18/ADA/CCR2/ECM1/FFAR2/SPNS2/VEGFA/IL6R/CD200R1/ASB2/TNFRSF11A/TBX21/EMP2/IL1R1/ZAP70/FOXJ1/CD300A/PADI2/PDE4B/KITLG/SLAMF1/CX3CR1/CD177/KLRK1/FYN/CCR7/SFTPD/PTN/RARRES2/PIK3CD/TNFRSF18/ICAM1/EMILIN1/PREX1/CXCL10/EPS8/CCR1/HMOX1/KIT/CCL19/TRPM2/NEDD9/IL4/S100A8/EDNRB/TRIM55/GAS6/XG/PPBP/CXCR3/CNN2/ITGA3/CCL28/ST3GAL4/CCL1/VAV3/NLRP12/EDN1/APOD/SMPD3/XCL1/ITGB7/IL1B/P2RY12/S100A9/CXCL13/EXT1/THBS4/ITGA7/THY1/MMP14/ADD2/BCR/CXCL2/SCG2/FUT9/AGER/CYP19A1/CCL18/TNF/ZP3/ROR2/MPP1/CXCR5/EDN2/LRCH1/CREB3/TACR1/CCL15/MMP2/DEFB104B/CCL14
GO:0002685	GO:0002685	regulation of leukocyte migration	204	0.576669455290773	2.25639738189346	1e-10	2.69118854973065e-08	2.23278597280646e-08	2188	tags=36%, list=13%, signal=32%	CCL7/CCL2/PLA2G7/ITGB3/S100A14/ADAM8/CXCL17/TNFSF14/CCL3/F2RL1/LGMN/CMKLR1/DPP4/CCL5/CHST2/DAPK2/CCL4/TNFAIP6/CORO1A/IL6/GPR18/ADA/CCR2/ECM1/SPNS2/VEGFA/IL6R/CD200R1/IL1R1/CD300A/PADI2/KITLG/SLAMF1/CX3CR1/KLRK1/CCR7/PTN/RARRES2/TNFRSF18/ICAM1/EMILIN1/CXCL10/CCR1/HMOX1/CCL19/NEDD9/IL4/GAS6/XG/CXCR3/CNN2/CCL28/ST3GAL4/CCL1/EDN1/APOD/SMPD3/XCL1/P2RY12/CXCL13/THBS4/THY1/MMP14/BCR/FUT9/AGER/CYP19A1/TNF/ZP3/MPP1/EDN2/LRCH1/CREB3/TACR1
GO:0060326	GO:0060326	cell chemotaxis	276	0.556236533150321	2.24079679937128	1e-10	2.69118854973065e-08	2.23278597280646e-08	2469	tags=35%, list=15%, signal=30%	S100A12/CCL7/CCL2/CCL8/CXCL14/MET/PLA2G7/CXCL1/S100A14/ADAM8/CXCL17/TNFSF14/CCL3/F2RL1/LGMN/CMKLR1/CCL3L3/EGR3/DPP4/CSF3R/CXCR4/IL10/CCL5/DAPK2/CCL13/GPR183/S1PR1/NINJ1/CCL4/CH25H/TNFAIP6/CCR5/CORO1A/IL6/GPR18/CCR2/FFAR2/VEGFA/IL6R/PRKCQ/TNFRSF11A/PADI2/PDE4B/SLAMF1/CX3CR1/KLRK1/CCR7/SFTPD/EPHA2/PTN/RARRES2/PIK3CD/PREX1/CXCL10/CCR1/KIT/CCL19/TRPM2/NEDD9/IL4/S100A8/EDNRB/GAS6/PPBP/LPAR1/CCL28/KDR/CCL1/VAV3/EDN1/LEF1/XCL1/IL1B/S100A9/CXCL13/THBS4/PARVA/CXCL2/DEFB110/SCG2/FGF18/CYP19A1/CCL18/MPP1/CXCR5/EDN2/CREB3/CCL15/MMP2/DEFB104B/CCL14/DEFB103A/FLT1/MIF/PF4/DOCK4
GO:0001906	GO:0001906	cell killing	178	0.580721563446343	2.22366299281161	1e-10	2.69118854973065e-08	2.23278597280646e-08	2366	tags=34%, list=14%, signal=29%	DEFA3/S100A12/LTF/HAMP/GNLY/GZMB/F2RL1/SLAMF7/NKG7/LEP/SERPINB9/CCL13/PRF1/CORO1A/SERPINB4/PGLYRP1/KLRB1/KLRD1/SH2D1A/IL18RAP/LAG3/DEFA4/FCER2/EMP2/CX3CR1/ARG1/KLRK1/KLRC4/SLAMF6/CD226/CD2/KRT6A/RASGRP1/C3/KLRC1/ICAM1/CST11/IL4/NCR3/NOS2/XCL1/CFH/IFNG/CD160/GZMM/FCGR2B/C9/CD59/DCD/AGER/DEFB118/KLRC3/SCNN1B/DNASE1/ULBP1/RNF19B/IL21/CLEC7A/DEFB103A/PIK3R6
GO:0030217	GO:0030217	T cell differentiation	284	0.540313948283086	2.1823129848426	1e-10	2.69118854973065e-08	2.23278597280646e-08	2073	tags=31%, list=12%, signal=27%	ADAM8/JAK3/EGR3/BATF/IL18R1/LEP/CLEC4G/PRDM1/IKZF3/CD8A/GPR183/LILRB4/RHOH/IL6/GPR18/ADA/NLRP3/EOMES/CCR2/BCL3/CDK6/SH3RF1/TMEM98/CD27/IL6R/HLX/RELB/ITK/CTLA4/LAG3/TBX21/ZAP70/RUNX3/FOXJ1/IL4I1/CLEC4D/ZNF683/BCL11B/IL2RA/VNN1/CCR7/RUNX2/CD3G/SLAMF6/ERBB2/CD86/CD2/JUNB/LILRB2/RASGRP1/PIK3CD/KLRC1/PREX1/CD3D/LY9/KIT/THEMIS/CCL19/MAFB/TNFSF8/IRF4/CAMK4/RSAD2/IL4/PCK1/BCL2/RORC/SPINK5/PRR7/ZEB1/PRKCZ/CD28/SMARCD3/ZFP36L1/LEF1/IL1B/TCF7/IFNG/FOXP3/TOX/DLL4/TNFRSF9/EGR1/CLEC4E/FGL2/SOCS1/GLI3
GO:0097529	GO:0097529	myeloid leukocyte migration	218	0.545866646577639	2.14916191541522	1e-10	2.69118854973065e-08	2.23278597280646e-08	2448	tags=36%, list=15%, signal=31%	S100A12/CCL7/CCL2/CCL8/PLA2G7/CXCL1/S100A14/ADAM8/CXCL17/CCL3/LGMN/CMKLR1/CCL3L3/DPP4/CSF3R/CCL5/DAPK2/CCL13/CCL4/TNFAIP6/IL6/CCR2/VEGFA/IL6R/CD200R1/TNFRSF11A/EMP2/IL1R1/CD300A/PDE4B/KITLG/SLAMF1/CX3CR1/CD177/CCR7/SFTPD/RARRES2/PIK3CD/EMILIN1/PREX1/CXCL10/CCR1/KIT/CCL19/IL4/S100A8/EDNRB/TRIM55/XG/PPBP/CNN2/CCL1/VAV3/EDN1/XCL1/IL1B/P2RY12/S100A9/CXCL13/THBS4/MMP14/BCR/CXCL2/SCG2/AGER/CYP19A1/CCL18/ROR2/MPP1/EDN2/CREB3/CCL15/MMP2/DEFB104B/CCL14/FLT1/MIF/PF4
