gene	logFC
CYTL1	2.223968857
SPP1	3.505529166
FAM125B	-1.777297656
PPBP	3.541251882
GFRA2	1.598583702
TCF7L1	-1.809116561
ITGB3	2.505591368
TCEA3	-1.749173205
CAMP	-1.714373046
MATK	1.566709001
ODZ4	-1.045053127
RINL	-0.785402531
ICA1	0.856062819
FABP3	1.90708519
CST6	1.794936644
C1RL	-0.814747421
EPB41L5	-1.126438932
ENPP3	-1.843495963
RNASE2	1.416904805
RNF183	-0.978953302
EMP1	1.52957555
PLA2G7	1.963223539
ZNF702P	-1.458063997
MMP7	2.816958611
HOMER3	1.078013507
TMEM56	-1.475683115
NALCN	-2.307068903
ARHGAP24	-1.348955887
CD36	1.2464957
HLF	-1.148804331
ZNF540	-1.24365118
SPRY2	1.454594053
MYO1A	-1.172221302
CYP3A7	-1.535076076
CXCR7	-1.592836914
C14orf34	1.96513267
SFTPB	2.771575966
ZNF251	-1.158876114
ITIH5	-1.998066828
VCAN	1.170696489
TIMP3	2.076234126
CDNF	-0.538263824
LOC645206	-1.467357472
AOC3	-1.696566857
ZDHHC2	-0.808247643
CYP1B1	2.263157261
RBM11	-1.343789241
PLEKHG3	-0.776088635
ARAP3	1.459833662
RNASE3	1.193551393
HTRA1	2.04756893
RNASE1	1.524682252
CDCA3	0.770004768
CYBRD1	1.096121615
ACOT11	0.872564374
LPAR3	-1.212445527
NRGN	1.139301696
ZBTB4	-0.475539045
PYCR2	-0.512031762
C8B	-2.11965187
ALDH4A1	0.655361728
CSNK1E	-0.484070105
BIRC5	0.90006381
STAB1	1.781216909
SLITRK4	-1.247150713
UCK2	1.077179598
VSNL1	2.052840457
GBP7	-1.544039223
CKS2	0.759008044
ZFP14	-1.179375988
MRC2	1.255832208
FFAR3	2.030717
F13A1	1.584788394
PC	0.721586188
TLR7	-0.886146363
SPINK1	1.858376528
AES	-0.535233489
TPSAB1	1.970753439
KRBA1	-0.559988837
GPR85	-0.971684664
DLX4	-1.375923053
SENP5	-0.514547026
SEMA3B	0.938987609
TUBB3	2.229774083
EFCAB1	-1.672292569
ACOX2	1.252195751
CALM3	0.493413705
QPCT	1.032442021
SLC30A1	0.895695461
MERTK	1.972390751
LOC256880	-0.938940563
PID1	1.499321858
FCN1	1.116866379
FCGR2B	1.029248738
OLIG1	2.035027855
KPNA5	-1.035143816
AKT3	-0.921556245
SIN3B	-0.643572869
SCN8A	-0.997708143
SLC4A8	-1.129231122
PTGER4	-0.582150322
CPLX3	-1.278852112
PARP10	-0.542326402
PGA3	1.058609682
ITM2B	-0.472302163
KIAA0922	-0.756195711
SDS	1.718923147
TAGLN	-0.808074558
SNCA	1.033774845
LY75	-0.851161006
FAM47E	-1.220530262
RANBP3L	-0.842997249
TIMP1	0.854530353
CENPM	0.761057639
SH3RF1	1.237313797
CCL2	1.928112622
PMP22	0.912941423
MURC	-1.427726942
CH25H	1.46630308
ZBP1	-1.11379471
ECHDC2	-0.597035811
LOC641518	-0.714585444
SLC16A10	1.038876017
PRRT4	-1.45375294
CACNA1G	1.200528728
LOC400655	-0.890976213
COL9A2	-1.037357097
SFTPC	1.759575948
FAM20C	0.894037686
CLEC11A	0.970650349
TDRD10	1.219200863
CDA	1.48593326
SOD3	1.838830784
PER2	-0.680983089
IL1RN	1.005365501
PODXL	0.937570922
C17orf69	-1.205405646
GDA	-1.143012614
NBEA	-1.203813035
CPA3	1.586523179
C15orf52	-0.708793595
CARD16	-0.527973727
CYP3A5	-1.98929247
RGL1	1.456869102
FOLR2	0.917805256
LOC400043	-1.537317463
TMTC2	-0.748673601
HS3ST1	1.291551315
PLA2G16	-0.733395449
TPSD1	1.874421675
FBN1	-0.86485023
MMP10	1.921193657
MYBL2	0.69149945
CCDC106	-0.522516043
CCNB1	0.655213973
AKR1E2	-1.083740512
OR2A7	-1.096652243
SLC28A3	1.467437071
RAB3IL1	1.406448348
PKD2L1	-0.796720542
LOC100131733	-0.637359173
LOC100128252	-1.421397575
CFP	0.771254828
TMEM44	0.874570377
KIF2C	0.739638251
SEPP1	1.470713593
CTF1	-0.815959665
FAM49A	0.499985355
CES1	-1.107141545
MPP7	-0.915782785
GINS2	0.715434823
LRRC2	2.243266922
JPH4	-0.703530561
ADRBK2	-0.613364438
LTC4S	1.137414235
ANTXR2	0.873699085
ARMCX2	-0.807680358
B3GNT8	1.464449473
MYB	-0.942431148
RAB39B	-1.122686843
ANGPTL4	1.629342474
TMEM184B	-0.53735654
UBE2C	0.850732779
SLC16A5	-0.605063333
ACO1	-0.720182194
RORA	-0.985884563
FLJ46875	-1.054904036
MFAP3L	-1.114124177
CS	-0.439044555
KCNN4	0.871764282
ZNF589	-1.021602603
SAMD12	-1.271093824
RANBP3	-0.438385647
HIST1H2AK	0.588166929
IRF8	-0.521564701
ZNF610	-1.044364013
ECM1	1.160482572
TFRC	-0.989681818
IQSEC1	-0.510080538
ATP1B1	-0.746318626
SPG11	-0.515250355
CC2D2A	-0.919045965
PLD2	-0.492512991
MAP9	-1.116496878
ZNF30	-0.792470911
KCNAB1	-1.515565939
ARNT2	1.406845099
ABLIM3	1.078928199
LOC100270804	-1.008797886
IRF7	-0.55368864
THAP2	-0.965800472
ACSM1	-1.226201753
RIC3	-0.914206701
MMP19	0.719361332
DHX58	-0.517613344
MID1IP1	-0.572519232
BLVRA	-0.469728663
C6orf108	0.977940315
ODC1	0.470261295
PLEKHB1	-0.778089895
P2RY2	1.101622284
HEXDC	-0.468971039
BICC1	1.845754319
SNX8	0.658183963
ZCCHC2	-0.538449477
EMR2	0.851437418
LOC729867	-1.049973817
VSTM1	1.761487561
CASP1	-0.516445385
ZNF549	-0.847375838
WSB1	-0.503925913
TRGV7	-0.588067304
DCXR	0.590455824
SYCP2	-0.593267305
MPO	1.175237378
HIST1H2AJ	0.544351076
ANKS6	-0.764752774
CMKLR1	1.228650803
NR3C2	-0.940873724
BCAR3	-0.764681024
ZNF404	-1.010492171
COL22A1	1.526301072
CCR3	1.55645357
MS4A7	-0.607415742
CXorf65	-0.723274801
C11orf80	-0.935515519
PRKCH	-0.617805566
CLEC5A	0.957164766
RNF6	-0.577126605
PLEKHA4	-0.963983457
HIST1H2AH	0.722499491
ACAT2	0.553467335
HIST1H2AE	0.911001949
SFTPA2	1.019057196
OR13H1	1.41962419
CD74	-0.809592305
FAM129B	0.674938352
CHST11	0.676148978
NDC80	0.710947775
KIF4A	0.950364701
SLC36A1	0.76084748
FBXO15	1.137751153
ZDHHC8	-0.611502002
PDCD1LG2	-1.103709384
ZNF226	-0.464435059
ODF3L1	-1.225547778
SNAI1	1.097020605
FAM158A	0.505418835
DLX3	-1.223488671
ZNF646	-0.354941157
FAM124B	1.067799631
MGC24103	1.401884059
CHKA	0.790999426
CEBPE	0.997341995
FBXO42	-0.413702521
CCL7	1.765581793
GPRASP1	-1.116604184
HIST1H4L	0.749610069
SMARCC2	-0.430937506
RAP1GAP2	-1.103482859
RGS2	1.144712691
S100P	0.773590074
MYC	0.75260424
ZKSCAN1	-0.697670173
MAGI3	-1.055514139
KIAA0513	-0.466164147
IL7	-0.841272357
AMIGO2	-0.780987605
TRIB2	-1.144226679
NHS	-1.066718811
SVIL	-0.79309942
RAB11FIP4	-0.820695748
KIAA0494	-0.439517476
SNORA12	-0.987297211
SLC47A1	-0.918533642
PHF3	-0.539552477
CYP2U1	-0.9390885
IGFBP7	0.764988759
AAK1	-0.590824828
GABRE	-1.534549759
LMBRD1	-0.462270584
ICOS	-1.018199112
TTC7B	-0.494501627
GTF2I	-0.457362941
CALB2	1.10357499
TJP1	-1.159992729
FGFR1	1.110676172
ACVRL1	-0.744568702
CDCA8	0.527838822
FCER2	1.022808033
PEX14	-0.490520612
FNDC5	1.974688328
ADM	1.371983328
RNASE6	0.706822774
TDRD7	-0.417503522
SHROOM3	-1.337638462
SEC16B	-1.283907034
